Cancel#0,"""Отменить изменения"""
Decide#0,"""Принять изменения"""
Title#0,"""Салон"""
Message#0,"""Желаете выйти не сохранив изменения?"""
AllRandomTitle#0,"""Подтверждение"""
AllRandomMessage#0,"""Все опции выберутся случайно.<br>Вы уверены?"""
PaymentCheckTitle#0,"""Подтверждение платы"""
PaymentCheckMessage#0,"""Данные изменения включают в себя<br><c ff4f3f>необходимый AC контент<c>.<br>・Чтобы отменить изменение, выберите \""Нет\""<br>и отмените требуемое изменения за AC.<br>・Чтобы подтвердить и применить<br>изменения, выберите \""Да\"".<br><br>Желаете применить изменения?"""
ColorCheckMessage#0,"""Для следующих изменений требуется<br><yellow>Пропуск для смены цвета<c>.<br><br>・Чтобы отменить изменение, выберите \""Нет\"",<br>а затем \""Выбрать изменения для отмены\"".<br><br>・Чтобы применить изменения, выберите<br>\""Да\"", а затем подтвердите изменение.<br><br>Желаете применить изменения?"""
ConsumeCheckTitle#0,"""Подтвердите использование предмета"""
ConsumeCheckMessage#0,"""<pict Arcscash><c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон.<c>"""
ConsumeCheckMessage2#0,"""<c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br><yellow>※При использовании \""Бесплатный пропуск<br>в салон\"" не применяется льготный<br>период для повторного редактирования,<br>даже если активен премиум.<c>"""
ItemCheckMessage#0,"""<c 5fdf00>Использование предметов, которыми<br>вы владеете<c><br>Внесённые вами изменения израсходуют<br>следующие предметы, которыми вы<br>владеете.<br>Желаете применить изменения и выйти<br>из салона?"""
BuyCheckTitle#0,"""Подтверждение покупки"""
BuyCheckMessage#0,"""<pict Arcscash><c ff4f3f>Контент AC<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете потратить AC, чтобы приобрести<br>его и покинуть салон?<br>(AC в наличии: $(0))<br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон.<c>"""
BuyCheckItem#0,"""$(0)($(1)AC)"""
PaymentCheckMessageSG#0,"""Данное изменение включает в себя<br><c 1dedd7>содержимое требующее SG<c>.<br>・Чтобы отменить изменение, выберите<br>\""Нет\"" и отмените изменение<br>требующее SG.<br>・Чтобы подтвердить и применить<br>изменения, выберите \""Да\"".<br><br>Желаете применить изменения?<br><red>※Вы также можете использовать пропуск<br>в салон, приобретённый за AC.<c>"""
ConsumeCheckMessageColor#0,"""<pict Arcscash><c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон и пропуск на смену цвета.<c><br><br>※Пропуск на смену цвета позволяет только<br>изменить цвет одежды и частей CAST'ов."""
