EventInformation#0,"""Информация об ивенте"""
ShipConfrontation#0,"""Главный приз корабля ARKS"""
PlayerInformation#0,"""Ваша информация"""
RoundTarget#0,"""Цель раунда"""
PeriodCovered#0,"""Текущее время раунда"""
ObjectRemuneration#0,"""Информация о наградах"""
TargetStarPoint#0,"""Максимальный уровень (предел звёзд за раунд)"""
TargetStarBonus#0,"""Максимальный бонус"""
PossessionStar#0,"""Получены звёзды"""
PossessionStarDeadline#0,"""Истечение срока действия звёзд"""
Affiliation#0,"""Присоединение к группе"""
BoostInformation#0,"""Информация о поддержке (Boost)"""
Grouppoint#0,"""Вклад в группу по очкам"""
BingoCard#0,"""Карта бинго ARKS"""
BingoCardNum#0,""" （$(0)）"""
MenuShipConfrontation#0,"""Главный приз корабля ARKS"""
ArksRanking#0,"""Лига ARKS"""
Rank#0,"""Рейтинг"""
Star#0,"""Звёзды (pt)"""
Point#0,"""Очки"""
Progression#0,"""Прогресс"""
Normal#0,"""Норма"""
Hard#0,"""Сложно"""
VeryHard#0,"""Очень сложно"""
SuperHard#0,"""Суперсложно"""
StarExpire#0,"""$(0) (Истечение срока действия / $(1) $(2))"""
Loading#0,"""Загрузка..."""
NotPlayMessage#0,"""Пока закрыто."""
StopMessage#0,"""Пауза."""
CancelMessage#0,"""Отменено."""
NotConfirm#0,"""Нет доступной информации."""
RoundInformation#0,"""Иоформация о раунде"""
RoundSelection#0,"""Выбор раунда"""
ComprehensiveRanking#0,"""Общий рейтинг"""
RoundDetails#0,"""Подробности раунда"""
TotalPoint#0,"""Всего очков"""
FinalRemuneration#0,"""Финальная награда"""
RankingInformation#0,"""Информация о рейтинге"""
QuestRankInfo#0,"""Информация о наградах"""
FirstPlace#0,"""1-й"""
SecondPlace#0,"""2-й"""
ThirdPlace#0,"""3-й"""
FourthPlace#0,"""4-й"""
FifthPlace#0,"""5-й"""
RoundTarget#1,"""Цель раунда"""
PeriodCovered#1,"""Время раунда"""
Information#0,"""Информация"""
ObjectRemuneration#1,"""Награда за задание в каждом раунде"""
TargetStarPoint#1,"""Максимальное количество звёзд"""
TargetStarBonus#1,"""Максимальный бонус"""
Grouppoint#1,"""Максимальный счёт группы"""
RoundRanking#0,"""Рейтинг в раунде"""
RankingRemuneration#0,"""Рейтинговая награда"""
Boost#0,"""Буст на следующий раунд"""
BoostDeadline#0,"""Длительность действия буста в следующем раунде"""
RegistrationShip#0,"""Корабль альянса"""
RoundRankingRemuneration#0,"""Рейтинг в раунде"""
Remuneration#0,"""Получены звёзды в награду"""
PrizeExchange#0,"""Время распределения наград за итоговый рейтинг"""
AdditionalPrize#0,"""Призы за итоговый рейтинг"""
GroupRanking#0,"""Итоговый рейтинг и очки группы"""
GetStarPoint#0,"""Получены звёзды (очки группы)"""
Rank#1,"""Сложность"""
Star#1,"""Звёзды"""
Point#1,"""Очки группы"""
Progression#1,"""Прогресс"""
Ranking#0,"""Рейтинг"""
RequiredStar#0,"""Требуется звёзд"""
Group#0,"""Группа"""
GroupPoint#0,"""Очки группы"""
Pts#0,"""Очки"""
PrizeMenu#0,"""Название приза"""
BoostInfo#0,"""Подробно о бусте"""
StartDate#0,"""Начальное время"""
EndDate#0,"""Конечное время"""
GetStar#0,"""Получены звёзды"""
GetItem#0,"""Получены предметы"""
Normal#1,"""Нормально"""
Hard#1,"""Сложно"""
VeryHard#1,"""Очень сложно"""
SuperHard#1,"""Супер сложно"""
ExHard#0,"""Экстра сложно"""
SubPaletteTabChangeTag#0,"""<%TabForward>"""
SubPaletteTabChange#0,"""Далее"""
ShipName#0,"""корабль $(0)"""
NowPlaying#0,""""""
RoundInterrupt#0,"""Пауза."""
