FullTitle#0,"""Коллекция файлов"""
FullInfo#0,"""<c f0df60>При сборе \""Коллекция файлов\"", вас вознаградят выбранным предметом.<c>"""
Title#0,"""Текущий колл. файл"""
CaptionL#0,"""Название коллекции файлов"""
AppendCollectionName#0,"""Коллекция"""
CaptionR#0,"""Дата окончания"""
Extend#0,"""Расширяемый слот"""
ExtendHaveSheet_RemainEnable#0,"""<yellow>Расширение слотов списка ($(0))<c><pict StarGem>"""
ExtendHaveSheet_RemainDisable#0,"""<gray>Расширение слотов списка ($(0))<pict StarGem><c>"""
PossessionTitle#0,"""Нынешние списки"""
FullTitle#1,"""Выбрать список"""
FullTitle_v#0,"""Выбрать список"""
FullInfo#1,"""<c f0df60>Пожалуйста, выберите список коллекции файлов.<c>"""
Title#1,"""Выбор награды"""
EquipableCheck#0,"""Можно экипировать"""
Button#0,"""Вернуться"""
TitleSheetInfo#0,"""Информация о списке"""
SheetNum#0,"""Кол-во полученных списков"""
SheetNum_CurrentNum#0,"""$(0) / $(1) 枚"""
SheetNum_CurrentNum_Equal#0,"""<c ff9c70>$(0) / $(1) 枚<c>"""
SheetNum_CurrentNum_Over#0,"""<c ff0000>$(0) / $(1) 枚<c>"""
CoolTime#0,"""Перезарядка"""
CoolTime_Free#0,"""Список доступен"""
CoolTime_Wait#0,"""Этот список не может быть<br>получен до:<br><red>$(0)<c><br>(Использование SG<pict StarGem> может сбросить список)"""
CoolTime_SheetExpired#0,"""Нельзя олучить этот лист,<br>так как его время истекло."""
FullTitle#2,"""Информация о списке"""
FullInfo#2,"""<c f0df60>Если вы победите нужных врагов и соберёте нужные предметы, вы получите награду.<c>"""
