Accessories_Name1#0,"""1-й аксессуар"""
Accessories_Name2#0,"""2-й аксессуар"""
Accessories_Name3#0,"""3-й аксессуар"""
Accessories_Name4#0,"""4-й аксессуар"""
Accessories_FormTitle#0,"""Аксессуары"""
List_FormTitle#0,"""Список аксессуаров"""
NoAccessoriesMessage#0,"""Нет аксессуаров"""
Remove#0,"""Убрать"""
AccessoryTab_All#0,"""Все аксессуары"""
AccessoryTab_Hat#0,"""Голова (верх)"""
AccessoryTab_Glasses#0,"""Голова (Середина)"""
AccessoryTab_HeadAll#0,"""Голова (Аксессуар)"""
AccessoryTab_Other#0,"""Другое"""
AccessoryTab_Favorite#0,"""Любимое"""
Fashion_Title#0,"""Редактор стиля"""
Fashion_Title2#0,"""Информация о стиле"""
Fashion_HairStyle#0,"""Причёска"""
Fashion_HeadParts#0,"""Части головы"""
Fashion_BodyPaint#0,"""Выбор раскраски тела"""
Fashion_Costume#0,"""Костюм"""
Fashion_Body#0,"""Части тела"""
Fashion_Arm#0,"""Части рук"""
Fashion_Leg#0,"""Части ног"""
Fashion_BaseWear#0,"""Выбор базовой одежды"""
Fashion_InnerWear#0,"""Выбор нижней одежды"""
Fashion_OuterWear#0,"""Выбор верхней одежды"""
Fashion_Acc#0,"""Надесть аксессуары"""
Fashion_PaintPriority#0,"""Сменить приоритет покраски тела"""
Fashion_SwordPosition#0,"""Место расположения оружия"""
Fashion_MoveMotion#0,"""Тип передвижения"""
Fashion_MyFashion#0,"""Стиль и каталог"""
Item_Motion_Leg#0,"""Хотьба"""
Item_Motion_Hover#0,"""Парение в воздухе"""
info_title_Hair#0,"""ПричёскаЧасти головы"""
info_title_Body#0,"""Раскраска тела"""
info_title_Costume#0,"""Костюм"""
info_title_Parts#0,"""Части"""
info_title_Layer#0,"""Послойная одежда"""
info_title_Acc#0,"""Аксессуары"""
info_title_Face#0,"""Лицо"""
info_title_Make#0,"""Макияж"""
info_title_Sticker#0,"""Стикер"""
info_Hair#0,"""Голова"""
info_Body#0,"""Тело"""
info_Arm#0,"""Рука"""
info_Leg#0,"""Нога"""
info_Costume#0,"""Костюм"""
info_Outer#0,"""Внешнее"""
info_Base#0,"""База"""
info_Inner#0,"""Внутреннее тело"""
info_1#0,"""1"""
info_2#0,"""2"""
info_3#0,"""3"""
info_4#0,"""4"""
info_5#0,"""5"""
info_6#0,"""6"""
info_7#0,"""7"""
info_8#0,"""8"""
info_9#0,"""9"""
info_10#0,"""10"""
info_11#0,"""11"""
info_12#0,"""12"""
info_13#0,"""13"""
info_14#0,"""14"""
info_15#0,"""15"""
info_16#0,"""16"""
info_17#0,"""17"""
info_18#0,"""18"""
info_Teeth#0,"""Зубы"""
info_Horn#0,"""Рога"""
info_Ear#0,"""Уши"""
info_Skin#0,"""Кожа"""
info_Face#0,"""Лицо"""
info_Eye#0,"""Глаза"""
info_EyeR#0,"""Левый глаз"""
info_EyeL#0,"""Правый глаз"""
info_Eyebrow#0,"""Брови"""
info_Eyelash#0,"""Ресницы"""
Title_HairStyle#0,"""Причёска"""
Title_HeadParts#0,"""Части головы"""
Title_BodyPaint#0,"""Раскраска тела"""
Title_Body#0,"""Тела"""
Title_Arm#0,"""Руки"""
Title_Leg#0,"""Ноги"""
Title_Costume#0,"""Костюмы"""
Title_Outer#0,"""Верзняя одежда"""
Title_Base#0,"""Оснвная одежда"""
Title_Inner#0,"""Нижнее бельё"""
NoMessage#0,"""Нет предметов"""
FashionTab_All#0,"""Все"""
FashionTab_Favorite#0,"""Избранное"""
NoItemMsg#0,"""Ничего"""
