MYROOM#0,"""Ваша комната"""
BACKPACK#0,"""Инвентарь"""
WAREHOUSE#0,"""Хранилище"""
INSTALL#0,"""Установка"""
USE#0,"""Использовать"""
PLAY_CUSTOMIZE#0,"""Настроить"""
CUSTOMIZE_YOUR_ROOM#0,"""Настройка комнаты"""
SEND_TO_BACKPACK#0,"""Из инвентаря"""
SEND_TO_WAREHOUSE#0,"""Из хранилища"""
REMOVAL_TO_BACKPACK#0,"""В инвентарь"""
REMOVAL_TO_WAREHOUSE#0,"""В хранилище"""
CANCEL#0,"""Отмена"""
INSTALLATION_FAILS#0,"""Установка не удалась.<br>Причины могут быть следущими:<br><br>・Нет предметов для комнаты.<br>・Попытка установить особые предметы комнаты."""
ERROR_INSTALLED_ITEM#0,"""Не удалось установить выбранный предмет."""
ERROR_USED_ITEM#0,"""Невозможно использовать выбранный предмет."""
ERROR_MOVE_BACKPACK#0,"""Не удалось переместить предмет в ваш инвентарь."""
ERROR_MOVE_WAREHOUSE#0,"""Неудалось переместить предмет в хранилище."""
REMOVAL_TO_INSTALLED_GOODS#0,"""Установленные предметы убраны."""
IF_REMOVAL_GOODS#0,"""Желаете убрать?"""
GROUNDER_DECO_GOODS#0,"""Debugtext020"""
GROUND_SKY_CYLINDER#0,"""Debugtext021"""
ROOM_CHANGED_TEST#0,"""Debugtext022"""
GROUND_CYLINDER#0,"""Debugtext023"""
IF_USED_GROUND_CYLINDER#0,"""Debugtext024"""
ROOM_CUSTMISE#0,"""Переделка комнаты"""
IF_CHAGE_ROOM#0,"""Желаете изменить комнату?"""
ERROR_ITEM_NOT#0,"""Нет предметов"""
GRID_ON_OFF#0,"""グリッドON/OFF"""
REMOVAL_ALL#0,"""Убрать всё"""
CYLINDER_REFORM#0,"""Debugtext030"""
IF_REMOVAL_ALL_GOODS#0,"""Желаете убрать всё?"""
TITLE_ROOM_CUTMIZE#0,"""Обновление комнаты"""
MENU_CENTER#0,"""Центр:"""
MENU_LEFT#0,"""Лево:"""
MENU_RIGHT#0,"""Право:"""
DEFAULT#0,"""По умолчанию"""
NONE#0,"""Ничего"""
COMBINE#0,"""Добавить"""
REMOVED#0,"""Двигать"""
DELETE#0,"""Убрать"""
CANCEL#1,"""Отмена"""
ERROR_OWNER_NOT#0,"""Невозможно получить доступ, поскольку вы не владелец комнаты."""
MoveItem_Title#0,"""Информация"""
MoveItem_Message#0,"""Недостаточно места в инвентаре,<br>или привышается максимальное<br>значение предмета в вашем<br>хранилище."""
MoveItem_ToastMessage#0,"""Поскольку ваш инвентарь заполнен,<br>предметы отправлены в хранилище."""
MainMenu_Title#0,"""Меню комнаты"""
MainMenu_RoomGoods_Installation#0,"""Установка предметов комнаты"""
MainMenu_RoomGoods_Ceiling#0,"""Установка потолочных предметов"""
MainMenu_RoomCustmize#0,"""Переделка комнаты"""
MainMenu_MovePass#0,"""Смена сценария"""
MainMenu_BGM#0,"""Регистрация муз-диска"""
MainMenu_RoomLock#0,"""Блокировка комнаты"""
MainMenu_LayoutChange#0,"""Изменение планировки"""
MainMenu_DeleteRoomGoodsInSelectRoom#0,"""Убрать все предметы комнаты"""
MainMenu_Cancel#0,"""Назад"""
MainMenu_SupportPartner#0,"""Партнёр поддержки"""
MainMenu_Craft#0,"""Крафт"""
MainMenu_EventChronicle#0,"""Хроника событий"""
SelectMenu_Title_RoomGoods#0,"""Выбор предметов комнаты"""
SelectMenu_Title_Reform#0,"""Выбор темы"""
SelectMenu_Title_DeleteRoom#0,"""Выбор комнаты для уборки"""
SelectMenu_Title_MovePass#0,"""Выбор билета со сценарием"""
SelectMenu_Title_PresentBox#0,"""Выбор предмета для подарка"""
SelectMenu_Title_MusicDisk#0,"""Выбор муз-диска"""
SelectMenu_Title_Weapon#0,"""Выбор оружия"""
SelectMenu_Backpack#0,"""Из инвентаря"""
