iidxNotFound#0,"""Ничего"""
iidx3_51_0_0#0,"""*L/JG Sonic Arrow<br>L/TD Air Chase<br>L/Knuckle Chase<br>"""
iidx3_51_0_1#0,"""*L/JG Heavenly F<br>L/Katana Gear Guard R<br>L/DB Snatch<br>"""
iidx3_51_0_2#0,"""*Coast Grilled Triggerfish<br>Quarry Fried Cutlass<br>"""
iidx3_51_0_3#0,"""*L/JG Rising F<br>L/DS Kamaitachi<br>L/RR Field<br>"""
iidx3_51_0_4#0,"""*L/Wide Area Heal<br>L/Quick Blaster<br>L/Early Rise<br>"""
iidx3_51_0_5#0,"""*L/Slow Dive Roll<br>L/Step Jump<br>L/Air Reversal<br>"""
iidx3_51_0_6#0,"""*L/Slow Fi Action<br>L/Peace Zondeel<br>L/Jumping Dodge<br>"""
iidx3_52_0_0#0,"""*L/TD Air Chase<br>L/Front S-Roll<br>L/Tech C Parry<br>"""
iidx3_52_0_1#0,"""*L/JG Sonic Arrow<br>L/Knuckle Chase<br>L/High Time Keep<br>"""
iidx3_52_0_2#0,"""*L/JG Heavenly F<br>L/Katana Gear Guard R<br>L/DB Snatch<br>"""
iidx3_52_0_3#0,"""*L/JG Rising F<br>L/DS Kamaitachi<br>L/RR Field<br>"""
iidx3_52_0_4#0,"""*L/Wide Area Heal<br>L/Early Rise<br>L/Mate Lovers<br>"""
iidx3_52_0_5#0,"""*L/Quick Blaster<br>L/Light Armor<br>L/Wand E Change<br>"""
iidx3_52_0_6#0,"""*L/Bullet Bow Homing<br>L/Standing Sign<br>L/Short Mirage<br>"""
iidx3_52_0_7#0,"""*L/JB Elemental Keep<br>L/A. Launcher Mode<br>R/J Reversal Cover<br>"""
iidx3_52_0_8#0,"""*L/Slow Dive Roll<br>L/Step Jump<br>L/Air Reversal<br>"""
iidx3_52_0_9#0,"""*L/JB Tech Arts SC<br>L/L Non-Weak Bonus<br>L/J Reversal JA Combo<br>"""
iidx3_52_0_10#0,"""*L/PB Homing<br>L/Near Auto-target<br>R/Tech Arts JAPPS<br>"""
iidx3_52_0_11#0,"""*L/Slow Fi Action<br>L/Peace Zondeel<br>L/Jumping Dodge<br>"""
iidx3_52_0_12#0,"""*L/A. Rod Shoot Mode<br>L/Just Reversal B<br>R/Quick Mate<br>"""
iidx3_52_0_13#0,"""*L/Mag Excite<br>L/Step JA Combo<br>R/Critical Field<br>"""
iidx3_52_0_14#0,"""*L/Katana C Count Up<br>L/T. Machinegun S. Up<br>R/Flame T.S. Charge<br>"""
iidx3_52_0_15#0,"""*L/P. Weak Bullet<br>L/Atomizer Lovers<br>R/HP Restorate<br>"""
iidx3_53_0_0#0,"""Салат из помидоров<br>Карпаччо из тунца<br>Тушёная аю в свежих помидорах<br>"""
iidx3_53_0_1#0,"""Шикарный гамбургер<br>"""
iidx3_53_0_2#0,"""Шикарный гамбургер<br>"""
iidx3_53_0_4#0,"""Жареный угорь с рисом<br>"""
iidx3_53_0_5#0,"""Крабовый крокет<br>"""
iidx3_53_0_6#0,"""Паста из камбалы<br>Суп из кукурузы Dengeki<br>"""
iidx3_53_0_7#0,"""Мята менье<br>"""
iidx3_53_0_8#0,"""Равиоли из репы<br>"""
iidx3_53_0_9#0,"""Салат с сардиной<br>Караагэ<br>"""
iidx3_53_0_10#0,"""Тыквенный пирог с морепродуктами<br>"""
iidx3_53_0_11#0,"""Ахидзё с зелёным луком<br>"""
iidx3_53_0_12#0,"""Крабы с грибами под яйцом<br>"""
iidx3_53_0_13#0,"""Варёный карп<br>"""
iidx3_53_0_14#0,"""Салат из моллюсков<br>"""
iidx3_53_0_15#0,"""Жареные креветки-богомолы<br>"""
iidx3_53_0_16#0,"""Осминожьи оладьи<br>"""
iidx3_53_0_17#0,"""Тушёный полосатый тунец<br>"""
iidx3_53_0_18#0,"""Игольчатая галетта<br>"""
iidx3_53_0_19#0,"""Пирог со светлячками и кальмарами<br>"""
iidx3_53_0_20#0,"""Жареный во фритюре змееголов<br>"""
iidx3_53_0_21#0,"""Репейный бисквит с лопухом<br>"""
iidx3_54_0_1#0,"""Лосось с фруктовым соусом<br>Жаркое с мясом<br>Вкусный бургер<br>"""
iidx3_54_0_2#0,"""Мидии с маслом<br>Жаркое с мясом<br>Маринад<br>"""
iidx3_54_0_3#0,"""Жаренная рыба-сабля<br>Фруктовый пирог Dengeki<br>"""
iidx3_54_0_4#0,"""Кан Чуа с сельдью<br>Фруктовый пирог Dengeki<br>"""
iidx3_54_0_5#0,"""Конфи из морепродуктов и фруктов<br>Фруктовый пирог Dengeki<br>"""
iidx3_54_0_6#0,"""Устрицы на гриле<br>"""
iidx3_54_0_7#0,"""Обёрнутые на гриле морепродукты<br>"""
iidx3_55_0_0#0,"""Желтохвостовый бульон<br>Маринад<br>Жареный угорь с рисом<br>"""
iidx3_55_0_1#0,"""Темпура креветки<br>Паста из камбалы<br>"""
iidx3_55_0_2#0,"""Красный пагр с терияки<br>Сашими из тунца<br>Желтохвостовый бульон<br>"""
iidx3_55_0_3#0,"""Буррито с кальмарами<br>Суп из кукурузы Dengeki<br>"""
iidx3_62_0_0#0,"""Жареная рыба<br>Тушёная аю в свежих помидорах <br>Кан Чуа с сельдью<br>"""
iidx3_62_0_1#0,"""Карпаччо из тунца<br>Осминожьи оладьи<br>"""
iidx3_62_0_2#0,"""Желтохвостовый бульон<br>Роскошные морепродукты<br>"""
iidx3_62_0_3#0,"""Суп из морепродуктов<br>Игольчатая галетта<br>"""
iidx3_62_0_4#0,"""Сашими<br>Лосось с фруктовым соусом<br>Жареная на сковороде гольца<br>"""
iidx3_62_0_6#0,"""Жаренный стефанолепис на грилле<br>Водоросли чиринабэ<br>"""
iidx3_62_0_8#0,"""Сашими из тунца<br>"""
iidx3_62_0_9#0,"""Красный пагр с терияки<br>Суп из акулы<br>"""
iidx3_62_0_11#0,"""Паста из камбалы<br>Обёрнутые на гриле морепродукты<br>"""
iidx3_62_0_12#0,"""Суп из акулы<br>"""
iidx3_62_0_14#0,"""Жареный угорь с рисом<br>Репейный бисквит с лопухом<br>"""
iidx3_62_0_15#0,"""Жаренная рыба-сабля<br>Конфи из морепродуктов и фруктов<br>"""
iidx3_62_0_16#0,"""Суп из акулы<br>"""
iidx3_62_0_17#0,"""Салат с сардиной<br>Тыквенный пирог с морепродуктами<br>"""
iidx3_62_0_19#0,"""Рак-богомол на пару<br>Пирог со светлячками и кальмарами<br>"""
iidx3_62_0_21#0,"""Мята менье<br>Варёный карп<br>"""
iidx3_62_0_23#0,"""Тыквенный пирог с морепродуктами<br>Жареный во фритюре змееголов<br>"""
iidx3_62_0_24#0,"""Кан Чуа с сельдью<br>Тушёный полосатый тунец<br>"""
iidx3_62_0_25#0,"""Жареная на сковороде гольца<br>"""
iidx3_62_0_27#0,"""Жареная на сковороде гольца<br>Брошетка из морепродуктов<br>"""
iidx3_62_0_28#0,"""Брошетка из морепродуктов<br>"""
iidx3_62_0_30#0,"""Варёный карп<br>"""
iidx3_62_0_31#0,"""Тушёный полосатый тунец<br>"""
iidx3_62_0_32#0,"""Водоросли чиринабэ<br>"""
