TEST#0,"""Тест."""
ConnectErrorLabel#0,"""Ошибка связи"""
ConnectErrorText#0,"""Связь с сервером разорвана. Перенос на стартовый экран..."""
InvalidPasswordText#0,"""Неверный логин или пароль."""
FailVersionText#0,"""Версия игры не соответствует серверу. Перенос на стартовый экран."""
DnsError#0,"""Ошибка DNS"""
SignOut_Vita#0,"""PlayStation®Networkからサインアウトしました。<br>タイトルへ戻ります。"""
Resume_Vita#0,"""サーバータイムアウトが発生しました。<br>タイトルへ戻ります。"""
ErrorWindowText#0,"""※Узнать больше об ошибках и борьбе с ними можно на официальном сайте тех-поддержки."""
ErrorCodeText#0,"""Код ошибки"""
OkButtonText#0,"""OK"""
WebButtonText#0,"""На официальный сайт"""
ShopButtonText#0,"""В магазин"""
WebURL#0,"""<&URL pso2_players_manual_preparations_arkslobby_block>"""
ShopURL#0,"""<&URL AC_CHARGE_PAGE>"""
Code220_Title#0,"""Доступна новая версия."""
Code220_Code#0,"""Не удалось соединиться с сервером."""
Code220_Message#0,"""Доступна новая версия.<br>Не удалось соединиться с сервером."""
Code221_Title#0,"""Доступна новая версия."""
Code221_Code#0,"""Не удалось загрузить последнюю версию."""
Code221_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へ<br>お問い合わせください。"""
Code222_Title#0,"""Доступна новая версия."""
Code222_Code#0,"""Не удалось загрузить последнюю версию."""
Code222_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code223_Title#0,"""Проверка последней версии игры"""
Code223_Code#0,"""Не удалось подтвердить версию."""
Code223_Message#0,"""Доступна новая версия.<br>Не удалось соединиться с сервером."""
Code224_Title#0,"""Проверка последней версии игры"""
Code224_Code#0,"""Не удалось подтвердить версию."""
Code224_Message#0,"""Доступна новая версия.<br>Не удалось соединиться с сервером."""
Code225_Title#0,"""Доступна новая версия."""
Code225_Code#0,"""Не удалось загрузить последние системные файлы."""
Code225_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code226_Title#0,"""Доступна новая версия."""
Code226_Code#0,"""Не удалось загрузить последние системные файлы."""
Code226_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code227_Title#0,"""Доступна новая версия."""
Code227_Code#0,"""Не удалось загрузить файл."""
Code227_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code228_Title#0,"""Доступна новая версия."""
Code228_Code#0,"""Не удалось загрузить файл."""
Code228_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code230_Title#0,"""Подключение к сети"""
Code230_Code#0,"""Ошибка подключения к сети."""
Code230_Message#0,"""Ошибка подключения к сети<br>(Нет ответа от DNS-сервера)"""
Code231_Title#0,"""Подключение к сети"""
Code231_Code#0,"""Ошибка подключения к сети."""
Code231_Message#0,"""Ошибка подключения к сети<br>(Нет ответа от DNS-сервера)"""
Code240_Title#0,"""Подключение к сети"""
Code240_Code#0,"""Ошибка подключения к сети."""
Code240_Message#0,"""サーバーへ接続することができませんでした。<br>公式サイトのお知らせ等で<br>サーバーの稼働状況についてご確認ください。"""
Code241_Title#0,"""Подключение к сети"""
Code241_Code#0,"""Ошибка подключения к сети."""
Code241_Message#0,"""サーバーへ接続することができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code242_Title#0,"""Подключение к сети"""
Code242_Code#0,"""Ошибка подключения к сети."""
Code242_Message#0,"""Не удалось подключиться к серверу.<br>Пожалуйста, подождите немного и затем повторите снова."""
Code249_Title#0,"""Подключение к сети"""
Code249_Code#0,"""Ошибка подключения к сети."""
Code249_Message#0,"""サーバへ接続することができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code250_Title#0,"""ネットワーク接続"""
Code250_Code#0,"""ネットワーク接続にエラーが発生しました。"""
Code250_Message#0,"""サーバへ接続することができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。<br>[ No.250 - $(0) ]"""
Code601_Title#0,"""Некорректный ID"""
Code601_Code#0,"""Не удалось завершить проверку SEGA ID."""
Code601_Message#0,"""Возможно, на сервере ведутся технические работы. Проверить статус сервера можно на официальном сайте."""
Code602_Title#0,"""Некорректный ID"""
Code602_Code#0,"""Не удалось завершить проверку SEGA ID."""
Code602_Message#0,"""Пожалуйста, убедитесь, что SEGA ID и пароль введены верно и повторите попытку подключения. Все символы логина должны быть в нижнем регистре."""
Code603_Title#0,"""Некорректный ID"""
Code603_Code#0,"""Не удалось завершить проверку SEGA ID."""
Code603_Message#0,"""Пожалуйста, убедитесь, что SEGA ID и пароль введены верно и повторите попытку подключения. Все символы логина должны быть в нижнем регистре."""
Code604_Title#0,"""Некорректный ID"""
Code604_Code#0,"""Не удалось завершить проверку SEGA ID."""
Code604_Message#0,"""Войти в игру не удаётся слишком часто. Попробуйте ещё раз через некоторое время."""
Code605_Title#0,"""Некорректный ID"""
Code605_Code#0,"""IDの認証に失敗しました。"""
Code605_Message#0,"""提携IDを管理するサーバーが<br>メンテナンス等で停止している可能性があります。<br>詳細は提携IDのサービス会社にご確認ください。"""
Code606_Title#0,"""Некорректный ID"""
Code606_Code#0,"""IDの認証に失敗しました。"""
Code606_Message#0,"""提携IDの認証が正常に行なわれませんでした。<br>詳細は提携IDのサービス会社にご確認ください。"""
Code611_Title#0,"""Подключение к серверу"""
Code611_Code#0,"""Не удалось подключиться к серверу."""
Code611_Message#0,"""サーバーがメンテナンス中の可能性があります。<br>ファンタシースターオンライン2の公式サイトにて<br>メンテナンス情報をご確認下さい。"""
Code612_Title#0,"""Подключение к серверу"""
Code612_Code#0,"""Не удалось подключиться к серверу."""
Code612_Message#0,"""ただいま大変混雑しております。<br>しばらく時間をおいてから接続してください。"""
Code615_Title#0,"""Подключение к серверу"""
Code615_Code#0,"""Не удалось подключиться к блоку."""
Code615_Message#0,"""Блок заполнен, не удалось перейти."""
Code616_Title#0,"""Подключение к серверу"""
Code616_Code#0,"""Не удалось подключиться к блоку."""
Code616_Message#0,"""Блок заполнен, не удалось перейти."""
Code620_Title#0,"""Ошибка входа"""
Code620_Code#0,"""Ошибка входа."""
Code620_Message#0,"""終了処理が正常に行われなかったため、<br>データがロックされています。<br>10分程度時間を空けてから接続してください。"""
Code622_Title#0,"""Выбор комнаты"""
Code622_Code#0,"""Не удалось выбрать комнату."""
Code622_Message#0,"""選択したマイルームは混雑しているため、<br>移動することができませんでした。"""
Code623_Title#0,"""Выбор комнаты"""
Code623_Code#0,"""Не удалось выбрать комнату."""
Code623_Message#0,"""Не удалось найти сервер комнаты."""
Code624_Title#0,"""Выбор комнаты"""
Code624_Code#0,"""Не удалось выбрать комнату."""
Code624_Message#0,"""Не удалось войти в комнату из за<br>установленных ограничений."""
Code625_Title#0,"""Выбор комнаты"""
Code625_Code#0,"""Не удалось выбрать комнату."""
Code625_Message#0,"""Не удалось войти в комнату из за<br>установленных ограничений."""
Code626_Title#0,"""Выбор комнаты"""
Code626_Code#0,"""Не удалось выбрать комнату."""
Code626_Message#0,"""サーバーのシステム上の問題が発生したため、<br>マイルームを選択できませんでした。"""
Code627_Title#0,"""Выбор комнаты"""
Code627_Code#0,"""Не удалось выбрать комнату."""
Code627_Message#0,"""マイルームの使用権利がないか、期限が切れているため、<br>移動することができませんでした。"""
Code628_Title#0,"""Выбор комнаты"""
Code628_Code#0,"""Не удалось выбрать комнату."""
Code628_Message#0,"""対象マイルーム所有者の<br>マイルーム使用権利がないか、<br>期限が切れているため、<br>移動することができませんでした。"""
Code630_Title#0,"""Связь с сервером"""
Code630_Code#0,"""Сервер не отвечает."""
Code630_Message#0,"""Соединение потеряно. Вы отправитесь на стартовый экран."""
Code633_Title#0,"""Переход в свою комнату"""
Code633_Code#0,"""Не удалось перейти в свою комнату."""
Code633_Message#0,"""選択したマイルームは混雑しているため、<br>移動できません。"""
Code634_Title#0,"""Переход в свою комнату"""
Code634_Code#0,"""Не удалось перейти в свою комнату."""
Code634_Message#0,"""Не удалось найти сервер комнаты."""
Code635_Title#0,"""Переход в свою комнату"""
Code635_Code#0,"""Не удалось перейти в свою комнату."""
Code635_Message#0,"""マイルーム側で制限されている為、<br>移動できませんでした。"""
Code636_Title#0,"""Переход в свою комнату"""
Code636_Code#0,"""Не удалось перейти в свою комнату."""
Code636_Message#0,"""マイルーム側で制限されている為、<br>移動できませんでした。"""
Code637_Title#0,"""Переход в свою комнату"""
Code637_Code#0,"""Не удалось перейти в свою комнату."""
Code637_Message#0,"""サーバーのシステム上の問題が発生したため、<br>移動できませんでした。"""
Code638_Title#0,"""Переход в свою комнату"""
Code638_Code#0,"""Не удалось перейти в свою комнату."""
Code638_Message#0,"""Оплаченный срок истёк, переход невозможен."""
Code639_Title#0,"""Переход в свою комнату"""
Code639_Code#0,"""Не удалось перейти в свою комнату."""
Code639_Message#0,"""Оплаченный срок истёк, переход невозможен."""
Code640_Title#0,"""Проверка версии игры"""
Code640_Code#0,"""Несоответствующая версия клиента игры."""
Code640_Message#0,"""Игра не обновлена. Выполните проверку файлов. При необходимости переустановите игру."""
Code641_Title#0,"""Проверка клиента"""
Code641_Code#0,"""Ошибка в клиенте игры."""
Code641_Message#0,"""Игра не обновлена. Выполните проверку файлов. При необходимости переустановите игру."""
Code642_Title#0,"""Смена блока"""
Code642_Code#0,"""Не удалось перейти в выбранный блок."""
Code642_Message#0,"""選択したブロックが見つからなかった為、<br>移動できませんでした。"""
Code643_Title#0,"""Смена блока"""
Code643_Code#0,"""Не удалось перейти в выбранный блок."""
Code643_Message#0,"""選択したブロック側の制限により、<br>移動できませんでした。"""
Code644_Title#0,"""Смена блока"""
Code644_Code#0,"""Не удалось перейти в выбранный блок."""
Code644_Message#0,"""サーバーのシステム上の問題で、<br>ブロックに移動することができませんでした。"""
Code645_Title#0,"""Смена сервера"""
Code645_Code#0,"""Перенос на выбранный сервер не удался."""
Code645_Message#0,"""選択したサーバーが混雑しているため<br>移動に失敗しました"""
Code646_Title#0,"""Смена сервера"""
Code646_Code#0,"""Перенос на выбранный сервер не удался."""
Code646_Message#0,"""Выбранный сервер не найден.<br>Не удалось перейти."""
Code647_Title#0,"""Смена сервера"""
Code647_Code#0,"""Перенос на выбранный сервер не удался."""
Code647_Message#0,"""選択したサーバー側に制限されている為、<br>移動できませんでした。"""
Code648_Title#0,"""Смена сервера"""
Code648_Code#0,"""Перенос на выбранный сервер не удался."""
Code648_Message#0,"""システムの問題により選択したサーバーへ<br>移動できませんでした。"""
Code649_Title#0,"""チームルーム選択"""
Code649_Code#0,"""Не удалось перейти в комнату команды."""
Code649_Message#0,"""На сервере ведутся технические работы. Более подробную информацию можно найти на официальном сайте.."""
Code650_Title#0,"""チームルーム選択"""
Code650_Code#0,"""Не удалось перейти в комнату команды."""
Code650_Message#0,"""Не удалось подключиться к серверу<br>комнаты команды.<br><br>Пожалуйста, повторите попытку позже."""
Code651_Title#0,"""チームルーム選択"""
Code651_Code#0,"""Не удалось перейти в комнату команды."""
Code651_Message#0,"""チームに所属していないため、<br>チームルームに移動することができません。<br><br>ご自分の所属チームについてご確認ください。"""
Code652_Title#0,"""チームルーム選択"""
Code652_Code#0,"""Не удалось перейти в комнату команды."""
Code652_Message#0,"""所属チームがまだチームルームを入手していないため、<br>移動することができません。<br>"""
Code653_Title#0,"""チームルーム選択"""
Code653_Code#0,"""Не удалось перейти в комнату команды."""
Code653_Message#0,"""通信エラーが発生したため、チームルームに<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code654_Title#0,"""チームルーム選択"""
Code654_Code#0,"""Не удалось перейти в комнату команды."""
Code654_Message#0,"""チームの管理権限を持っていないため、<br>チームルームに移動することができません。"""
Code655_Title#0,"""チームルーム選択"""
Code655_Code#0,"""Не удалось перейти в комнату команды."""
Code655_Message#0,"""На сервере ведутся технические работы. Более подробную информацию можно найти на официальном сайте."""
Code656_Title#0,"""チームルーム選択"""
Code656_Code#0,"""Не удалось перейти в комнату команды."""
Code656_Message#0,"""Не удалось подключиться к серверу<br>комнаты команды.<br><br>Пожалуйста, повторите попытку позже."""
Code657_Title#0,"""チームルーム選択"""
Code657_Code#0,"""Не удалось перейти в комнату команды."""
Code657_Message#0,"""チームに所属していないため、<br>チームルームに移動することができません。<br><br>ご自分の所属チームについてご確認ください。"""
Code658_Title#0,"""チームルーム選択"""
Code658_Code#0,"""Не удалось перейти в комнату команды."""
Code658_Message#0,"""所属チームがまだチームルームを入手していないため、<br>移動することができません。<br>"""
Code659_Title#0,"""チームルーム選択"""
Code659_Code#0,"""Не удалось перейти в комнату команды."""
Code659_Message#0,"""通信エラーが発生したため、チームルームに<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code660_Title#0,"""チームルーム選択"""
Code660_Code#0,"""Не удалось перейти в комнату команды."""
Code660_Message#0,"""チームの管理権限を持っていないため、<br>チームルームに移動することができません。"""
Code700_Title#0,"""Смена блока"""
Code700_Code#0,"""Не удалось перейти в выбранный блок."""
Code700_Message#0,"""プレミアムセット有効期間中にのみ<br>移動が可能なブロックです。<br>利用券をお持ちでないか、<br>利用期限が切れているため、<br>移動することができません。"""
Code701_Title#0,"""Смена блока"""
Code701_Code#0,"""Не удалось перейти в выбранный блок."""
Code701_Message#0,"""ご使用のプラットフォームでは<br>移動することができないブロックです。"""
Code710_Title#0,"""Контент премиум-сета"""
Code710_Code#0,"""このコンテンツは、<br>プレミアムセットの間のみ使用可能です。"""
Code710_Message#0,"""プレミアムセットをご利用になるには、<br>メインメニューの「ACショップ」で<br>「プレミアムセット」をご購入ください。"""
Code711_Title#0,"""Контент премиум-сета"""
Code711_Code#0,"""Срок действия премиум-сета истёк."""
Code711_Message#0,"""このコンテンツを利用するための<br>プレミアムセットの期限が切れています。<br>メインメニューの「ACショップ」で<br>「プレミアムセット」をご購入ください。"""
Code712_Title#0,"""Нужно больше AC"""
Code712_Code#0,"""Недостаточно AC<br>для использования данной возможности."""
Code712_Message#0,"""ACをチャージするには、<br>メインメニューの「ACショップ」で<br>「ACチャージ」を選択してください。"""
Code810_Title#0,"""Предупреждение"""
Code810_Code#0,"""Подана жалоба на покупателя."""
Code810_Message#0,"""Некорректное поведение в дальнейшем может поставить под угрозу ваш доступ к данному сервису. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code811_Title#0,"""Предупреждение"""
Code811_Code#0,"""Подана жалоба на покупателя."""
Code811_Message#0,"""Некорректное поведение в дальнейшем может привести к ограничению вашего доступа к серверу. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code812_Title#0,"""Бан"""
Code812_Code#0,"""Покупателю запрещён доступ к данному сервису."""
Code812_Message#0,"""Вам запрещён доступ к данному сервису. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code813_Title#0,"""Бан"""
Code813_Code#0,"""ただいまお客様のご利用を<br>一時的に停止させていただいております。"""
Code813_Message#0,"""Ваш доступ к серверу PSO2 был ограничен на период до %d. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code814_Title#0,"""Бан"""
Code814_Code#0,"""Покупателю запрещён доступ к данному сервису."""
Code814_Message#0,"""Вам запрещён доступ к данному сервису. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code815_Title#0,"""Запрет действия."""
Code815_Code#0,"""ただいまお客様の一部の機能の<br>ご利用を停止させていただいております。"""
Code815_Message#0,"""Вам запрещён доступ к данному сервису. Если возникли вопросы, вы можете задать их на сайте PSO2."""
Code911_Title#0,"""Подтверждение"""
Code911_Code#0,"""Возникла непредвиденная ошибка"""
