NONE#0,"""Нету"""
TITLE#0,"""Неудача"""
NONE#1,"""Нету"""
Client_NULL#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1100］"""
Client_ALIVE#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1101］"""
SERVER#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1102］"""
GAME_ROOM#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1103］"""
NOT_ROLE#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1104］"""
NOT_GUILD_ROOM#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1105］"""
NOT_GUILD_MENBER#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1106］"""
Zone_NULL#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1107］"""
NOT_GUILD_DATA#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1108］"""
TEAMPOINT#0,"""Произошла ошибка при обработке запроса.<br>Пожалуйста, попробуйте снова через некоторое время.<br><br>[No.1109］"""
RecordsInfo#0,"""$(1)/$(0)<br>[$(2) - $(3)]<br>Командных очков получено: $(4)"""
Grade_1st#0,"""Победа"""
Grade_Etc#0,"""Ранг $(0)"""
RankType_GuildPoint#0,"""Ранг по командным очкам"""
RankType_RareItem#0,"""Ранг по редким предметам"""
