Date#0,"""$(1)/$(0)/$(2)"""
Date_v#0,"""$(2)/$(1)/$(0)"""
January#0,"""1"""
February#0,"""2"""
March#0,"""3"""
April#0,"""4"""
May#0,"""5"""
June#0,"""6"""
July#0,"""7"""
August#0,"""8"""
September#0,"""9"""
October#0,"""10"""
November#0,"""11"""
December#0,"""12"""
TimeCountSec#0,"""$(0) сек."""
TimeCount#0,"""$(0):$(1)"""
Time#0,"""$(0):$(1)"""
TimeSec#0,"""$(0):$(1):$(2)"""
DateTime#0,"""$(3)/$(0)/$(4) $(1):$(2)"""
DateTime_v#0,"""$(4)/$(3)/$(0) $(1):$(2)"""
DateTimeSec#0,"""$(3)/$(0)/$(5) $(1):$(2):$(4)"""
DateTimeSec_v#0,"""$(5)/$(3)/$(0) $(1):$(2):$(4)"""
EmptyDateTime#0,"""-- --, -- --:--"""
Period#0,"""$(0):$(1)"""
PeriodMin#0,"""$(0) минут"""
LeaveHour#0,"""$(0):$(1)"""
LeaveMin#0,"""$(0) минут"""
