Gat_TitleStatus#0,"""Состояние сбора"""
Gat_TitleAbleList#0,"""Доступные достижения сбора"""
ResultNum#0,"""$(0)/$(1)"""
ResultNum_2#0,"""$(0)/"""
ResultNumTitle#0,"""<yellow>достижения: $(0)/$(1)<c>"""
RewardNum#0,"""$(0) ×$(1)"""
FeverTime_Add#0,"""+$(0) секунд"""
C_Level#0,"""Уровень сбора"""
F_Level#0,"""Уровень ловли"""
NextLevel#0,"""$(0) Достижения следующего уровня"""
Percent#0,"""$(0)%"""
Percent2#0,"""+$(0).$(1)%"""
ComboBonus#0,"""$(0)～$(1)"""
NumAchieve#0,"""$(0) Достижения"""
Time_3#0,"""$(0):$(1)мин."""
Time_2#0,"""$(0) мин."""
Time_2Add#0,"""($(1) восстановление через $(0))"""
Time_3Add#0,"""$(0)"""
No_Achievable#0,"""Нет доступных достижений."""
NoItemMsg#0,"""Нет достижений."""
RareF_Rate#0,"""Повышение добычи редкостей $(0).$(1)%"""
RareC_Rate#0,"""Повышение сбора редкостей $(0).$(1)%"""
AddF_Rate#0,"""Повышение дополнительной ловли $(0).$(1)%"""
AddC_Rate#0,"""Повышение дополнительного сбора $(0).$(1)%"""
Name_C0000#0,"""Сбор 1"""
Name_C0001#0,"""Сбор 2"""
Name_C0002#0,"""Сбор 3"""
Name_C0003#0,"""Сбор 4"""
Name_C0004#0,"""Сбор 5"""
Name_C0005#0,"""Сбор 6"""
Name_C0006#0,"""Дополнительный сбор 1"""
Name_C0007#0,"""Дополнительный сбор 2"""
Name_C0008#0,"""Дополнительный сбор 3"""
Name_C0009#0,"""Дополнительный сбор 4"""
Name_C0010#0,"""Сбор редкостей 1"""
Name_C0011#0,"""Сбор редкостей 2"""
Name_C0012#0,"""Сбор редкостей 3"""
Name_C0013#0,"""Сбор редкостей 4"""
Name_C0014#0,"""Сбор овощей 1"""
Name_C0015#0,"""Сбор фруктов 1"""
Name_C0016#0,"""Сбор зерновых 1"""
Name_C0017#0,"""Сбор минералов 1"""
Name_C0018#0,"""Сбор 7"""
Name_C0019#0,"""Сбор 8"""
Name_C0020#0,"""Сбор 9"""
Name_C0021#0,"""Сбор 10"""
Name_C0022#0,"""Сбор 11"""
Name_C0023#0,"""Дополнительный сбор 5"""
Name_C0024#0,"""Дополнительный сбор 6"""
Name_C0025#0,"""Дополнительный сбор 7"""
Name_C0026#0,"""Дополнительный сбор 8"""
Name_C0027#0,"""Дополнительный сбор 9"""
Name_C0028#0,"""Сбор редкостей 5"""
Name_C0029#0,"""Сбор редкостей 6"""
Name_C0030#0,"""Сбор редкостей 7"""
Name_C0031#0,"""Сбор редкостей 8"""
Name_C0032#0,"""Сбор редкостей 9"""
Name_C0033#0,"""Сбор овощей 2"""
Name_C0034#0,"""Сбор овощей 2"""
Name_C0035#0,"""Сбор зерновых 2"""
Name_C0036#0,"""Сбор минералов 2"""
Name_C0037#0,"""Сборсамоцветов 1"""
Name_C0038#0,"""Сбор лесных растений 1"""
Name_C0039#0,"""Сбор лесных растений 2"""
Name_C0040#0,"""Сбор лесных растений 3"""
Name_C0041#0,"""Сбор Forest Tomato 1"""
Name_C0042#0,"""Сбор Forest Tomato 2"""
Name_C0043#0,"""Сбор Forest Rice 1"""
Name_C0044#0,"""Сбор Forest Rice 2"""
Name_C0045#0,"""Сбор Naberdake 1"""
Name_C0046#0,"""Сбор Forest Emerald 1"""
Name_C0047#0,"""Сбор предметов в Руинах 1"""
Name_C0048#0,"""Сбор предметов в Руинах 2"""
Name_C0049#0,"""Сбор предметов в Руинах 3"""
Name_C0050#0,"""Сбор Ruins Grapes 1"""
Name_C0051#0,"""Сбор Ruins Grapes 2"""
Name_C0052#0,"""Сбор Ruins Onion 1"""
Name_C0053#0,"""Сбор Ruins Onion 2"""
Name_C0054#0,"""Сбор Naberdake 1"""
Name_C0055#0,"""Сбор Ruins Amethyst 1"""
Name_C0056#0,"""Сбор на Побережье 1"""
Name_C0057#0,"""Сбор на Побережье 2"""
Name_C0058#0,"""Сбор на Побережье 3"""
Name_C0059#0,"""Сбор Coast Salt 1"""
Name_C0060#0,"""Сбор Coast Salt 2"""
Name_C0061#0,"""Сбор Coast Olive 1"""
Name_C0062#0,"""Сбор Coast Olive 2"""
Name_C0063#0,"""Сбор Vopar Shell 1"""
Name_C0064#0,"""Сбор Coast Sapphire 1"""
Name_C0065#0,"""Сбор в Токио 1"""
Name_C0066#0,"""Сбор в Токио 2"""
Name_C0067#0,"""Сбор в Токио 3"""
Name_C0068#0,"""Сбор Tokyo Soybean 1"""
Name_C0069#0,"""Сбор Tokyo Soybean 2"""
Name_C0070#0,"""Сбор Earth Shell 1"""
Name_C0071#0,"""Сбор Earth Shell 2"""
Name_C0072#0,"""Сбор пустой бутылки １"""
Name_C0073#0,"""Сбор Tokyo Opal 1"""
Name_C0074#0,"""Сбор в Пустыне 1"""
Name_C0075#0,"""Сбор в Пустыне 2"""
Name_C0076#0,"""Сбор в Пустыне 3"""
Name_C0077#0,"""Сбор Desert Pepper 1"""
Name_C0078#0,"""Сбор Desert Pepper 2"""
Name_C0079#0,"""Сбор Desert Mango 1"""
Name_C0080#0,"""Сбор Desert Mango 2"""
Name_C0081#0,"""Сбор Lillipa Chokki 1"""
Name_C0082#0,"""Сбор Desert Topaz 1"""
Name_C0083#0,"""Сбор в Карьере 1"""
Name_C0084#0,"""Сбор в Карьере 2"""
Name_C0085#0,"""Сбор в Карьере 3"""
Name_C0086#0,"""Сбор Qarry Potato 1"""
Name_C0087#0,"""Сбор Qarry Potato 2"""
Name_C0088#0,"""Сбор Qarry Pepper 1"""
Name_C0089#0,"""Сбор Qarry Pepper 2"""
Name_C0090#0,"""Сбор Lillipa Chokki 1"""
Name_C0091#0,"""Сбор Quarry Lapis Lazuli 1"""
Name_C0092#0,"""Сбор на Сооружении 1"""
Name_C0093#0,"""Сбор на Сооружении 2"""
Name_C0094#0,"""Сбор на Сооружении 3"""
Name_C0095#0,"""Сбор Facility Mint 1"""
Name_C0096#0,"""Сбор Facility Mint 2"""
Name_C0097#0,"""Сбор Facility Turnip 1"""
Name_C0098#0,"""Сбор Facility Turnip 2"""
Name_C0099#0,"""Сбор Vopar Shell 1"""
Name_C0100#0,"""Сбор Facility Tourmaline 1"""
Name_C0101#0,"""Сбор в Лас-Вегасе 1"""
Name_C0102#0,"""Сбор в Лас-Вегасе 2"""
Name_C0103#0,"""Сбор в Лас-Вегасе 3"""
Name_C0104#0,"""Сбор Las Vegas Lettuce 1"""
Name_C0105#0,"""Сбор Las Vegas Lettuce 2"""
Name_C0106#0,"""Сбор Las Vegas Corn 1"""
Name_C0107#0,"""Сбор Las Vegas Corn 2"""
Name_C0108#0,"""Сбор Empty Bottle 1"""
Name_C0109#0,"""Сбор Las Vegas Diamond 1"""
Name_C0110#0,"""Сбор в Вулканических пещерах 1"""
Name_C0111#0,"""Сбор в Вулканических пещерах 2"""
Name_C0112#0,"""Сбор в Вулканических пещерах 3"""
Name_C0113#0,"""Сбор Volcanic Cavern Pumpkin 1"""
Name_C0114#0,"""Сбор Volcanic Cavern Pumpkin 2"""
Name_C0115#0,"""Сбор Volcanic Cavern Pineapple 1"""
