Title#0,"""Меню покупки"""
Caption1#0,"""Название предмета"""
Caption2#0,"""Показать срок действия"""
Caption3#0,"""Цена"""
PopupItem1#0,"""Получена скретч карта - $(1) $(0)"""
PopupItem1_2#0,"""Получено $(1) скретч карт - $(2) $(0)"""
PopupItem2_1#0,"""Играть скретч карту AC (Имеется: $(0))"""
PopupItem2_2#0,"""Играть золотую кретч карту AC (Имеется: $(0))"""
PopupItem2_3#0,"""Невозможно получить эту скретч карту за AC"""
PopupItem2_4#0,"""Получена платиновая скретч карта AC (Имеется: $(0))"""
PopupItem2_5#0,"""Играть $(0) скретч карты AC (Имеется: $(1))"""
PopupItem2_6#0,"""Играть $(0) золотые скретч карты AC (Имеется: $(1))"""
PopupItem3#0,"""Список призов"""
PopupItem4_1#0,"""-"""
PopupItem4_2#0,"""-"""
PopupItem5#0,"""Бонус за регулярное участие"""
PopupItem6#0,"""Для получения информации по скретчам посетите сайт."""
PopupItem7#0,"""交換券と景品を交換する(所持数:$(0))"""
PopupItem8#0,"""試着する"""
Title#1,"""Список призов"""
Title#2,"""-"""
Caption1#1,"""-"""
Caption2#1,"""-"""
Caption3#1,"""-"""
Title#3,"""Информация о предмете"""
Hotitem_Caption#0,"""Рекомендованные предметы"""
GachaBonusCaption#0,"""Бонус за регулярное участие"""
GachaBonusNext#0,"""このスクラッチ<yellow>$(0)回<c>でプレゼント！"""
GachaBonusComment#0,"""$(0) など豪華$(1)点セット！"""
GachaBonusCommentNothing#0,"""このスクラッチは回数ボーナスがありません。"""
GachaBonusCommentAchieved#0,"""このスクラッチの回数ボーナスは獲得済みです。"""
CheckProbability_Title#0,"""Просмотреть информацию скретча"""
CheckProbability_Message#0,"""Чтобы получить больше информации о скретчах и о том,,<br>как они работают, пройдите по ссылке.<br><&URL pso2_players_catalog_scratch>"""
CheckProbability_Message_v#0,"""スクラッチ情報を確認するため、<br>ブラウザーで以下のURLを開きます。<br><&URL pso2_players_catalog_scratch><br><red>※アプリケーションを終了して<br>ブラウザーを開きます。<c>"""
CheckProbability_Url#0,"""http://pso2.jp/players/catalog/scratch/"""
Title#4,"""Бонус за регулярное участие"""
CounterCaption#0,"""このスクラッチを引いた回数"""
CounterNum#0,"""$(0) раз(а)"""
Achieved#0,"""Победитель!"""
NextMore#0,"""$(0) осталось"""
NextMoreMulti#0,"""<space>"""
NextMoreEvery#0,"""$(0) осталось"""
Detail_Exp#0,"""Опыт\u3000$(0)"""
Detail_Meseta#0,"""$(0)"""
Detail_CountableItem#0,"""$(0)×$(1)"""
DetailsTitle#0,"""Подробности о предмете"""
Title#5,"""Подтверждение покупки"""
Message#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>Купить $(1) за $(2)$(0).<br>Вы уверены?"""
Message_Fun#0,"""Купить $(1) за $(2)$(0).<br>Вы уверены?"""
PassMessage#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>$(0)を<br>$(2)を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
PassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>よろしいですか？<br>(所持数:$(3))"""
RetryMessage#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>Приобрести ещё $(1) за<br>$(2) $(0). Вы уверены?"""
RetryMessage_Fun#0,"""Приобрести ещё $(1) за<br>$(2) $(0).<br>Вы уверены?"""
RetryPassMessage#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>続けて$(0)を<br>$(2)を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
RetryPassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>続けて$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>よろしいですか？<br>(所持数:$(3))"""
Message_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br>$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
RetryMessage_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br>続けて$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
NextBonusMessageFixed#0,"""$(0)<br><br>$(1)"""
NextBonusMessage#0,"""あと<yellow>$(0)回<c>で以下の回数ボーナスをプレゼント！<br><pict $(1)>$(2) $(3)"""
NextBonusOtherNum#0,"""他$(0)種"""
