SharedServers#0,"""Общий сервер"""
MoveSharedServers#0,"""Перейти к общему серверу."""
NormalServers#0,"""Основной сервер"""
ReturnNormalServers#0,"""Перейти к основному серверу."""
SelectPlace#0,"""Выберите назначение"""
SelectPlaceMessage#0,"""На локации был размещё телепайп.<br>Хотите переместиться к нему?"""
TransportPlace#0,"""Пункт назначения"""
Telepipe#0,"""Телепайп"""
StartPoint#0,"""Стартовая точка"""
ReturnCampship#0,"""Хотите ли вы вернуться на челнок?"""
ReturnCampshipWarning#0,"""Вы выбрали не все награды. Вы уверены, что хотите вернуться на челнок?<br><br>Чтобы получить больше наград, выберите \""Нет\"" и посетите терминал.<br><br><red>※Вернувшись на челнок, вы потеряете оставшиеся награды.<c>"""
ReturnWithoutCampship#0,"""Желаете ли вы вернуться?"""
ReturnCampshipYes#0,"""Да"""
ReturnCampshipNo#0,"""Нет"""
QuestClear#0,"""После окончания задания<br>вы не сможете вернуться<br>на локацию."""
CampshipToField#0,"""Выход"""
ToFieldClear#0,"""После окончания задания<br>нельзя вернуться<br>на локацию."""
ToFieldFaild#0,"""После провала задания<br>вы не сможете вернуться<br>на локацию."""
ToOtherSinglePartyArea#0,"""У вас не достаточно разрешений<br>для выхода за пределы этого места."""
NowBlockRetry#0,"""Вернуться в текущий блок"""
MultiBlockRetry#0,"""Вернуться с матчингом в мульти-блоке"""
ReturnCampship#1,"""Вернуться на челнок"""
CloseWindow#0,"""Закрыть"""
RetryConfirmHeader#0,"""Повторное подтверждение"""
NowBlockRetryDescription#0,"""Желаете провести поиск<br>в текущем блоке<br>и повторить квест?"""
MultiBlockRetryDescription#0,"""Желаете провести поиск<br>в мульти-блоке<br>и повторить квест?"""
RetryYes#0,"""Повторить"""
RetryNo#0,"""Нет"""
