CardSelect_Title#0,"""Путь ARKS"""
CardSelect_Cancel#0,"""Вернуться"""
CardSelect_None#0,"""Нет карточки"""
CardSelect_Set#0,"""Установить"""
CardSelect_Detail#0,"""Детали карточки"""
CardSelect_Decide#0,"""Карточка изменена."""
CardReward1_Title#0,"""Награды за прохождение"""
CardReward1_Meseta_Title#0,"""Месеты"""
CardReward1_Exp_Title#0,"""EXP"""
CardReward1_Meseta#0,"""$(0)"""
CardReward1_Exp#0,"""EXP\u3000$(0)"""
CardReward2_Title#0,"""Предмет"""
CardTarget_Title#0,"""Условия"""
Clear#0,"""Выполнено задание пути ARKS."""
Clear_Stamp#0,"""Выполнено: [$(0)]."""
Complete#0,"""Получена награда за прохождение: $(0)."""
GetCard#0,"""Получена новая карта пути ARKS."""
