EquipNoteCheckSheet#0,"""Проверить список"""
EquipNoteDeleteSheet#0,"""Удалить список"""
EquipNoteClearCoolTime#0,"""Повторно получить список <pict StarGem>"""
EquipNoteExtendHaveSheet#0,"""Расширение списка <pict StarGem>"""
EquipNoteOffTime#0,"""Время вышло"""
DeleteYesNoTitle#0,"""Сброс списка"""
DeleteYesNoMsgOnTime#0,"""<pict $(0)>Желаете сбросить $(1) список?<c><br><br><red>※При сбросе списка все шкалы сбора<br>материалов сбросятся.<c>"""
DeleteYesNoMsgOffTime#0,"""<pict $(0)>Желаете сбросить $(1) список?<c><br><br><red>※При сбросе списка все шкалы сбора<br>материалов сбросятся.<c><br><yellow>※Поскольку время действия этого списка<br>истекло, вы не сможете получить его<br>повтороно.<c>"""
DeleteSuccessMsg#0,"""<pict $(0)>$(1): список сброшен."""
TopMenu_Empty#0,"""Вы можете получить файл коллекции у администратора Пурин."""
TopMenu_EmptyGray#0,"""<gray>Доступно у Пурин<c>"""
TopMenu_EmptyByPremium#0,"""<pict Arcscash><gray>Премиум расширение<c>"""
TopMenu_EmptyByTicket#0,"""<pict StarGem><gray>SG расширение<c>"""
TopMenu_EmptyByPremiumClosable#0,"""プレミアム有効期間中<pict Arcscash><br>または公認ネットカフェからログイン中に<br>拡張されるシートです。"""
TopMenu_EmptyByTicketClosable#0,"""装備管理官の「コレクトファイル」から<br>SGで「シート所持数拡張」を購入することで<br>拡張されるシートです。"""
TopMenu_SheetName#0,"""Список <pict $(0)>$(1)"""
TopMenu_SheetNameExpired#0,"""Список <red><c><pict $(0)><red>$(1)<c>"""
SheetNum_InfoDefault#0,"""<gray>Всего неоткрыто<c>"""
SheetNum_InfoPremiumEnable#0,"""<pict Arcscash><yellow>Премиум рашисрение 2<c>"""
SheetNum_InfoPremiumOver#0,"""<red>Премиум истёк<c>"""
SheetNum_InfoPremiumNetCafe#0,"""<green>Расширение официального интернет-кафе 2<c>"""
SheetNum_InfoAdd#0,""" + $(0)"""
SheetNum_InfoTicketEnable#0,"""<pict StarGem><c 00ffff>SG расширение $(0)<c>"""
SheetNum_OrderNum#0,"""$(0): список в процессе."""
SheetNum_CurrentNum#0,""" （$(0)/$(1)）"""
SheetNum_CurrentNum_Equal#0,""" （<c ff9c70>$(0)/$(1)<c>）"""
SheetNum_CurrentNum_Over#0,""" （<c ff0000>$(0)/$(1)<c>）"""
Toast_ExpiredSheet#0,"""Срок доставки этого списка истёк."""
Title_SheetDetail#0,"""Инфо списка"""
Title_SheetDetailQuestInfo#0,"""Инфо выпадаемых предметов"""
Title_itemDetail#0,"""Подробности предмета"""
SheetDetail_Reward#0,"""Предмет-награда"""
SheetDetail_SpecialSheetDetail_Reward#0,"""Предмет-наград"""
SheetDetail_Target#0,"""Обязательный предмет"""
SheetDetail_Quest#0,"""Враг часто появляется в этом(их) квесте(ах)"""
SheetDetail_QuestSpecify#0,"""Шкала будет заполняться только в этом(их) квесте(ах)"""
SheetDetail_QuestType#0,"""В таких типе заданий появляется несколько врагов"""
SheetDetail_QuestTypeSpecify#0,"""Шкала будет заполняться только в этом типе квестов"""
SheetDetail_DropEnemy#0,"""Целевой враг"""
SheetDetail_TargetQuestOrQuestType#0,"""Заполняется только в этом(их) квесте(ах)/типе(ах)"""
SheetDetail_SheetGet#0,"""Получить список"""
SheetDetail_Back#0,"""Назад"""
SD_Closable_Title#0,"""Коллекция файлов"""
SD_Closable_Message#0,"""Список [<pict $(0)>$(1)] получен."""
SD_Closable_Error_01#0,"""Не удалось забрать список."""
Quest_None#0,"""Отсутствует"""
Quest_Level#0,"""$(0)ур.+"""
Quest_Level_New#0,"""$(0)ур.+"""
Quest_Level_New_Info#0,"""<yellow>※Степень заполнения зависит от уровня врага.<c>"""
Quest_Format#0,"""$(1)$(0)"""
Quest_QuestType_Urgency#0,"""(В том числе триггеры)"""
Quest_QuestType_Warning#0,"""<yellow>※Скорость заполнения варьируется в зависимости от сложности.<c>"""
Enemy_None#0,"""Отсутствует"""
Enemy_All#0,"""Все враги"""
Target_Rate#0,"""$(0).$(1)%"""
GetRewardMessage#0,"""В качестве награды вы получили: [<yellow>$(0)<c>]!"""
GetRewardMessage2#0,"""Коллекция файлов выполнена!<br>В качестве награды вы получили: [<pict $(0)>$(1)] ★$(2)!"""
GetRequireMessage#0,"""Выпал предмет коллекции файлов: [<yellow>$(0)<c>]!"""
EquipNoteError_Title#0,"""Коллекция файлов"""
EquipNoteError_IllegalParam#0,""""Произошла ошибка.<br><br>Пожалуйста, попробуйте позже."""
EquipNoteError_DB#0,"""Произошла ошибка.<br><br>Пожалуйста, попробуйте позже."""
EquipNoteError_MaxSheet#0,"""Невозможно выбрать больше списков.<br>Пожалуйста, отмените один из<br>списков, чтобы принять новый."""
EquipNoteError_Payment#0,"""Недостаточно SG."""
EquipNoteError_ExpiredSheet#0,"""Срок доставки списка истёк."""
EquipNoteError_RequirePremium#0,""""Произошла ошибка.<br>У вас недостаточно прав для<br>использования Премиум списков.<br><br>Убедитесь в верности настроек<br>времени игры."""
EquipNoteError_MaxExtendHaveSheetByTicket#0,"""Количество списков, которыми вы могли<br>бы воспользоваться, уже достигло<br>предела, поэтому, дальнейшее<br>расширение невозсожно."""
EquipNoteError_NoMoreSpecialCollection#0,"""Вы можете получить только один<br><pict sp_icon> список<br><br>У вас уже есть такой список, поэтому<br>вы не можете взять ещё один."""
EquipNote_ConfirmToGetSheet#0,"""Вы можете получить только один<br><pict sp_icon> список.<br><br>Желаете взять именно этот список?"""
EquipNote_ClearCoolTimeTitle#0,"""Подтверждение приобретения товара"""
EquipNote_ClearCoolTimeMessage#0,"""<pict StarGem><c 1dedd7>Содержание предмета SG<c><br><br>При приобретении \""$(1)\"", список<br><pict $(0)>$(2) может быть вновь получен.<br><br>Желаете приобрести \""$(1)\""?"""
EquipNote_ClearCoolTimeMessage2#0,"""Желаете приобрести $(0)<pict StarGem>?<br><br>(В наличии <pict StarGem>: $(1))"""
EquipNote_ClearCoolTimeSuccessTitle#0,"""Коллекция файлов"""
EquipNote_ClearCoolTimeSuccessMessage#0,"""<pict $(0)>$(1) список сброшен и получен снова."""
EquipNote_ClearCoolTimeItem#0,"""Восстановление перезарядки списка"""
EquipNote_TitleSheetInfo#0,"""Инфо списка"""
EquipNote_TitleTimeInfo#0,"""Период действия"""
EquipNote_CoolTime#0,"""Охлаждение"""
EquipNote_CoolTime_Free#0,"""-"""
EquipNote_CoolTime_Wait#0,"""Этот лист не может быть<br>получен до:<br><red>$(0)<c><br>(Использование SG<pict StarGem> может сбросить лист)"""
EquipNote_CoolTime_None#0,"""Нет списка."""
EquipNote_CoolTime_SheetExpired#0,"""Нельзя олучить этот лист,<br>так как его время истекло."""
EquipNote_BondMessage#0,"""$(0)$(1)"""
EquipNote_AndText#0,"""&"""
EquipNoteBoost_Title#0,"""Использование предмета для увеличения шкалы"""
EquipNoteBoost_ItemWinTitle#0,"""Выбор предмета"""
EquipNoteBoost_ProTitle#0,"""$(0) Необходимые предметы и прогресс."""
EquipNoteBoost_UseCheckTitle#0,"""подтверждаю использование предметов."""
EquipNoteBoost_UseCheck#0,"""Желаете использовать 「$(0)」 <br>для увеличения шкалы 「$(1)」?"""
EquipNoteBoost_UseToast#0,"""「$(0)」 : использовано."""
EquipNoteBoost_Help#0,"""<c f0df60>Пожалуйста, выберите предмет для использования."""
EquipNoteBoost_SheetDetail#0,"""проверка инфо списка"""
EquipNoteBoost_UseCheck2#0,"""Некоторые показатели прогресса превысят 100%.<br>Сверхпрогресс будет потрачен впустую.<br>Желаете продолжить?"""
EquipNoteBoost_NoItemMessage#0,"""Нет предметов"""
DirectBuyTicket_Title#0,"""Подтверждение приобретения предметов"""
DirectBuyTicket_Msg1Seq1#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(0)」を購入すると、<br>シート所持数の上限が１つ拡張されます。<br>（最大 $(1)つまで拡張可能）<br><br>「$(0)」の購入画面に<br>進みますか？"""
DirectBuyTicket_Msg1Seq2#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>シート所持数が上限に達しているため、<br>これ以上シートを入手することができません。<br><br>SGで「$(0)」を購入すると<br>この上限を増やすことができます。<br>購入画面に進みますか？"""
DirectBuyTicket_Msg2#0,"""Желаете использовать $(0)<pict StarGem><br>для расширения лимита на список?<br><br>(В наличии <pict StarGem>: $(1))"""
DirectBuyTicketSuccess_Title#0,"""Коллекция файлов"""
DirectBuyTicketSuccess_Msg#0,"""Число списков для коллекции файлов увеличено на один список."""
DirectBuyTicketItem#0,"""Расширение числа списков"""
