Title#0,"""Статус партнера"""
Status_Character#0,"""Характер персонажа"""
Status_Action#0,"""Черта"""
Status_Title#0,"""Наклонность"""
Status_Comment#0,"""Комментарий"""
Title_PaperDoll#0,"""Внешний вид персонажа"""
Support_Status_Character#0,"""Личность"""
Title#1,"""Регистрация партнёра поддержки"""
Register_Class#0,"""Текущий класс"""
Register_Name#0,"""Имя партнера"""
Register_Attack#0,"""Характер персонажа"""
Register_Ai#0,"""Черта"""
Register_Sp#0,"""Наклонность"""
Register_Message#0,"""Сообщение"""
Error#0,"""Сообщение о ошибке"""
Register_M#0,"""регистрация свободного партнёра"""
Register_M_C#0,"""Разрешить использование игроками, кроме друзей"""
Squire_Sort1#0,"""Сортировка по умолчанию"""
Squire_Sort2#0,"""По имени"""
Squire_Sort3#0,"""По уровню"""
Squire_Sort4#0,"""По дружбе"""
Squire_Tab1#0,"""Партнёр"""
Squire_Tab2#0,"""Друг"""
Squire_Tab3#0,"""Поддержка"""
Squire_Tab4#0,"""Свободный"""
Squire_FUN#0,"""Для FUN"""
Squire_Sort5#0,"""По группе"""
Title#2,"""Список партнёров"""
SquireMenu_Item1#0,"""Пригласить в группу"""
SquireMenu_Item2#0,"""Посмотреть статус"""
SquireMenu_Item3#0,"""Вернуться"""
ErrorExsit#0,"""Вызван другим игроком в квесте $(0)."""
EmptyText#0,"""Нет зарегистрированных партнёров"""
MenuItemHint#0,"""$(0)"""
NotCalls#0,"""Вы не можете вызвать $(0) сейчас."""
HelpText#0,"""<c f0df60>Выберите партнёра на квест. Партнёры друзья/поддержки/свободные не будут подвержены неудачам клиентского заказа.<c>"""
SquireMenu_Item4#0,"""Заменить партнёра"""
AllApcReturn#0,"""Отозвать всех вызванных партнёров"""
Message#0,"""Вы действительно хотите всех отозвать?"""
Message2#0,"""$(0) будет отозван(а),<br>и $(1) вступит в группу.<br><br>Желаете продолжить?"""
Title2#0,"""Отзыв партнёра"""
Title3#0,"""Смена партнёра"""
