Title#0,"""Тренировочный центр ARKS"""
MenuType_Next#0,"""Перейти к $(0)"""
MenuType_Next_None#0,"""Нет дальнейшей тренировки"""
MenuType_Retry#0,"""Вернуться в тренировку"""
MenuType_Back#0,"""Вернуться в лобби"""
TerminalMenuType_Reset#0,"""Вернуться $(0) к началу"""
TerminalMenuType_Close#0,"""Закрыть терминал"""
TerminalResetConfirmTitle#0,"""Терминал повтора"""
TerminalResetConfirmMessage#0,"""Повторить $(0)?"""
TerminalResetConfirmTitle2#0,"""Терминал повтора"""
Title#1,"""Результаты квеста"""
QuestResultTitle#0,"""Результаты квеста"""
ItemResultTitle#0,"""Результаты предметов"""
RankResultTitle#0,"""-"""
EquipNoteResultTitle#0,"""Результаты а коллекции"""
BeforeQuestResultTitle#0,"""Предварительные результаты квеста"""
BeforeItemResultTitle#0,"""Предварительные результаты предметов"""
BeforeRankResultTitle#0,"""-"""
BeforeEquipNoteResultTitle#0,"""Предварительные результаты списка"""
ChallengeResultTitle#0,"""Результаты челленджа"""
End#0,"""Закрыть"""
ItemResultElement1#0,"""Получено месет"""
ItemResultElement2#0,"""Получено опыта"""
ItemResultElement3#0,"""Получено FUN"""
ItemResultElement4#0,"""Получено челлендж-миль"""
ItemResultUnit1#0,"""Мес."""
ItemResultUnit2#0,"""Опыт"""
ItemResultUnit3#0,"""FUN"""
ItemResultUnit4#0,"""ЧМ"""
ItemGet#0,"""Предметы получены"""
QuestResultElement1#0,"""Ранг побеждённых врагов"""
QuestResultElement2#0,"""Урона по цели"""
QuestResultElement3#0,"""Смертей"""
QuestResultElement4#0,"""Воскрешений"""
QuestResultElement5#0,"""Время прохождения"""
QuestResultElement6#0,"""Времени осталось"""
QuestResultElement7#0,"""Очки квеста"""
QuestResultElement8#0,"""Оставшееся основное здоровье"""
QuestResultElement9#0,"""Выполн. срочн. испытаний"""
QuestResultElement11#0,"""Пилотирование A.I.S."""
QuestResultQuestFlag#0,"""Выполненные квесты"""
QuestResultElement12#0,"""Текущий счет"""
QuestResultElement13#0,"""Степень участия в квесте"""
QuestResultElement14#0,"""Rideroids Shot Down (*)"""
QuestResultUnit1#0,""" """
EquipNoteResultElement1#0,"""Список прогресса (Топ 5)"""
EquipNoteResultProgress#0,"""Прогресс $(0)"""
EquipNoteResultOther#0,"""<yellow>※Есть другие предметы с повышенной степенью прогресса.<c>"""
EquipNoteResultPercent#0,"""$(1).$(0)%"""
PointValue#0,"""$(0)pt"""
Score#0,"""Очков"""
Perfect#0,"""★ ИДЕАЛЬНО"""
TotalResult#0,"""Общий рейтинг"""
ErrandResultTitle#0,"""お手伝いしたオーダーの結果"""
ErrandOrderTitle#0,"""手伝ったオーダー"""
ChallengeResultTitle1#0,"""Основные результаты"""
ChallengeResultTitle2#0,"""Получено челлендж-миль"""
ChallengeResultTitle3#0,"""Получено достижений"""
ChallengeResultTitle4#0,"""Участие в соревнованиях"""
ChallengeResultTitle5#0,"""Получено челлендж-миль (доп. +$(0))"""
ChallengeResultTitle6#0,"""Челлендж пройден"""
ChallengeResultSub1#0,"""Степень прохождения"""
ChallengeResultSub2#0,"""МИССИЯ $(0) ($(1))"""
ChallengeResultSub3#0,"""Кристаллов милей собрано"""
ChallengeResultSub4#0,"""Месет собрано"""
ChallengeResultSub5#0,"""Бонус группы"""
ChallengeResultSub6#0,"""Ранг прохождения"""
ChallengeResultSub7#0,"""Общий бонус миль"""
Get#0,"""ПОЛУЧЕНО!"""
CollectFileRareDropBoost#0,"""Бонус шанса редкого дропа"""
BasnetResultTitle1#0,"""-"""
BasnetResultTitle2#0,"""-"""
BasnetResultTitle3#0,"""-"""
BasnetResultTitle4#0,"""-"""
BasnetResultTitle5#0,"""-"""
BasnetResultTitle6#0,"""-"""
BasnetResultSub1#0,"""-"""
BasnetResultSub2#0,"""-"""
BasnetResultSub3#0,"""-"""
BasnetResultSub4#0,"""-"""
BasnetResultSub5#0,"""-"""
BasnetResultSub6#0,"""-"""
BasnetResultSub7#0,"""-"""
BasnetResultSub8#0,"""-"""
BasnetResultSub9#0,"""-"""
BasnetResultSub10#0,"""-"""
BasnetResultSub11#0,"""-"""
BasnetResultText1#0,"""-"""
BasnetResultText2#0,"""-"""
BasnetResultText3#0,"""-"""
BasnetResultText4#0,"""-"""
BasnetResultText5#0,"""-"""
BasnetResultText6#0,"""-"""
BasnetResultText7#0,"""-"""
BasnetResultText8#0,"""-"""
MenuType_OngoingQuest#0,"""Текущий квест"""
MenuType_OngoingTrial#0,"""Текущее срочн. испытание"""
MenuType_QuestCondition#0,"""Требования к заданию"""
MenuType_QuestDestruction#0,"""Отменить квест"""
MenuType_BeforeQuestResult#0,"""Предварительные результаты квеста"""
MenuType_Back#1,"""Вернуться"""
MenuType_ExtraQuestConfirm#0,"""Контент чемпионата"""
MenuType_ArksBoostRoadConfirm#0,"""アークスブーストラリー確認"""
Trial_Title#0,"""Инфо срочного испытания"""
Trial_Name#0,"""Название срочного испытания"""
Trial_TrialTarget#0,"""Цель срочного испытания"""
Trial_ExtraTarget#0,"""Доп. цель"""
Trial_FailureConditions#0,"""Невыполнение условия"""
Trial_Achievement#0,"""Прогресс"""
Trial_Back#0,"""Вернуться"""
Target_Success#0,"""Удачно!"""
YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
MaxText#0,"""Макс."""
MinText#0,"""Мин."""
Sort#0,"""Сорт."""
Copy#0,"""Коп."""
Peaste#0,"""Вст."""
NextText#0,"""Далее"""
PrevText#0,"""Назад"""
CancelText#0,"""Закрыть"""
OKText#0,"""OK"""
ReturnText#0,"""Вернуться"""
CheckText#0,"""Не показывать это окно снова."""
Q_Event001#0,"""Мы готовимся к крупномасштабной операции с участием всх членов ARKS."""
Q_Event001_01_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в лесах Набериуса."""
Q_Event001_02_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в тундре Набериуса."""
Q_Event001_03_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в руинах Набериуса."""
