name_7008#0,"""Rossa"""
ssn_014120_0001#0,"""Looks like you've really gotten the hang of things!"""
ssn_014120_0002#0,"""So listen, I've got a request for ya. Hear me out?"""
ssn_014120_0101#0,"""Alright, so here's the deal."""
ssn_014120_0102#0,"""You've probably seen those Containers lyin' about all over Halpha."""
ssn_014120_0103#0,"""Some might be supplies left over from past ARKS operations, or random stuff that someone just left there."""
ssn_014120_0104#0,"""Whether deep underground or almost touchin' the clouds, you can find 'em just about anywhere."""
ssn_014120_0105#0,"""You ever notice how some of 'em got a different color? Y'know, the special-lookin' Containers?"""
ssn_014120_0106#0,"""Nobody knows who put 'em there. They're one of the seven wonders of Halpha."""
ssn_014120_0107#0,"""That's where you come in. I need you to investigate, and find as many of those Containers as ya can."""
ssn_014120_0108#0,"""Leave no stone unturned, no field uncombed. Find 'em and see what they contain. Easy, right?"""
ssn_014120_0109#0,"""Alright? We're countin' on ya!"""
ssn_014120_0201#0,"""Oh, alright... Well, if y'ever change yer mind, you know where to find me."""
ssn_014120_0301#0,"""Well, ain't you startin' to spread your wings! You're goin' places, I can tell."""
ssn_014120_0302#0,"""You've caught Crawford's eye too, looks like. So just keep doin' what you're doin'!"""
ssn_014120_0401#0,"""Mm... This mission looks like it's gonna be brutal."""
ssn_014120_0402#0,"""But hey, it's you we're talkin' about! Not to mention, you've also got us gals backin' you up!"""
ssn_014120_0403#0,"""Go get 'em, banther!"""
