ssc_504010_0010#0,"""อ้าว เธอนี่เอง"""
ssc_504010_0020#0,"""ขยันทำงานทุกวันเลยนะ ขอบใจเสมอมาเลย"""
ssc_504010_0030#0,"""ไม่ได้ยิ่งใหญ่อะไรขนาดนั้นหรอกน่า"""
ssc_504010_0040#0,"""ทางนั้นต่างหากล่ะที่ทำงานหนัก"""
ssc_504010_0050#0,"""ไม่หรอก พูดจริงๆ นะ สิ่งที่พวกเธอทั้งสามคนทำน่ะมีความสำคัญมากเลยล่ะ"""
ssc_504010_0060#0,"""อ้า แต่ก็หลังจากที่ต้องให้พวกเธอสามคนคอยช่วยอยู่เรื่อยเลยล่ะนะ"""
ssc_504010_0070#0,"""เพิ่งจะดู<br>บันทึกกิจกรรมของพวกเธอสามคนไปน่ะ"""
ssc_504010_0080#0,"""นี่คือสิ่งที่มาน่อนเป็นคนจัดการล่ะ"""
ssc_504010_0090#0,"""เป็นรายงานที่ละเอียด เป็นระเบียบ และสมบูรณ์แบบมากเลยนะ"""
ssc_504010_0100#0,"""มาน่อนเป็นคนทำสิ่งนี้ให้พวกเรางั้นเหรอ?"""
ssc_504010_0110#0,"""สงสัยต้องเริ่มเขียนรายงานบ้างแล้วล่ะ"""
ssc_504010_0120#0,"""มาน่อนคอยแจ้งข้อมูลให้ทราบอยู่เสมอแบบนั้นแหละ"""
ssc_504010_0130#0,"""เธอยังให้ความคิดเห็นมาด้วย<br>ซึ่งมันช่วยเปิดหูเปิดตาได้มากเลยล่ะ"""
ssc_504010_0140#0,"""เธอคอยช่วยเหลือได้มากเสมอเลยล่ะ"""
ssc_504010_0150#0,"""ไม่เป็นไรหรอก แค่ทำตอนที่<br>รู้สึกอยากทำก็พอแล้วล่ะ"""
ssc_504010_0160#0,"""ไอน่าเองก็ส่งรายงานมาให้เยอะเหมือนกันนะ<br>แต่ดูเหมือนว่าเธอจะใช้เวลากับมันค่อนข้างนานน่ะ"""
ssc_504010_0170#0,"""แม้แต่ตัวรายงานเอง ปกติแล้วก็จะถูกรวบรวม<br>และจัดการโดยรัน (Ran) และโอเปอเรเตอร์ (Operator) คนอื่นๆ น่ะ"""
ssc_504010_0180#0,"""แทบจะไม่มีงานให้ทำเลยล่ะ<br>ก็แค่นั่งจิบชาสบายๆ แล้วก็รอเท่านั้นเอง"""
ssc_504010_0190#0,"""ส่วนภายนอก ก็มีบรูเดอร์ (Bruder) คอยทำหน้าที่<br>สั่งการต่อต้านพวก DOLLS ได้อย่างยอดเยี่ยมเลย"""
ssc_504010_0200#0,"""ช่วงนี้เขาประสานงานกับรัน (Ran)<br>และโอเปอเรเตอร์ (Operator) คนอื่นๆ บ่อยมากเลยล่ะ"""
ssc_504010_0210#0,"""...ก็นะ พวกเราเคยเจอปัญหามามากมายในอดีตน่ะ"""
ssc_504010_0220#0,"""แล้วก็ยังมีพวกเธอสามคนอีก"""
ssc_504010_0230#0,"""สักวันคงจะทำอะไรไม่ได้<br>นอกจากนั่งอยู่บนเก้าอี้ตัวนั้นแน่ๆ เลย ฮะๆๆ"""
ssc_504010_0240#0,"""...แต่ว่า มันก็ไม่มีอะไรรับประกันหรอกนะว่า<br>สถานการณ์ของพวกเราจะเป็นแบบนี้ไปตลอดน่ะ"""
ssc_504010_0250#0,"""เป็นไปได้ว่ารอยร้าวเพียงจุดเดียวอาจจะ<br>ทำให้ทุกอย่างพังทลายลงมาได้เลย"""
ssc_504010_0260#0,"""หน้าที่ที่ต้องทำก็คือการคิดแผนสำรองแผนที่สองและสาม<br>เพื่อให้แน่ใจว่าจะไม่มีเรื่องแบบนั้นเกิดขึ้นไงล่ะ"""
ssc_504010_0270#0,"""รวมไปถึงแผนการที่จะป้องกัน<br>ไม่ให้เกิดรอยร้าวเหล่านั้นขึ้นตั้งแต่แรกด้วย"""
ssc_504010_0280#0,"""ตั้งใจที่จะทำหน้าที่ในฐานะ<br>ผู้นำของเซ็นทรัลซิตี้ (Central City) ให้ดีที่สุด เพราะงั้นวางใจเรื่องนั้นได้เลย"""
ssc_504010_0290#0,"""เอาล่ะ คิดว่ารัน (Ran) น่าจะมีเรื่องให้ช่วย<br>คงต้องกลับไปทำงานแล้วล่ะ"""
ssc_504010_0300#0,"""อ้อ จริงสิ"""
ssc_504010_0310#0,"""ถ้าผ่านมาแถวนี้อีกล่ะก็<br>แวะมาเยี่ยมกันอีกนะ"""
ssc_504010_0320#0,"""อยากจะฟังว่าช่วงนี้เป็นยังไงบ้างน่ะ"""
ssc_504010_0330#0,"""ดูแลตัวเองด้วยนะ"""
