ssc_504060_0010#0,"""เอาล่ะ มาคุยกันต่อเถอะ"""
ssc_504060_0020#0,"""หลังจากการโจมตีของพวก Starless เมื่อ 500 ปีก่อน<br>ผู้คนก็ได้รับรู้ถึงอันตรายร้ายแรง"""
ssc_504060_0030#0,"""และจากผู้คนเหล่านี้เอง ที่ทำให้ Resurgent ARKS ถือกำเนิดขึ้น"""
ssc_504060_0040#0,"""เชื่อว่าค้างกันไว้ตรงนี้ใช่ไหม?<br>ฟาเรีย (Pharia) รบกวนช่วยเล่าต่อได้ไหม?"""
ssc_504060_0050#0,"""ได้สิ"""
ssc_504060_0060#0,"""เกิดขบวนการเคลื่อนไหวต่างๆ มากมายจากความพยายามที่จะ<br>ต่อสู้กับภัยคุกคามจากพวก Starless น่ะ"""
ssc_504060_0070#0,"""หนึ่งในขบวนการเหล่านั้น<br>นำโดยเซเฟตโต้ (Zephetto) ล่ะ"""
ssc_504060_0080#0,"""เขาเป็นหนึ่งในผู้ที่เข้าร่วม<br>การต่อสู้กับพวก Starless ด้วยนะ"""
ssc_504060_0090#0,"""เซเฟตโต้ (Zephetto) และพันธมิตรกังวลเกี่ยวกับกองกำลังทหารที่อ่อนแอลง<br>รวมไปถึงพลัง Photon ที่ลดลงของผู้คนในยุคนั้นน่ะ"""
ssc_504060_0100#0,"""กองกำลังทหารที่อ่อนแอลงงั้นเหรอ?"""
ssc_504060_0110#0,"""พลัง Photon ที่ลดลงงั้นเหรอ?"""
ssc_504060_0120#0,"""เห็นได้ชัดว่า หลังจากมหาสงครามที่เกิดขึ้นเมื่อ 1,000<br>ปีก่อน ก็มียุคแห่งความสงบสุขที่ยาวนานตามมาน่ะ"""
ssc_504060_0130#0,"""เพราะแบบนั้น เลยไม่ค่อยมีความจำเป็น<br>ที่จะต้องมีกองกำลังทหารที่แข็งแกร่งล่ะ"""
ssc_504060_0140#0,"""สิ่งนี้ยังส่งผลให้เกิดการลดลงของ<br>พลัง Photon โดยรวมด้วยน่ะ"""
ssc_504060_0150#0,"""เคยมีมหาสงครามเกิดขึ้นเมื่อ 1,000 ปีก่อนล่ะ<br>และมันก็นำมาซึ่งยุคแห่งความสงบสุขที่ยาวนาน"""
