ssc_504090_0010#0,"""นาย……ทำไมถึงมาอยู่ที่นี่ได้"""
ssc_504090_0020#0,"""ทำไมทั้งสองคนถึงมาอยู่ที่นี่ล่ะ?"""
ssc_504090_0030#0,"""ทางนั้นต่างหาก มาทำอะไรที่นี่เหรอ?"""
ssc_504090_0040#0,"""นี่คือหลุมศพของฮิบานะ (Hibana) น่ะ"""
ssc_504090_0050#0,"""ฮิบานะ (Hibana) เสียชีวิตที่นี่"""
ssc_504090_0060#0,"""มาเยี่ยมฮิบานะ (Hibana) น่ะ"""
ssc_504090_0070#0,"""นี่คือหลุมศพของฮิบานะ (Hibana)"""
ssc_504090_0080#0,"""ถึงจะยังมองไม่เห็น<br>จุดสิ้นสุดของการต่อสู้ก็ตาม"""
ssc_504090_0090#0,"""แต่ในตอนนี้ที่เราโค่นวาเอล (Vael) ลงได้แล้ว……"""
ssc_504090_0100#0,"""ก็เลยตั้งใจจะมาเล่าให้เธอฟัง<br>ถือเป็นการจบเรื่องราวลงช่วงหนึ่งน่ะ"""
ssc_504090_0110#0,"""ถ้าไม่รังเกียจ<br>จะอยู่เป็นเพื่อนกันหน่อยได้ไหม?"""
ssc_504090_0120#0,"""การตายของฮิบานะ (Hibana)……<br>เกิดจากความอ่อนหัดของพวกเราเอง"""
ssc_504090_0130#0,"""พวกเราในตอนนั้นเอาแต่ยึดติดกับความคิดของตัวเอง<br>ไม่ยอมประนีประนอมเข้าหากันเลย"""
ssc_504090_0140#0,"""ฉันเองก็เอาแต่พยายามจะใช้กำลังเข้าข่มทุกสิ่ง<br>จนเอาแต่ดันทุรังต่อสู้ซ้ำแล้วซ้ำเล่า"""
ssc_504090_0150#0,"""……ส่วนฉันก็เอาแต่ระมัดระวังตัวมากเกินไป<br>จนกว่าทุกอย่างจะเตรียมพร้อมเสร็จสมบูรณ์"""
ssc_504090_0160#0,"""คนที่คอยทำตัวเป็นกลาง<br>และเข้าหาพวกเราแบบนั้นอยู่เสมอก็คือฮิบานะ (Hibana)"""
ssc_504090_0170#0,"""เธอรับฟังเรื่องราวจากทั้งสองฝ่าย<br>และบอกความคิดเห็นของตัวเองอย่างชัดเจน"""
ssc_504090_0180#0,"""คำพูดของเธอนั้น<br>เป็นสิ่งที่ทำให้พวกเราทั้งสองฝ่ายต่างก็ยอมรับได้"""
ssc_504090_0190#0,"""……นั่นสินะ<br>ไม่รู้ทำไมถึงยอมรับความคิดเห็นของเธอได้อย่างง่ายดายก็ไม่รู้"""
ssc_504090_0200#0,"""เป็นเพราะมีฮิบานะ (Hibana) อยู่<br>ความสัมพันธ์ของพวกเราถึงสามารถรักษาสมดุลเอาไว้ได้ยังไงล่ะ"""
ssc_504090_0210#0,"""จนกระทั่งถึงวันนั้นแหละนะ……"""
ssc_504090_0220#0,"""……อืม"""
ssc_504090_0230#0,"""วันที่นิลส์ สเตีย (Nils Stia) บุกมาที่ภูมิภาคเอลิโอ (Aelio)……"""
ssc_504090_0240#0,"""ฉันสั่งรวมกำลังพลมาไว้ที่ฝั่งเซ็นทรัลซิตี้ (Central City)<br>เพื่อสร้างแนวป้องกัน"""
ssc_504090_0250#0,"""ในระหว่างนั้น หน่วยของฉัน<br>ก็มุ่งหน้าไปประจันหน้ากับศัตรู"""
ssc_504090_0260#0,"""ตั้งใจจะลาดตระเวนด้วยกำลังพลเพื่อหยั่งเชิง<br>แต่กำลังรบของศัตรูกลับมีมากกว่าที่คิดไว้เยอะมาก"""
ssc_504090_0270#0,"""ถึงจะรีบสั่งให้ถอยทัพทันที<br>แต่กองกำลังก็แตกกระเจิงไปหมดแล้ว"""
ssc_504090_0280#0,"""และคนที่ทำหน้าที่เป็นทัพหลังคุ้มกันให้<br>ก็คือฉันกับฮิบานะ (Hibana)"""
ssc_504090_0290#0,"""ฉันมัวแต่ยุ่งอยู่กับการรับมือ DOLLS ที่อยู่ตรงหน้า<br>จนไม่ทันระวังตัว……"""
ssc_504090_0300#0,"""……และในระหว่างนั้น ฮิบานะ (Hibana) ก็……<br>โดนการโจมตีของนิลส์ สเตีย (Nils Stia) เข้าไปเต็มๆ……"""
ssc_504090_0310#0,"""ในตอนนั้น ถ้าฉันร่วมเดินทางไปด้วยกันล่ะก็……"""
ssc_504090_0320#0,"""ไม่สิ ถ้าฉันยอมฟังคำเตือนของนาย<br>และรอจนกว่าแต่ละหน่วยจะจัดกำลังเสร็จล่ะก็……"""
ssc_504090_0330#0,"""ฮิบานะ (Hibana) เองก็พูดเอาไว้ด้วยเหมือนกันว่า<br>'สังหรณ์ใจไม่ค่อยดีเกี่ยวกับการต่อสู้ครั้งนี้เลย'……"""
ssc_504090_0340#0,"""……เป็นอย่างนั้นนี่เอง"""
ssc_504090_0350#0,"""ฮิบานะ (Hibana)……"""
ssc_504090_0360#0,"""หลังจากนั้นก็อย่างที่เธอรู้นั่นแหละ"""
ssc_504090_0370#0,"""พวกเราต่างก็ยึดติดกับความคิดของตัวเอง<br>จนต้องแยกทางกันเดิน"""
ssc_504090_0380#0,"""ทั้งเอลิโอ (Aelio) และสเตีย (Stia)<br>ต่างก็แยกย้ายกันต่อสู้ในแบบของตัวเองมาโดยตลอด"""
ssc_504090_0390#0,"""……และคนที่ทำให้ความสัมพันธ์นั้นเปลี่ยนไป<br>ก็คือพวกเธอยังไงล่ะ"""
ssc_504090_0400#0,"""ทั้งเธอ ไอน่า แล้วก็มาน่อน<br>ต่างก็มอบโอกาสให้พวกเราได้คิดทบทวนกันใหม่"""
ssc_504090_0410#0,"""และยังเป็นแรงผลักดันให้แต่ละภูมิภาคที่แทบจะตัดขาดจากกันไปแล้ว<br>ได้กลับมาสร้างความสัมพันธ์กันใหม่อีกครั้งด้วย"""
ssc_504090_0420#0,"""ในตอนนี้ ทุกภูมิภาคต่างก็เป็นน้ำหนึ่งใจเดียวกัน<br>และยืนหยัดเผชิญหน้ากับศัตรูที่อยู่เบื้องหน้าได้แล้ว"""
ssc_504090_0430#0,"""……หลายๆ อย่าง<br>ได้เปลี่ยนแปลงไปจากเมื่อก่อนมากเลยล่ะ"""
ssc_504090_0440#0,"""ฉันสองคนก็เลยมาที่นี่<br>เพื่อที่จะรายงานเรื่องแบบนั้นให้เธอฟังน่ะ"""
ssc_504090_0450#0,"""ฮิบานะ (Hibana) เองก็คงจะดีใจเหมือนกันนะ"""
ssc_504090_0460#0,"""กลายเป็นความสัมพันธ์แบบที่ฮิบานะ (Hibana) หวังไว้แล้วนะ"""
ssc_504090_0470#0,"""……อืม"""
ssc_504090_0480#0,"""……นั่นสินะ"""
