ssc_504020_0010#0,"""อ้าว มาได้จังหวะพอดีเลย"""
ssc_504020_0020#0,"""เพิ่งจะรวบรวมข้อมูล<br>การวิจัยเกี่ยวกับรีเทม (Retem) เสร็จพอดีเลยล่ะ"""
ssc_504020_0030#0,"""ไม่แน่ใจว่าจะพอมีประโยชน์<br>ในการต่อสู้หรือเปล่านะ แต่ลองดูหน่อยไหมล่ะ?"""
ssc_504020_0040#0,"""ฟังดูน่าสนใจดีนะ"""
ssc_504020_0050#0,"""ถ้ามันไม่มีประโยชน์ในการต่อสู้ล่ะก็..."""
ssc_504020_0060#0,"""ดีล่ะ งั้นจะอธิบายให้ฟังนะ"""
ssc_504020_0070#0,"""โธ่ อย่าพูดแบบนั้นสิ"""
ssc_504020_0080#0,"""อย่างแรก เกี่ยวกับสภาพแวดล้อมของรีเทม (Retem) นะ"""
ssc_504020_0090#0,"""รีเทม (Retem) เป็นภูมิภาคที่ปกคลุมไปด้วยทราย<br>อย่างที่มั่นใจว่าคงจะทราบดีอยู่แล้ว"""
ssc_504020_0100#0,"""ที่นั่นแทบจะไม่มีฝนตกเลย แล้วอุณหภูมิ<br>ก็ผันผวนไปตามช่วงเวลาของวันด้วย"""
ssc_504020_0110#0,"""อาจกล่าวได้ว่ามันค่อนข้าง<br>ไม่เป็นมิตรต่อสิ่งมีชีวิตเลยล่ะ"""
ssc_504020_0120#0,"""แต่ในความเป็นจริง มีสิ่งมีชีวิตมากมาย<br>ที่ปรับตัวเพื่อให้อาศัยอยู่ในสภาพแวดล้อมนั้นได้นะ"""
ssc_504020_0130#0,"""รวมถึงพวกศัตรูด้วย ซึ่งเป็นส่วน<br>ที่ตั้งใจจะมุ่งเน้นการตรวจสอบเป็นพิเศษเลยล่ะ"""
ssc_504020_0140#0,"""แต่ก็พบว่ามันน่าประหลาดใจมากที่สองภูมิภาคจะมีสภาพแวดล้อมที่<br>แตกต่างกันขนาดนี้ ทั้งๆ ที่ถูกกั้นด้วยแค่สะพานข้ามเขต (Border Bridge) เท่านั้น"""
ssc_504020_0150#0,"""อยากจะมอบหมายคนให้ไปสำรวจเรื่องนั้นด้วยเหมือนกัน แต่ก่อนอื่นอยากจะ<br>ให้ความสำคัญกับสิ่งที่เกี่ยวข้องกับการต่อสู้และการเอาชีวิตรอดก่อนน่ะ"""
ssc_504020_0160#0,"""พูดถึงเรื่องลึกลับ ก็มีช่องเขาสะกาน (Sagaan Mountain Pass)<br>ที่จะได้พบทันทีที่เข้าสู่ภูมิภาคล่ะนะ"""
ssc_504020_0170#0,"""มีสนามแม่เหล็กแรงโน้มถ่วงประหลาดเกิดขึ้นที่นั่นด้วย"""
ssc_504020_0180#0,"""พวกก้อนหินหนักๆ หรืออะไรทำนองนั้นลอยอยู่ในอากาศเป็นภาพที่แปลกตามากเลยล่ะ"""
ssc_504020_0190#0,"""ปรากฏการณ์นี้ดูเหมือนจะเกิดจากโครงสร้างทรงกระบอกขนาดใหญ่<br>ที่รู้จักกันในชื่อ 'Deglevs' แต่มันก็เป็นสิ่งที่ลึกลับไม่แพ้กันเลย"""
ssc_504020_0200#0,"""...เนื่องจากดูเหมือนว่าเรื่องนี้จะต้องคุยกันยาว ขอเก็บไว้คราวหน้าก็แล้วกันนะ..."""
ssc_504020_0210#0,"""ต่อไป มาคุยกันเรื่องผู้คนของรีเทม (Retem) ด้วยดีกว่า"""
ssc_504020_0220#0,"""หลายคนอาจจะบอกว่ารีเทม (Retem) มีสภาพแวดล้อมแบบทะเลทรายที่โหดร้าย แต่ภัยคุกคาม<br>อย่างต่อเนื่องจากพวก DOLLS ก็ยิ่งทำให้มันไม่น่าอยู่มากขึ้นไปอีกนะ"""
ssc_504020_0230#0,"""สำหรับพวกเรา การเผชิญหน้ากับ Nex Aelio<br>ถือเป็นวิกฤติที่ร้ายแรงที่สุด"""
ssc_504020_0240#0,"""แต่ในรีเทม (Retem) การเผชิญหน้าแบบนั้นเป็นเรื่องที่เกิดขึ้นทุกวันเลยล่ะ<br>พวกเขาเสียสละสิ่งต่างๆ ไปมากมายเพื่อเมืองของพวกเขา"""
ssc_504020_0250#0,"""เหนือสิ่งอื่นใด รู้สึกเคารพอย่างสุดซึ้ง<br>ต่อความแข็งแกร่งของผู้คนของพวกเขาเลยล่ะ"""
ssc_504020_0260#0,"""พวกเขายึดมั่นในค่านิยมและหลักการที่ว่า<br>ผู้แข็งแกร่งต้องปกป้องและชี้แนะผู้อ่อนแอน่ะ"""
ssc_504020_0270#0,"""ด้วยสถานการณ์ของแต่ละฝ่าย เอลิโอ (Aelio) และรีเทม (Retem)<br>จึงแทบจะไม่ได้มีปฏิสัมพันธ์กันเลย"""
ssc_504020_0280#0,"""วัฒนธรรมที่แตกต่างกันขนาดนี้<br>คิดว่าอาจจะต้องใช้เวลาสักพักกว่าที่ทั้งสองฝ่ายจะยอมเปิดใจให้กันได้ล่ะนะ"""
ssc_504020_0290#0,"""แต่ถึงจะมีความแตกต่าง พวกเขาก็ยอมรับผู้ที่<br>สามารถแสดงความแข็งแกร่งออกมาได้ อย่างที่เธอทำไงล่ะ"""
ssc_504020_0300#0,"""อยากให้ช่วยสร้างความประทับใจที่ดีให้กับ<br>เหล่า ARKS ของรีเทม (Retem) ต่อไป เพื่อให้พวกเขาเปิดรับความร่วมมือมากขึ้นน่ะ"""
ssc_504020_0310#0,"""...และนั่นก็คือข้อมูลพื้นฐานของรีเทม (Retem) ทั้งหมดล่ะ"""
ssc_504020_0320#0,"""ถ้ามีโอกาสได้คุยกันคราวหน้า จะยินดีมากเลย<br>ที่ได้ฟังประสบการณ์เพิ่มเติมจากเธอน่ะ"""
ssc_504020_0330#0,"""จะรอฟังเรื่องราวการเดินทางของเธอนะ"""
