ssc_504030_0010#0,"""...หืม"""
ssc_504030_0020#0,"""..."""
ssc_504030_0030#0,"""...อืมมม"""
ssc_504030_0040#0,"""กำลังทำอะไรอยู่เหรอ?"""
ssc_504030_0050#0,"""ทำงานอยู่เหรอ?"""
ssc_504030_0060#0,"""อ๊ะ! คุณนั่นเอง"""
ssc_504030_0070#0,"""ผมกำลังตรวจสอบข้อมูลของเรา<br>เกี่ยวกับเซ็นทรัลแคนนอน (Central Cannon) อยู่น่ะครับ"""
ssc_504030_0080#0,"""หืม? อ้า คุณนั่นเอง"""
ssc_504030_0090#0,"""แค่กำลังตรวจสอบข้อมูลบางส่วน<br>ของเซ็นทรัลแคนนอน (Central Cannon) น่ะครับ"""
ssc_504030_0100#0,"""ในเมื่อคุณมาอยู่ที่นี่แล้ว ให้ผมเล่า<br>เกี่ยวกับอาวุธชิ้นนี้ให้ฟังหน่อยดีไหมครับ?"""
ssc_504030_0110#0,"""พวกเขาเรียกมันว่าเซ็นทรัลแคนนอน (Central Cannon) แต่เห็นได้ชัดว่าชื่ออย่างเป็นทางการของมัน<br>คือ ปืนใหญ่อนุภาคโฟตอนแบบติดตั้งเดี่ยว (Single-Mounted Photon Particle Cannon) ครับ"""
ssc_504030_0120#0,"""ที่ผมพูดว่า 'เห็นได้ชัดว่า'... ก็เพราะว่า<br>มันเป็นเทคโนโลยีที่สูญหายไปแล้วเช่นกันครับ"""
ssc_504030_0130#0,"""ใครเป็นคนสร้าง สร้างขึ้นเมื่อไหร่ และสร้างทำไม<br>ยังคงเป็นปริศนามาจนถึงทุกวันนี้ล่ะครับ"""
ssc_504030_0140#0,"""เดิมทีพวกเราใช้มันเป็นเสาอากาศสื่อสาร<br>ซึ่งต่อมาได้กลายเป็นรากฐานของเซ็นทรัลซิตี้ (Central City) ครับ"""
ssc_504030_0150#0,"""ด้วยความที่มันเชื่อมต่อกับศูนย์ปฏิบัติการใต้ดินแบบนั้น<br>อาจกล่าวได้ว่ามันเปรียบเสมือนเสาหลักของเมืองเลยล่ะครับ"""
ssc_504030_0160#0,"""เซ็นทรัลแคนนอน (Central Cannon) ของเมือง<br>มันพังมาตั้งแต่แรกแล้วล่ะครับ"""
ssc_504030_0170#0,"""แวนฟอร์ด (Vanford) ปู่ของผม เป็นคนเริ่ม<br>พยายามที่จะซ่อมแซมมันครับ"""
ssc_504030_0180#0,"""ไม่สิ ขอผมพูดใหม่นะครับ<br>มันไม่ได้พังหรอกครับ แต่ว่ามัน... ไม่สมบูรณ์ต่างหาก"""
