ssc_504040_0010#0,"""ไง ดีใจที่ได้พบนะ"""
ssc_504040_0020#0,"""เพิ่งจะดำเนินการ<br>รวมระบบเซ็นทรัลแคนนอน (Central Cannon) เสร็จสิ้นเมื่อไม่นานมานี้น่ะ"""
ssc_504040_0030#0,"""ต้องขอบคุณข้อมูลที่อิลม่า (Ilma) ส่งมาให้ ถึงสามารถ<br>ระบุข้อบกพร่องทางเทคโนโลยีของเราได้ทั้งหมดเลย"""
ssc_504040_0040#0,"""และทั้งหมดนี้คงจะ<br>ไม่สำเร็จเลยถ้าไม่มีพวกเธอสามคน"""
ssc_504040_0050#0,"""ขอบคุณจริงๆ นะ"""
ssc_504040_0060#0,"""พวกเราทุกคนต่างก็ทำงานหนักเพื่อสิ่งนี้นี่นา"""
ssc_504040_0070#0,"""อิลม่า (Ilma) ต้องเป็นคนฉลาดมากแน่ๆ เลย"""
ssc_504040_0080#0,"""ใช่แล้วล่ะ"""
ssc_504040_0090#0,"""ได้ยินมาว่าพวกเธอ สาวๆ และ<br>พี่น้องทั้งห้าคนร่วมมือกันทำงานได้ดีแค่ไหนน่ะ"""
ssc_504040_0100#0,"""เขาเป็นแบบนั้นจริงๆ ล่ะ"""
ssc_504040_0110#0,"""เขาสามารถมองสิ่งต่างๆ ได้จากหลาย<br>มุมมองในแบบที่คาดไม่ถึง เขาเป็นวิศวกรที่ยอดเยี่ยมมากเลยล่ะ"""
ssc_504040_0120#0,"""เคยเล่าให้ฟังหรือยังว่าพวกเราเจอกันได้ยังไง?<br>มันเป็นเรื่องที่ตลกดีนะ"""
ssc_504040_0130#0,"""วันหนึ่ง มีข้อความที่ไม่ระบุชื่อทิ้งเอาไว้<br>ในคลังข้อมูลที่รวบรวมไว้น่ะ"""
ssc_504040_0140#0,"""พอเปิดดู ก็เจอกับกำแพงตัวอักษร<br>ที่แจกแจงความไม่ถูกต้องทุกจุดในข้อมูลอย่างละเอียดยิบเลยล่ะ"""
ssc_504040_0150#0,"""ตอนนั้นคิดกับตัวเองว่า 'เป็นไปไม่ได้น่า'<br>ก็เลยลองตรวจสอบดู และแน่นอนว่ามันเป็นไปตามที่เขาพูดทุกอย่างเลย"""
ssc_504040_0160#0,"""สงสัยว่าใครกันนะที่เป็นคนเขียนมันขึ้นมา<br>ก็เลยค้นหาที่อยู่และพบว่า..."""
ssc_504040_0170#0,"""ต้นทางมาจาก: ควาริส (Kvaris) น่ะ"""
ssc_504040_0180#0,"""ถ้าเรื่องนี้เป็นความจริง ก็มีแค่<br>คนเดียวเท่านั้นที่ผุดขึ้นมาในหัว"""
ssc_504040_0190#0,"""แต่ก็รู้ว่าไรซาส (Rysas) คนที่<br>ติดต่อด้วยเป็นคนสุดท้ายได้เสียชีวิตไปแล้ว ก็เลยผงะไปเลยล่ะ..."""
ssc_504040_0200#0,"""และพอติดต่อไปที่กระท่อม (Lodge) ก็ได้รับการตอบกลับจากอิลม่า (Ilma) ล่ะ"""
ssc_504040_0210#0,"""หลังจากที่ได้คุยกับเขา ถึงได้รู้ว่า<br>เขาเรียนรู้เรื่องการประดิษฐ์เครื่องจักรด้วยตัวเองน่ะ"""
ssc_504040_0220#0,"""วิธีการของเขาละทิ้งทฤษฎีที่มีอยู่เดิมไปเลย<br>มันเป็นมุมมองที่แปลกใหม่มากเลยล่ะ"""
ssc_504040_0230#0,"""ตั้งแต่นั้นมา เขาก็กลายเป็น<br>คนที่มักจะไปขอคำปรึกษาอยู่บ่อยๆ"""
ssc_504040_0240#0,"""เหมือนกับที่ทำเกี่ยวกับเรื่อง<br>เซ็นทรัลแคนนอน (Central Cannon) นี่แหละ"""
ssc_504040_0250#0,"""ช่วงนี้ ดูเหมือนว่าเขาจะกำลังค้นคว้า<br>เอกสารจำนวนมหาศาลที่ไรซาส (Rysas) ทิ้งเอาไว้ให้อยู่ด้วยนะ"""
ssc_504040_0260#0,"""ความฉลาดระดับนั้น แถมยังได้รับ<br>ทฤษฎีของไรซาส (Rysas) มาสนับสนุนอีก? คงแทบจะสู้ไม่ได้เลยล่ะ"""
ssc_504040_0270#0,"""เพราะงั้นก็คงต้อง<br>ทุ่มเทให้เต็มที่ที่สุดแล้วล่ะ"""
ssc_504040_0280#0,"""...ด้วยเหตุนี้ จึงตั้งใจที่จะดำเนินการ<br>ปรับปรุงเซ็นทรัลแคนนอน (Central Cannon) ต่อไปน่ะ"""
ssc_504040_0290#0,"""เพื่อให้แน่ใจว่าพวกเราจะเตรียมพร้อม<br>สำหรับการต่อสู้ครั้งต่อไปอย่างเต็มที่น่ะ แน่นอนล่ะ"""
