ssc_504050_0010#0,"""หืม?"""
ssc_504050_0020#0,"""อ้า สวัสดี หวังอยู่เลยว่าจะแวะมา"""
ssc_504050_0030#0,"""พอจะมีเวลาคุยกันหน่อยไหม?"""
ssc_504050_0040#0,"""กำลังถามฟาเรีย (Pharia) อยู่พอดีเลยว่ารู้อะไรเกี่ยวกับพวก Starless บ้างน่ะ"""
ssc_504050_0050#0,"""ความรู้ของฉันอาจจะค่อนข้างมีจำกัดนะคะ"""
ssc_504050_0060#0,"""แม้แต่ข้อมูลเพียงเล็กน้อยที่สุดก็ถือเป็น<br>เรื่องสำคัญอย่างยิ่งสำหรับเราในตอนนี้แล้วล่ะ"""
ssc_504050_0070#0,"""ในฐานะที่เป็นผู้พิทักษ์ (Guardian) เลยคิดว่ามันคงจะดี<br>ถ้าได้แบ่งปันข้อมูลนี้ด้วยน่ะ"""
ssc_504050_0080#0,"""ว่าแต่ มีอะไร<br>อยากจะถามเธอเกี่ยวกับพวก Starless ไหมล่ะ?"""
ssc_504050_0090#0,"""พวกมันปรากฏตัวขึ้นครั้งแรกเมื่อไหร่เหรอ?"""
ssc_504050_0100#0,"""พวกมันมาจากไหนงั้นเหรอ?"""
ssc_504050_0110#0,"""พวก Starless ปรากฏตัวขึ้นครั้งแรกเมื่อราวๆ 500 ปีก่อนค่ะ"""
ssc_504050_0120#0,"""พวกมันปรากฏตัวขึ้นจากดินแดนที่ไกลโพ้นจากขอบเขตการดำรงอยู่ของเรา และเข้าโจมตีเพียงฝ่ายเดียวในทันทีเลยค่ะ"""
ssc_504050_0130#0,"""พวก Starless ปรากฏตัวขึ้นอย่างกะทันหันจาก<br>สถานที่ที่ไกลโพ้นจากขอบเขตการดำรงอยู่ของเราค่ะ"""
ssc_504050_0140#0,"""จากนั้น พวกมันก็เข้าโจมตีมนุษยชาติเพียงฝ่ายเดียวเลยค่ะ"""
ssc_504050_0150#0,"""โชคร้ายที่ผู้คนในยุคนั้นแทบจะไม่มีโอกาสต่อสู้เลย และ<br>ผลก็คือ ดินแดนขอบนอกของการดำรงอยู่ของเรา..."""
ssc_504050_0160#0,"""หรือพูดอีกอย่างก็คือ ระบบดาวที่ห่างไกล<br>ถูกพรากชีวิตไปมากมายนับไม่ถ้วนเลยล่ะค่ะ"""
ssc_504050_0170#0,"""โจมตีแค่ระบบดาวที่ห่างไกลงั้นเหรอ?"""
ssc_504050_0180#0,"""แล้วระบบดาวอื่นๆ สามารถต่อสู้ขับไล่พวกมันไปได้งั้นเหรอ?"""
ssc_504050_0190#0,"""ดูเหมือนว่าจะเป็นอย่างนั้นนะคะ ใช่ค่ะ"""
ssc_504050_0200#0,"""ดูเหมือนว่าจะเป็นอย่างนั้นนะคะ"""
