ssc_504070_0010#0,"""ไง เธอเองเหรอ"""
ssc_504070_0020#0,"""มีเรื่องปรึกษาอะไรไหม?"""
ssc_504070_0030#0,"""มีอะไรหรือเปล่า?"""
ssc_504070_0040#0,"""เปล่าหรอก กำลังนึกย้อนถึงการต่อสู้<br>ตอนที่วาเอล (Vael) บุกมาน่ะ"""
ssc_504070_0050#0,"""กองทัพของ Starless ปรากฏตัวขึ้นทั่วทั้งฮาลฟา (Halpha)<br>พร้อมๆ กับการปรากฏตัวของวาเอล (Vael)"""
ssc_504070_0060#0,"""เป็นจำนวนมหาศาลแบบที่ไม่เคยเห็นมาก่อนเลยล่ะ……"""
ssc_504070_0070#0,"""ชนิดที่ว่า<br>แทบจะปกคลุมไปจนสุดขอบฟ้าเลยล่ะนะ"""
ssc_504070_0080#0,"""แต่ทางเราเองก็เตรียมการมาอย่างรอบคอบเหมือนกัน"""
ssc_504070_0090#0,"""เราระดมพล ARKS จากทุกภูมิภาคมา<br>และทำการฝึกซ้อมร่วมกันซ้ำแล้วซ้ำเล่า"""
ssc_504070_0100#0,"""และความพยายามนั้นก็ออกผลในการต่อสู้ครั้งนั้น"""
ssc_504070_0110#0,"""ทุกคนที่อยู่แนวหน้า<br>แสดงให้เห็นถึงความสามารถในการพลิกแพลงตามสถานการณ์ได้อย่างยอดเยี่ยม"""
ssc_504070_0120#0,"""โดยที่ฉันและผู้นำภูมิภาคคนอื่นๆ<br>แทบจะไม่ต้องคอยสั่งการอะไรยิบย่อยเลย"""
ssc_504070_0130#0,"""และคนที่โดดเด่นสะดุดตาที่สุดในแนวหน้า<br>ก็คือไอน่ากับมาน่อนนั่นแหละ"""
ssc_504070_0140#0,"""นั่นสินะ<br>ทั้งสองคนทำหน้าที่ได้ดีมากจริงๆ"""
ssc_504070_0150#0,"""ไอน่านำนักเรียนฝึกหัดที่ตัวเองเป็นคนดูแล<br>ออกไปต่อสู้ตามที่ต่างๆ"""
ssc_504070_0160#0,"""มาน่อนเองก็คอยหาจุดที่กำลังรบเบาบาง<br>และป้องกันไม่ให้แนวรบพังทลายลงมา"""
ssc_504070_0170#0,"""ด้วยเหตุนี้<br>ฉันถึงสามารถจดจ่ออยู่กับการปกป้องเซ็นทรัลซิตี้ (Central City) ได้อย่างเต็มที่"""
ssc_504070_0180#0,"""ฉันรู้สึกขอบคุณพวกเธอสองคน<br>จากใจจริงเลยล่ะ"""
ssc_504070_0190#0,"""ทั้งคู่แข็งแกร่งขึ้นมากเลยนะ"""
ssc_504070_0200#0,"""หลังจากนี้ ก็คงจะแข็งแกร่งขึ้นไปอีกแน่ๆ"""
ssc_504070_0210#0,"""อื้อ<br>นั่นสินะ"""
ssc_504070_0220#0,"""ถ้าอย่างนั้น<br>เธอก็คงจะมัวชักช้าอยู่ไม่ได้แล้วล่ะสิ"""
