Title#0,"""세계를 파괴하는 유전의 도화"""
Explanation#0,"""아크스 각원에게 긴급 연락.<br>행성 나베리우스 상공에<br>【심원의 어둠】과 【양자】가 출현해<br>지표면 침공을 시작했다.<br>【심원의 어둠】으로 가는 길은<br>【양자】가 막고 있어 연전은 피할 수 없다.<br>침공을 저지하고 적성 존재를 섬멸하라.<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>랭킹 기간/임무 발생 후 1시간 30분<br>실패 조건/임무 실패, 제한 시간 경과"""
SimpleExplanation#0,"""【심원의 어둠】의 격파"""
Area0S#0,"""행성 나베리우스 상공"""
Area0L#0,"""행성 나베리우스 상공\u3000상륙정"""
Area1S#0,"""괴세의 끝자락"""
Area1L#0,"""괴세의 끝자락"""
Area1S#1,"""귀환 장소"""
Area1L#1,"""귀환 장소"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
NpcComMsg1#0,"""곧, 최전방으로 전송됩니다.<br>목적은 다크 펄스 【양자】를 섬멸하고<br>【심원의 어둠】으로 가는 길을<br>만드는 것."""
NpcComMsg2#0,"""상대는 다크 펄스……그 힘의 강력함은<br>헤아릴 수 없습니다. 부디, 조심해서<br>무사히 돌아오세요."""
NpcComMsg1#1,"""【심원의 어둠】으로<br>가는 길이 열렸습니다.<br>남은 목표는 그 강대한 목표를<br>타도하는 것 입니다."""
NpcComMsg2#1,"""상세한 지시나 명령은 없습니다.<br>용감하게 싸워 반드시 생환해 주십시오.<br>……부디, 부탁드립니다."""
