Title#0,"""휘광을 몰살하는 윤회의 도화"""
Explanation#0,"""『수호휘사』에게 긴급 연락.<br>행성 나베리우스 상공에 【심원의 어둠】과<br>【더블】이 출현했다.<br>지금까지 기른 모든 힘을 사용해서<br>단독으로 이들을 격파하라.<br>극히 위험한 임무지만 완수를 바란다.<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>실패조건/임무실패, 제한시간 경과"""
SimpleExplanation#0,"""【심원의 어둠】의 격파"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""행성 나베리우스 상공"""
Area0L#0,"""행성 나베리우스 상공\u3000상륙정"""
Area1S#0,"""괴세의 끝자락"""
Area1L#0,"""괴세의 끝자락"""
Area1S#1,"""귀환 장소"""
Area1L#1,"""귀환 장소"""
NpcComMsg1#0,"""곧, 최전방으로 전송됩니다.<br>목적은 다크 펄스 【쌍둥이】를 섬멸하고<br>【심원의 어둠】으로 가는 길을<br>만드는 것."""
NpcComMsg2#0,"""상대는 다크 펄스……그 힘의 강력함은<br>헤아릴 수 없습니다. 부디, 조심히<br>무사히 돌아오세요."""
NpcComMsg1#1,"""【심원의 어둠】으로<br>가는 길이 열렸습니다.<br>남은 목표는 그 강대한 목표를<br>타도하는 것 입니다."""
NpcComMsg2#1,"""상세한 지시나 명령은 없습니다.<br>용감하게 싸워 반드시 생환해 주십시오.<br>……부디, 부탁드립니다."""
