text100#0,"""Клиентские заказы"""
text101#0,"""У Лавэлля доступны новые клиентские заказы.<br><br>Лавэлля можно найти возле всточного координатора<br>квестов в Зоне Врат."""
tutorial01#0,"""У Марлур доступны новые клиентские заказы.<br><br>Марлур можно найти в центральном зале Зоны Врат."""
tutorial02#0,"""У Озы доступны новые клиентские заказы.<br><br>Озу можно найти в центральном зале Зоны Врат."""
tutorial03#0,"""У Рисы доступны новые клиентские заказы.<br><br>Рису можно найти в центральном зале Зоны Врат."""
tutorial04#0,"""У Азанами доступны новые клиентские заказы.<br><br>Азанами можно найти в центральном зале Зоны Врат."""
tutorial05#0,"""У Саги доступны новые клиентские заказы.<br><br>Сагу можно найти возле центрального телепорта<br>Зоны Врат."""
tutorial06#0,"""У Катори доступны новые клиентские заказы.<br><br>Катори можно найти возле центрального телепорта<br>Зоны Врат."""
tutorial07#0,"""У Жана доступны новые клиентские заказы.<br><br>Жана можно найти к югу от входа Торговой зоны."""
tutorial08#0,"""У Лолы доступны новые клиентские заказы.<br><br>Лолу можно найти Зоне Врат возле Медцентра."""
tutorial09#0,"""У Пьетро доступны новые клиентские заказы.<br><br>Пьетро можно найти неподалёку от координатора<br>классов."""
tutorial10#0,"""В лобби есть ARKS, являющиеся наставниками каждого<br>из классов.<br><br>Оза - наставник хантеров и файтеров.<br>Марлур - наставница форсов и тектеров.<br>Риса - наставница рейджеров и ганнеров.<br>Азанами - наставница брейверов.<br>Сага и Катори - наставники брейверов.<br>Пьетро - наставник саммонеров.<br><br>Отыщите их в Зоне Врат и поговорите."""
tutorial11#0,"""Кроме того, различные персонажи могут запрашивать<br>клиентские заказы.<br><br>Например:<br><br>Ханс, находящийся к западу от координаторов<br>квестов.<br>Лавэлль, находящийся к востоку от координаторов<br>квестов.<br>Жан, находящийся к югу от входа Торговой зоны.<br><br>Поговорите с ними тоже."""
