name_7418#0,"""ベルクマン"""
ssn_011100_0001#0,"""このセントラルシティは、いいところだろ？"""
ssn_011100_0002#0,"""晴れてるときには、防壁の上に行ってみな。<br>いい景色が眺められるぞ。"""
ssn_011100_0101#0,"""ところで、今、時間はあるか？<br>ちと頼みたいことがあるんだ。"""
ssn_011100_0102#0,"""エアリオには、たくさん山があるだろ？<br>昔は、よく登ったもんだ。"""
ssn_011100_0103#0,"""俺も、もともとはドールズと戦う最前線のアークスだったんだが、<br>ケガとか色々あってな……。"""
ssn_011100_0104#0,"""今はシティの中で仕事をしてるんだ。"""
ssn_011100_0105#0,"""なんだかんだで、毎日忙しいし、<br>外に出る機会も減っちまってな。"""
ssn_011100_0106#0,"""で、ふとした時に思うんだ。<br>昔めぐった場所に、また行ってみたいなあって。"""
ssn_011100_0107#0,"""あんた、あちこちに行くんだろ？<br>よければ山に登って、その景色をデータで送ってくれないか？"""
ssn_011100_0108#0,"""まあ、暇な時でいいからさ。<br>頼むわ。"""
ssn_011100_0201#0,"""そうか……忙しいか。<br>なら、また今度頼むわ。"""
