name_7007#0,"""リューリン"""
ssq_014110_0010#0,"""おつかれさまです。<br>これで、エアリオにあるトレイニアはすべて踏破です。"""
ssq_014110_0020#0,"""いいデータがとれました。<br>アークスの訓練にも役立ちます。"""
ssq_014110_0030#0,"""それにしても、トレイニアは謎の多い場所です。"""
ssq_014110_0040#0,"""誰がいつ作ったのかも、<br>なんのために作られたのかもわからない。"""
ssq_014110_0050#0,"""ボクたちは、訓練施設として利用してますが、<br>それがあっているのかも……。"""
ssq_014110_0060#0,"""……そうでした。トレイニアマスター認定です。<br>おめでとうございます。"""
ssq_014110_0070#0,"""これからも、がんばってください。"""
ssq_014110_0101#0,"""と思ったら、既にすべてのトレイニアを踏破済み。"""
ssq_014110_0102#0,"""むむむ……侮れません。"""
ssq_014110_0103#0,"""それにしても、トレイニアは謎の多い場所です。"""
ssq_014110_0104#0,"""誰がいつ作ったのかも、<br>なんのために作られたのかもわからない。"""
ssq_014110_0105#0,"""ボクたちは、訓練施設として利用してますが、<br>それがあっているのかも……。"""
ssq_014110_0106#0,"""……そうでした。トレイニアマスター認定です。<br>おめでとうございます。"""
ssq_014110_0107#0,"""これからも、がんばってください。"""
