name_7662#0,"""ダントレイ"""
ssn_011120_0010#0,"""新顔だな！<br>……むぅ、本当に来たばかりのようだな。"""
ssn_011120_0020#0,"""もう少し腕を磨いたら、またここへ来るといいぞ！"""
ssn_011120_0030#0,"""よく来たな！<br>オレは打撃クラスの訓練教官、ダントレイだ！"""
ssn_011120_0040#0,"""うむ、その立ち居振る舞いを見ればわかるぞ。<br>しっかりと腕を磨いているようだな！"""
ssn_011120_0045#0,"""戦闘技術を学びたいのなら、手ほどきをしよう。<br>さあ、どのクラスの戦い方について教えてほしいんだ？"""
ssn_011120_0050#0,"""そうか……。<br>一人前になりたければ、また来るんだぞ！"""
ssn_011120_0060#0,"""訓練を怠るな！"""
ssn_011120_0070#0,"""しっかりと経験を積んで、<br>はやく一人前のアークスになるんだぞ！"""
ssn_011120_0101#0,"""どうだ、少しは上達したか？"""
ssn_011120_0102#0,"""訓練してわかったと思うが、<br>やはりクラススキルが重要だ。"""
ssn_011120_0103#0,"""スキルは、覚えただけでは宝の持ち腐れだ。<br>使いこなせるようになってくれ！"""
