ssn_014250_0001#0,"""この南門の防衛を担当している、<br>ナンデルといいます。"""
ssn_014250_0002#0,"""東西南北の門番の中では、私が一番年下なんです。<br>でも、門番としてのキャリアは、私が最も長いんですよ。"""
ssn_014250_0003#0,"""同僚たちの見本となるように、日々頑張っています。"""
ssn_014250_0101#0,"""あなたのこと、よく噂で耳にしています。<br>いやあ、すごい活躍ですね。"""
ssn_014250_0102#0,"""そこで、その腕前を見込んで、<br>ひとつ提案したいことがあるんです。"""
ssn_014250_0201#0,"""独立遊撃隊は、戦闘力の高いアークスが集まって、<br>強力なエネミーを掃討する即応部隊です。"""
ssn_014250_0202#0,"""厳しい任務になりますが、<br>あなたの実力なら、きっと大丈夫なはずです。"""
ssn_014250_0203#0,"""頑張ってください。応援しています！"""
ssn_014250_0301#0,"""お疲れさまです！"""
ssn_014250_0302#0,"""さすがですね！\u3000素晴らしい戦いぶりでした。<br>その調子で、これからも頑張ってください！"""
ssn_014250_0401#0,"""そうですか……。<br>わかりました。では、またの機会に。"""
