Title_Partyselect#0,"""パーティー選択"""
Room_Friend_Filter#0,"""フレンドのいるルームを絞り込む"""
Room_Team_Filter#0,"""チームメンバーのいるルームを絞り込む"""
Basic_Info#0,"""基本情報"""
Field_Info#0,"""フィールド情報"""
Menber_Info#0,"""パーティーメンバー"""
Filter_On#0,"""ON"""
Filter_OFF#0,"""OFF"""
Room_Timecount#0,"""$(0)：$(1)"""
Room_Leaving#0,"""3時間以上"""
PasswordTitle#0,"""パスワード入力"""
PasswordMessage#0,"""パスワードを入力してください："""
Window_Titletelop#0,"""クエスト受注メニュー"""
Window_TwolineGuide#0,"""自分がパーティーリーダーになるか、他のパーティーにメンバーとして参加するかを選択してください。"""
Window_ControlGuide#0,"""<%Decide>：決定\u3000<%Cancel>：キャンセル"""
Top_Quest_info#0,"""クエスト情報"""
Top_Quest_infodetails#0,"""クエスト詳細"""
Title_Quest_Name#0,"""概要"""
Title_Quest_Reward#0,"""報酬"""
Title_Quest_Reward_2#0,"""初回クリア報酬"""
Title_Quest_Restriction#0,"""制限"""
Title_Quest_Recommended#0,"""推奨能力値"""
Title_Quest_Order#0,"""受注条件"""
Title_Quest_Clear_Failure#0,"""クリア条件・失敗条件"""
Title_Quest_Clear#0,"""クリア条件"""
Title_Quest_Failure#0,"""失敗条件"""
Title_Quest_Description#0,"""説明"""
Btn_Departimmediately#0,"""すぐ出発する"""
Btn_Partyconfluence#0,"""パーティーに合流"""
AcceptNG_Description1#0,"""パーティーメンバーは、<br>クエストを受注できません。"""
AcceptNG_Description2#0,"""条件を満たしていないため、<br>クエストを受注できません。"""
AcceptNG_Description3#0,"""クリア回数制限を超えているメンバーがいるため、<br>クエストを受注できません。"""
Btn_Fasttravel#0,"""ファストトラベル"""
Btn_Storyconfirmation#0,"""ストーリーを確認"""
Title_Mainmission#0,"""メインミッション"""
Title_Submission#0,"""サイドミッション"""
Title_Bestscore#0,"""個人記録（ソロプレイ時）"""
Title_Bestscore_pt#0,"""個人記録（パーティープレイ時）"""
Title_Subjugationtarget#0,"""討伐目標エネミー"""
Title_Recommendeditems#0,"""おすすめドロップアイテム"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""×$(0)"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""スキルポイント"""
