name_7664#0,"""ホーニャン"""
ssn_011160_0010#0,"""あなた、見ない顔ね。<br>なるほど……本当に、ここに来たばかりのようね。"""
ssn_011160_0020#0,"""じゃあ、もうちょっといろいろと身につけたら、<br>またここに来るといいわ。"""
ssn_011160_0030#0,"""よく来たわね。<br>あたしは法撃クラスの訓練教官、ホーニャンよ。"""
ssn_011160_0040#0,"""アークスとして、順調に力をつけてるみたいね。"""
ssn_011160_0045#0,"""そろそろ、あたしが直々に指導をしてあげようかしら。<br>どのクラスの戦い方について知りたいの？"""
ssn_011160_0050#0,"""で、どのクラスの戦い方について学びたいの？"""
ssn_011160_0060#0,"""あらそう？\u3000遠慮しなくていいのよ。<br>気が変わったら、また来るといいわ。"""
ssn_011160_0070#0,"""しっかり訓練に励むのよ。"""
ssn_011160_0080#0,"""あたしが教えたとおりにやれば、<br>法撃の腕は必ず上がるはずよ。"""
ssn_011160_0101#0,"""どう？\u3000あたしが教えた通りに戦えた？"""
ssn_011160_0102#0,"""この訓練で、いかにクラススキルが重要かってこともわかったでしょ。<br>いろいろ覚えて、慣れていってちょうだい。"""
ssn_011160_0103#0,"""それじゃ、頑張るのよ。"""
