name010#0,"""グイーデン"""
name020#0,"""ブルーダー"""
text010#0,"""次に新しい技術を教えよう。<br>ウォールキックだ。"""
text020#0,"""正面の壁を飛び越えてみてくれ。"""
Text_Dash#0,"""ダッシュ："""
Button_Dash_Pad#0,"""<%Avoid>長押し"""
Button_Dash_Key#0,"""移動キーを２回長押し"""
Text_DoubleJump#0,"""二段ジャンプ："""
Button_DoubleJump#0,"""ジャンプ中に<%Jump>"""
text_WallKick#0,"""ウォールキック："""
Button_WallKick#0,"""ジャンプ中、壁に接触し"""
Button_WallKick2_Pad#0,"""<%LStick>の入力維持"""
Button_WallKick2_Key#0,"""移動キーの入力維持"""
Button_WallKick2#0,"""ジャンプ中"""
Button_WallKick2_Manual#0,"""壁に接触し<%Jump>"""
