name_7656#0,"""セグレット"""
ssn_013030_0001#0,"""はじめまして……お会いできて嬉しいです……。"""
ssn_013030_0002#0,"""これからよろしくお願いします……。"""
ssn_013030_0101#0,"""あなたは、武器の“潜在能力”……って、<br>知ってます……？"""
ssn_013030_0102#0,"""もし知らなければ……教えましょうか……？"""
ssn_013030_0201#0,"""そうですか……。<br>興味がわいたら……また声をかけてください……。"""
ssn_013030_0301#0,"""それぞれの武器には……、<br>秘められた能力が……あります。"""
ssn_013030_0302#0,"""触媒となる素材を用いて……武器を加工することで……、<br>その力……潜在能力を……解放することができるんです。"""
ssn_013030_0303#0,"""ただ……、潜在能力を解放するには……、<br>フォトンの“鉱石”が……必要です……。"""
ssn_013030_0304#0,"""今回は、私のを差し上げます……、<br>それを持って……アイテムラボへ行ってみてください。"""
ssn_013030_0401#0,"""潜在能力……解放してみていかがですか……。"""
ssn_013030_0402#0,"""手に入れた武器と……、<br>触媒の“鉱石”……。"""
ssn_013030_0403#0,"""どの武器に……、どんな能力が……、<br>秘められているんでしょう……。"""
ssn_013030_0404#0,"""……いろいろ、<br>試してみて……ください。"""
