Title#0,"""경계를 꿰뚫는 쌍각의 흉조"""
Explanation#0,"""행성 나베리우스 괴세 구역에서<br>세괴종뿐 아니라 원생종, 용족,<br>기갑종과 해왕종까지 발생했다.<br>연관성은 불명이지만 국지적인 뇌우와<br>정체불명의 유익형 에너미도 확인됐다.<br>각 아크스는 즉시 현지로 출격해<br>대상을 조사하고 필요하면 토벌하라.<br>――――――――――――――――――――<br>실패 조건/최심부에서 패배"""
SimpleExplanation#0,"""이변을 일으킨 원흉을 격파하라!"""
NpcComMsg1#0,"""앙가 판다지의 반응을 감지.<br>이 앞에 출현한 것 같습니다."""
NpcComMsg2#0,"""현재 조사 대상인<br>정체불명의 유익형 에너미와는 다르지만<br>그대로 둘 수는 없습니다."""
NpcComMsg3#0,"""이 영역에서 확인된 이상 기후의<br>원인일지도 모릅니다……<br>신속히 격파해 주세요."""
NpcComMsg1#1,"""……씨!\u3000……여러분!\u3000<br>모두 응답해 주세요!<br>다행이다…… 연결됐나 보네요."""
NpcComMsg2#1,"""……여기는 어디죠?<br>좌표 자체는 행성 나베리우스 그대로……<br>하지만 이건?"""
NpcComMsg3#1,"""지금까지의 이변도 이 앞에 숨은<br>에너미의 영향일까요?<br>불길한 예감이 듭니다. 조심하세요."""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
