Title#0,"""Sky Park Arkuma Land"""
Explanation#0,"""Hello, all you ARKS. I am Arkuma.<br>I have prepared a fun training program<br>for you. The objective is simple.<br>Defeat as many enemies as you can<br>within a time limit and set a high score.<br>You will need to complete Emergency<br>Trials if you want to earn a high score.<br>Be aggressive as you proceed.<br>――――――――――――――――――――<br>Score is shared within the room.<br>Quest ends when time limit expires."""
SimpleExplanation#0,"""Defeat the enemies & earn points!"""
NpcComMsg1#0,"""Thank you all for coming. This mission<br>is a score attack where you do better<br>the more enemies you defeat."""
NpcComMsg2#0,"""As a little bonus, I've set up Trial<br>Orders for the Emergency Trials<br>that occur during the quest."""
NpcComMsg3#0,"""If you can complete them, the<br>points you earn afterwards will<br>be worth that much more. I want<br>to see you all going for a high score."""
Area0S#0,"""Skyscape - Area 1"""
Area0L#0,"""Planet Amduscia: Skyscape - Area 1"""
Area1S#0,"""Skyscape - Area 2"""
Area1L#0,"""Planet Amduscia: Skyscape - Area 2"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NPC_QUEST_START#0,"""Starting quest. Defeat the enemies and aim for a high score!"""
NPC_TIME_HALF#0,"""Notice: Half time remaining. Try to complete Trial Orders to increase points and get a high score."""
NPC_TIME_1MIN#0,"""Notice: One minute left. Until the time is out, keep working hard."""
LINE_QUEST_START#0,"""Defeat the enemies and earn points!"""
LINE_TIME_1MIN#0,"""One minute left!"""
