Title#0,"""T:마물을 부르는 환혹의 숲"""
Explanation#0,"""이세계 오메가 쿠엔트와 베른의<br>국경 부근에 거대한 숲이 나타났습니다.<br>휘말린 사람들을 돕기 위해<br>하리엣 씨가 숲으로 향한 모양입니다!<br>다크 펄스와 비슷한 반응도 있어<br>위험합니다. 하리엣 씨를 구해 주세요!<br>――――――――――――――――――――<br>퀘스트 중/HP 회복 방해 있음<br>실패 조건/임무 실패, 제한 시간 경과<br>전원 누적 9회 전투 불능"""
SimpleExplanation#0,"""하리엣을 구출하라!"""
NpcComMsg1#0,"""목표는 하리엣 씨의 구출입니다.<br>매우 강한 적대 반응이 확인돼<br>위험한 임무가 될 것으로 예상됩니다."""
NpcComMsg2#0,"""현지는 시야가 나쁠 뿐 아니라<br>적대 존재도 다수 확인돼<br>진행을 방해받을 수 있습니다."""
NpcComMsg3#0,"""아군 피해 상황에 따라<br>강제 철수할 수도 있습니다.<br>충분히 주의해서 향해 주세요!"""
Area1S#0,"""숲의 폐성"""
Area1L#0,"""숲의 폐성"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
TargetExplanation#0,"""퀘스트 목표 「하리엣을 구출하라!」<br><br><c f0df60>전원 합계 <c ff2020>9회 전투 불능<c f0df60> 시 퀘스트 실패<c>"""
