Title#0,"""마물을 부르는 환혹의 숲"""
Explanation#0,"""이세계 오메가 쿠엔트와 베른의<br>국경 부근에 거대한 숲이 나타났습니다.<br>휘말린 사람들을 돕기 위해<br>하리엣 씨가 숲으로 향한 모양입니다!<br>숲에서 다크 펄스와 비슷한 반응도<br>관측돼 위험합니다!<br>하리엣 씨를 구하러 가 주세요!<br>――――――――――――――――――――<br>최심부 에너미 격파 시 클리어"""
SimpleExplanation#0,"""하리엣을 구출하라!"""
NpcComMsg1#0,"""전송 장치 기동을 확인했습니다.<br>이번 목표는 환혹의 숲으로 향한<br>하리엣 씨의 구출입니다."""
NpcComMsg2#0,"""최심부에서는 다크 펄스와 비슷한<br>반응도 감지됐으므로<br>다커의 출현이 예상됩니다."""
NpcComMsg3#0,"""어둡고 으스스한 숲속입니다.<br>뜻밖의 곳에서 습격당할 수도 있으니<br>주의해 주세요!"""
Area1S#0,"""숲의 폐성"""
Area1L#0,"""숲의 폐성"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
