name010#0,"""Боджи"""
text010_A#0,"""О! Что думаешь об этом городе?<br>Красивый же?"""
text020_A#0,"""Если у тебя появится желание осмотреть<br>окресности, просто дай мне знать."""
text010#0,"""О! Это же ты. Что? Тебе говорили,<br>что я тебя ищу?"""
text020#0,"""Да, именно так. Я хотел сделать тебе подарок.<br>Я пытался придумать что-то хорошее."""
text030#0,"""Ну, я придумал не плохой подарок,<br>только забыл куда положил..."""
text040#0,"""Помнится, я давным-давно убрал его<br>в контейнер для предметов..."""
text050#0,"""Интересно, где был тот контейнер...<br>Хмм..."""
text060#0,"""Извини! Я несколько расстерян, так что<br>не мог(ла) бы ты помочь мне найти его?"""
text010_B#0,"""Как думаешь? Сможешь найти?"""
text010_C#0,"""Уже осмотрел(ла) город? Если да, почему бы<br>тебе не вернуться к Гароа?"""
text010_D#0,"""А теперь, давай, надень это."""
