MainMenu_Title#0,"""회복 단말기"""
MainMenu_ChangeWeather#0,"""날씨 변경"""
MainMenu_Refresh#0,"""상태 회복"""
MainMenu_GotoEsthe#0,"""에스테로 이동"""
MainMenu_ReturnCampship#0,"""캠프 쉽으로 돌아가기"""
MainMenu_QuestClear#0,"""퀘스트 클리어"""
MainMenu_LeaderOnly#0,"""파티 리더만 실행할 수 있습니다"""
MainMenu_CloseMenu#0,"""돌아가기"""
GotoEstheYesNo_Title#0,"""메시지"""
GotoEstheYesNo_Message#0,"""에스테로 이동하면<br>「파트너 호출 단말기」로 호출한<br>파트너는 파티에서 이탈합니다.<br><br>계속하시겠습니까?"""
Button_Yes#0,"""예"""
Button_No#0,"""아니요"""
QuestClearYesNo_Title#0,"""퀘스트 클리어 확인"""
QuestClearYesNo_Message#0,"""(임시) 퀘스트를 클리어하시겠습니까?<br>※퀘스트 클리어를 실행하면 캠프 쉽으로 이동합니다."""
ReturnCampshipYesNo_Title#0,"""메시지"""
ReturnCampshipYesNo_Message#0,"""캠프 쉽으로 돌아가시겠습니까?"""
Weather_Title#0,"""날씨 선택"""
Weather1#0,"""날씨 1"""
Weather2#0,"""날씨 2"""
Weather3#0,"""날씨 3"""
Weather4#0,"""날씨 4"""
Weather5#0,"""날씨 5"""
Weather6#0,"""날씨 6"""
Weather7#0,"""날씨 7"""
Weather8#0,"""날씨 8"""
Weather9#0,"""날씨 9"""
Weather10#0,"""날씨 10"""
