msc_023070_0010#0,"""อ๊ะ? ยินดีต้อนรับ!"""
msc_023070_0020#0,"""ถ้าบอกก่อนว่าจะมาล่ะก็ จะได้เตรียมอะไรไว้ให้ทานด้วยกัน..."""
msc_023070_0030#0,"""ที่เอลิโอ (Aelio) เป็นยังไงบ้างล่ะ?"""
msc_023070_0040#0,"""ช่วงนี้อิลม่า (Ilma) แวะไปที่นั่นบ่อยเลยล่ะ<br>เขาไม่ได้สร้างปัญหาอะไรให้พวกเธอใช่ไหม?"""
msc_023070_0050#0,"""ส่วนใหญ่เขาก็ใช้เวลาไปกับการค้นคว้าอะไรสักอย่างนั่นแหละ"""
msc_023070_0060#0,"""เอาจริงๆ ก็ไม่ค่อยแน่ใจหรอกนะว่าเขากำลังทำอะไรอยู่น่ะ"""
msc_023070_0070#0,"""ดูเหมือนเขาจะเป็นแบบนี้ไม่ว่าจะอยู่ที่ไหนสินะ..."""
msc_023070_0080#0,"""เอ๊ะ? ไม่รู้เหรอ?"""
msc_023070_0090#0,"""ก็นะ เขาก็คงขลุกตัวอยู่กับการ<br>ค้นคว้าเรื่องนู้นเรื่องนี้อยู่นั่นแหละ"""
msc_023070_0100#0,"""อย่างน้อยเขาก็ดูไม่ได้จะ<br>ไปก่อเรื่องวุ่นวายอะไรล่ะนะ"""
msc_023070_0110#0,"""ได้ยินแบบนั้นก็ค่อยโล่งใจหน่อย"""
msc_023070_0120#0,"""ถ้าเขาเริ่มทำตัวแปลกๆ หรือทำอะไรแผลงๆ ล่ะก็<br>ต้องรีบมาบอกทันทีเลยนะ เข้าใจไหม?"""
msc_023070_0130#0,"""...อ๊ะ พอพูดถึงเรื่องนี้ก็นึกขึ้นมาได้เลย"""
msc_023070_0140#0,"""เมื่อไม่นานมานี้ไอน่าเพิ่งมาหาด้วยล่ะ"""
msc_023070_0150#0,"""มาหางั้นเหรอ?"""
msc_023070_0160#0,"""มาทำธุระอะไรงั้นเหรอ?"""
msc_023070_0170#0,"""อื้อ"""
msc_023070_0180#0,"""เธออยากให้ช่วยเล่าให้ฟังน่ะว่าพวกเรามีการฝึกซ้อมการต่อสู้แบบไหนบ้าง"""
msc_023070_0190#0,"""เธออยากรู้ว่าพวกเราฝึกซ้อมการต่อสู้กันแบบไหนบ้างน่ะ"""
msc_023070_0200#0,"""ไอน่าเล่าให้ฟังว่าเธอได้กลายมาเป็นครูฝึก (Instructor) แล้วน่ะ"""
msc_023070_0210#0,"""คิดว่ามันเหมาะกับเธอมากเลยล่ะ เธอเป็นคนที่ชอบช่วยเหลือคนอื่นอยู่แล้วด้วย"""
msc_023070_0220#0,"""ก็เลยเล่าเรื่องสไตล์การต่อสู้ที่คุณปู่เคยสอนพวกเราให้เธอฟังน่ะ"""
msc_023070_0230#0,"""รู้ใช่ไหมว่าพี่ชายของฉันและตัวฉันเองมีนิสัยที่แตกต่างกันมากแค่ไหนน่ะ?"""
msc_023070_0240#0,"""อื้อ นั่นทำให้มันไม่ใช่เรื่องง่ายเลยที่คุณปู่จะสอนพวกเราน่ะ"""
msc_023070_0250#0,"""เขามักจะพูดเสมอเลยว่า 'การปรับตัวให้เข้ากับเอกลักษณ์เฉพาะตัวนั้นเป็นสิ่งสำคัญ' น่ะ"""
msc_023070_0260#0,"""เขาพยายามสอนพวกเราด้วยวิธีนึง และถ้ามันไม่ได้ผล เขาก็จะเปลี่ยนไปใช้อีกวิธีนึงล่ะ"""
msc_023070_0270#0,"""ในท้ายที่สุด เขาก็หาสไตล์การต่อสู้ที่เหมาะกับพวกเราทุกคนได้ และค่อยๆ สอนพวกเราอย่างอดทนทีละคนๆ ล่ะนะ"""
msc_023070_0280#0,"""แล้วก็ ถ้าสมมติว่า..."""
msc_023070_0290#0,"""ถ้าคุณปู่เอาแต่บอกให้พวกเราทำในแบบที่เขาทำล่ะก็..."""
msc_023070_0300#0,"""นิสัยของพวกเราก็คงจะกลายเป็นเหมือนเขาไปหมดแล้วล่ะมั้ง"""
msc_023070_0310#0,"""...พอเล่าเรื่องนี้ให้ไอน่าฟัง เธอก็พูดขึ้นมาว่า<br>'ว้าว ที่ผ่านมาฉันมัวแต่คิดจากมุมมองของตัวเองเท่านั้นเอง...' น่ะ"""
msc_023070_0320#0,"""หลังจากนั้นเธอก็อยู่ต่ออีกไม่นานหรอก"""
msc_023070_0330#0,"""ความจริงก็อยากจะคุยกับเธอให้มากกว่านี้อีกสักหน่อยล่ะนะ..."""
msc_023070_0340#0,"""แล้วเธอล่ะ?"""
msc_023070_0350#0,"""อยากฟังเรื่องราวของเธอช่วงนี้จังเลยล่ะ"""
