msc_023060_0010#0,"""..."""
msc_023060_0020#0,"""เฮ้อ..."""
msc_023060_0030#0,"""เป็นอะไรไปเหรอ?"""
msc_023060_0040#0,"""ไม่สบายใจเหรอ?"""
msc_023060_0050#0,"""เอ๊ะ?"""
msc_023060_0060#0,"""อ๊ะ...?"""
msc_023060_0070#0,"""อ-อ๊ะ! สวัสดี <%me>"""
msc_023060_0080#0,"""ข-ขอโทษที... พอดีกำลังคิดอะไรเพลินๆ อยู่น่ะ"""
msc_023060_0090#0,"""เกิดอะไรขึ้นงั้นเหรอ?"""
msc_023060_0100#0,"""เรื่องการฝึกสอนงั้นเหรอ?"""
msc_023060_0110#0,"""...อื้อ เรื่องการฝึกสอนนั่นแหละ..."""
msc_023060_0120#0,"""...อ-อื้ม..."""
msc_023060_0130#0,"""ก็แบบว่า... ไม่เคยได้รับการฝึกฝนการเป็น ARKS อย่างเป็นทางการมาก่อนเลยน่ะ"""
msc_023060_0140#0,"""แม้แต่คุณพ่อก็ยังไม่เคยสอนวิธีใช้อาวุธให้เลยด้วยซ้ำ"""
msc_023060_0150#0,"""ที่ผ่านมาก็แค่พยายามอย่างเต็มที่เพื่อที่จะตามเธอและมาน่อนให้ทันเท่านั้นเอง"""
msc_023060_0160#0,"""แล้วจู่ๆ วันนึงก็... มีสไตล์การต่อสู้เป็นของตัวเองขึ้นมาซะงั้นน่ะ"""
msc_023060_0170#0,"""แล้วก็แบบ..."""
msc_023060_0180#0,"""ไม่สามารถถ่ายทอดประสบการณ์นั้นให้พวกเด็กใหม่เข้าใจได้ดีเท่าไหร่เลยน่ะ"""
msc_023060_0190#0,"""ก็แบบว่า ที่ผ่านมามักจะทำทุกอย่างตามความรู้สึกน่ะ แล้วจะให้<br>อธิบายออกมาเป็นคำพูดยังไงล่ะ ยิ่งไม่ต้องพูดถึงเรื่องการสอนคนอื่นเลย เข้าใจใช่ไหม?"""
msc_023060_0200#0,"""...พอพูดตะกุกตะกัก ก็เลยเริ่มลนลานแล้วก็<br>ยิ่งตะกุกตะกักเข้าไปใหญ่ แล้วพวกเด็กใหม่ก็มองมาด้วยสายตาแบบ 'หา?' น่ะ"""
msc_023060_0210#0,"""บรูเดอร์ (Bruder) ก็จะเข้ามาช่วยอธิบายสิ่งที่ฉันพยายามจะสื่อให้ฟังนะ แต่ถึงอย่างนั้นก็เถอะ..."""
msc_023060_0220#0,"""เฮ้อ... การเรียบเรียงทุกอย่างออกมาเป็นคำพูดนี่มันยากจริงๆ เลยนะ"""
msc_023060_0230#0,"""คิดว่าควรจะทำยังไงดีล่ะ?"""
msc_023060_0240#0,"""ลองขอความช่วยเหลือจากบรูเดอร์ (Bruder) ดูหรือยังล่ะ?"""
msc_023060_0250#0,"""ลองขอความช่วยเหลือจากหลายๆ คนดูหรือยังล่ะ?"""
msc_023060_0260#0,"""อื้อ แต่เขาบอกมาว่า 'อยากให้ลองหาคำตอบเรื่องนี้ด้วยตัวเองดูนะ' น่ะ"""
msc_023060_0270#0,"""อืมมม... บางทีอาจจะลองไปขอความช่วยเหลือจากคนอื่นดูดีไหมนะ?"""
msc_023060_0280#0,"""หลายๆ... คนงั้นเหรอ?"""
msc_023060_0290#0,"""แต่จะไปถามใครได้ล่ะ...?"""
msc_023060_0300#0,"""อ๊ะ จริงด้วย!"""
msc_023060_0310#0,"""ถ้าเป็นเธอล่ะก็ จะต้อง..."""
msc_023060_0320#0,"""นั่นสินะ ขืนมัวแต่ลังเลอยู่แบบนี้ก็ไม่ได้ช่วยอะไรขึ้นมาหรอก ใช่ไหมล่ะ?"""
msc_023060_0330#0,"""งั้นไว้เจอกันทีหลังนะ!"""
msc_023060_0340#0,"""อ้อ ขอบใจนะ ที่คอยเป็นห่วงเป็นใยกันเสมอน่ะ!"""
