Title#0,"""네가 태어난 그 이유"""
Explanation#0,"""단 하나의 목적을 품고 끝없는 이야기를<br>따라온 자에게 찾아온 하나의 결말이다.<br>영원히 반복되는 비극을 끝내기 위해<br>모두 싸우고 『두 사람』도 힘을 다한다.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택"""
StoryExplanation#0,"""단 하나의 목적을 품고 끝없는 이야기를<br>따라온 자에게 찾아온 하나의 결말이다.<br>영원히 반복되는 비극을 끝내기 위해<br>모두 싸우고 『두 사람』도 힘을 다한다."""
SimpleExplanation#0,"""마토이를 구해라!"""
Area0S#0,"""삼림 에어리어"""
Area0L#0,"""행성 나베리우스 삼림 에어리어"""
Area1S#0,"""괴세구역 유적 에어리어"""
Area1L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
Area2S#0,"""괴세구역 삼림 에어리어1"""
Area2L#0,"""행성 나베리우스 괴세구역 삼림 에어리어1"""
Area3S#0,"""괴세구역 삼림 에어리어2"""
Area3L#0,"""행성 나베리우스 괴세구역 삼림 에어리어2"""
Area4S#0,"""괴세구역 삼림 에어리어3"""
Area4L#0,"""행성 나베리우스 괴세구역 삼림 에어리어3"""
Area5S#0,"""괴세구역 유적 에어리어"""
Area5L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
