Title#0,"""【심원의 어둠】 습격"""
Explanation#0,"""부활한 【심원의 어둠】이<br>행성 나베리우스 상공에 들이닥쳐<br>지상 침공을 시작했다.<br>물러설 뜻 없는 <%me>.<br>【심원의 어둠】과의<br>싸움에 나선다.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택<br>         제한 시간 경과"""
StoryExplanation#0,"""부활한 【심원의 어둠】이<br>나베리우스 상공에 들이닥쳐<br>지상 침공을 시작했다.<br>물러설 뜻 없는 <%me>, 그 싸움에 나선다."""
SimpleExplanation#0,"""【심원의 어둠】의 격파"""
Area0S#0,"""행성 나베리우스 상공"""
Area0L#0,"""행성 나베리우스 상공 상륙정"""
Area1S#0,"""괴세의 끝"""
Area1L#0,"""괴세의 끝"""
Area1S#1,"""귀환의 장소"""
Area1L#1,"""귀환의 장소"""
NpcComMsg1#0,"""곧 최전선으로 전송됩니다.<br>목적은 다크 펄스 【쌍자】를 섬멸하고<br>【심원의 어둠】으로 가는 길을 열 것."""
NpcComMsg2#0,"""상대는 다크 펄스… 그 힘의 깊이는<br>헤아릴 수 없습니다. 부디 조심해서<br>무사히 돌아오세요."""
NpcComMsg1#1,"""【심원의 어둠】 길목이 열렸습니다.<br>남은 목표는 그 강대한 적을<br>쓰러뜨리는 것뿐입니다."""
NpcComMsg2#1,"""세세한 지시나 명령은 없습니다.<br>용감하게 싸워 반드시 생환해 주십시오.<br>…꼭, 꼭 돌아오셔야 합니다."""
