Name#0,"""Reflex Tester"""
MikiriStart#0,"""/toge Push it now!"""
MikiriSuccessHiscore#0,"""You beat me...<br>You set a new record!<br>Difficulty: $(0)<br>Your time: $(2).$(1) seconds"""
MikiriSuccess#0,"""I lost...<br>Difficulty: $(0)<br>Your time: $(2).$(1) seconds"""
MikiriFailed#0,"""You are so slow, brilliantly!<br>Difficulty: $(0)<br>Machine's time: $(2).$(1) seconds"""
MikiriBreakaway#0,""""""
MikiriRecord#0,"""Current Record Time: $(2).$(0) seconds<br>Current Record Holder: <br>$(1)"""
MikiriRecordNone#0,"""There is currently no high score."""
MikiriEasy#0,"""Normal Mode"""
MikiriNormal#0,"""Hard Mode"""
MikiriHard#0,"""Very Hard Mode"""
MikiriHiScore#0,"""High Score Mode"""
