name_7211#0,"""Xiandy"""
ssn_019200_002_0010#0,"""Thank you for coming to see me. Allow me to reintroduce myself."""
ssn_019200_002_0020#0,"""I am Xiandy. I am currently researching various peculiar phenomena that occur throughout Halpha."""
ssn_019200_002_0030#0,"""The reason I've called you is to request your help regarding an investigation in Retem."""
ssn_019200_002_0011#0,"""Thank you for coming to see me."""
ssn_019200_002_0021#0,"""The reason I've called you is to request your help regarding an investigation in Retem."""
ssn_019200_002_0040#0,"""In recent days, we've noticed a potential upward trend in the number of enemies in the Retem region."""
ssn_019200_002_0050#0,"""I would like to ask you to battle the enemies in Retem and send me the accumulated combat data."""
ssn_019200_002_0060#0,"""Of particular interest would be the behavior of Symbol-marked enemies that can be found during this time of year."""
ssn_019200_002_0070#0,"""Would you able to lend me your aid regarding this matter?"""
ssn_019200_002_0080#0,"""Thank you very much in advance."""
ssn_019200_002_0120#0,"""Welcome back. Thank you very much for helping with my investigation."""
ssn_019200_002_0130#0,"""After looking at the data, I wasn't able to find conclusive evidence to suggest an increase or decrease in the number of enemies."""
ssn_019200_002_0140#0,"""However, further research may be required with regard to the distribution of said enemies."""
ssn_019200_002_0150#0,"""For example, if enemies have been gathering in a certain area more than usual, it could lead to a potentially dangerous situation if left unchecked."""
ssn_019200_002_0160#0,"""In addition, the locations of Rappy Assemblies may also be unevenly distributed."""
ssn_019200_002_0170#0,"""I would also like to factor that into my investigation."""
ssn_019200_002_0180#0,"""But, Rappies are something of a wild card, so there is a possibility of confounding..."""
ssn_019200_002_0190#0,"""Thank you very much for your assistance."""
ssn_019200_002_0200#0,"""If something new comes up, I hope to be able to rely on you again."""
ssn_019200_002_0300#0,"""Even now there are yet more mysteries regarding enemies throughout Halpha."""
ssn_019200_002_0310#0,"""I seek to unravel them, one by one."""
npc_menu_0010#0,"""Exchange Seasonal Points (Until $(0))"""
npc_menu_0020#0,"""Exchange Christmas '23 Seasonal Points (Until $(0))"""
npc_menu_0030#0,"""Item Recycle (Until $(0))"""
npc_menu_0040#0,"""Ask about the Seasonal Event"""
npc_menu_0050#0,"""Close Menu"""
npc_menu_0060#0,"""Item Recycle"""
npc_menu_1010#0,"""About Seasonal Events"""
npc_menu_1020#0,"""About Seasonal Enemies"""
npc_menu_1030#0,"""About Mischief Symbols"""
npc_menu_1040#0,"""About Seasonal Region Mags"""
npc_menu_1050#0,"""About Rappy Assemblies"""
npc_menu_2000#0,"""Never mind"""
