name_7615#0,"""Dino"""
ssn_014670_0001#0,"""ว่าไง เริ่มชินกับระบบของ Central City หรือยัง?"""
ssn_014670_0002#0,"""นี่เป็นที่โปรดของเราเลยนะ เครื่องดื่มรสชาติดี วิวสวย... ใช่แล้ว นี่แหละชีวิต"""
ssn_014670_0101#0,"""*เฮ้อ*... ก็รู้แหละนะว่าอยากได้ไอเทมอะไร แต่มันน่าหงุดหงิดชะมัดที่พยายามจะหามันมาครอบครองให้ได้..."""
ssn_014670_0102#0,"""หวังว่าจะเจอใน My Shop ของใครสักคนนะ..."""
ssn_014670_0103#0,"""พูดถึงเรื่องนี้ เคยไปดูที่ My Shop หรือยังล่ะ?"""
ssn_014670_0104#0,"""มันเป็นบริการที่มีประโยชน์มากเลยนะ ให้สอนวิธีใช้ให้เอามั้ย?"""
ssn_014670_0201#0,"""My Shop คือตลาดเสมือนที่เหล่า ARKS ใช้ซื้อขายไอเทมกัน"""
ssn_014670_0202#0,"""ลองไปดูหน่อยมั้ยว่ามีของเจ๋งๆ อะไรที่เพื่อนๆ ARKS เอามาขายบ้าง?"""
ssn_014670_0301#0,"""ไม่เป็นไร เปลี่ยนใจเมื่อไหร่ก็บอกได้นะ"""
ssn_014670_0401#0,"""ดูเหมือนจะมาถึงแล้วสินะ"""
ssn_014670_0402#0,"""เอาล่ะ ที่เหลือก็ยกให้จัดการเลยนะ ไม่แน่ อาจจะได้ของถูกๆ ดีๆ กลับมาก็ได้!"""
ssn_014670_0501#0,"""ช่วงนี้ได้แวะไป My Shop บ้างมั้ย? ควรหาเวลาเข้าไปดูบ่อยๆ นะ"""
ssn_014670_0502#0,"""รายการสินค้าจะอัปเดตแบบเรียลไทม์เลยนะ ใครจะรู้ว่าอาจจะเจอข้อเสนอดีๆ ก็ได้!"""
