a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""The Cosmic Calamity"""
Explanation#0,"""惑星ハルコタンにて『禍津』顕現の予兆を<br>検知。その影響を受け、白ノ領域にて<br>多数の敵性反応が出現した。<br>『禍津』は『結灰陣』の消失によって<br>以前より強大な反応を示しており<br>完全に顕現した際の被害は計り知れない。<br>総員、早急な事態鎮圧にあたれ。<br>――――――――――――――――――――<br>成功条件/目標の撃破<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""Save Harkotan!"""
Area0S#0,"""Shironia Area"""
Area0L#0,"""Planet Harkotan: Shironia Area"""
Area1S#0,"""Space"""
Area1L#0,"""Planet Harkotan: Space"""
NpcComMsg1#0,"""これは……ひどい状況ですね。<br>スクナヒメさんは大丈夫でしょうか？"""
NpcComMsg2#0,"""来てくれたのだな！<br>わらわが『禍津』を抑え込もう。<br>すまぬが、地上の方は頼めるか。"""
NpcComMsg3#0,"""街の至る所に溢れている瘴気は<br>そなたとて触れるのは危険じゃ。<br>くれぐれも注意してくれ。頼んだぞ！"""
NpcComMsg1#1,"""これより、A.I.Sヴェガによる<br>『禍津』撃破作戦を行います。"""
NpcComMsg2#1,"""かつてない強大な反応……<br>以前の『禍津』よりも警戒が必要です。<br>お気をつけて！"""
NpcComMsg3#1,"""わらわの加護も<br>その乗り物までは届かんじゃろう……<br>だが、そなたらの勝利を信じておるぞ！"""
