name_7211#0,"""섄디"""
ssn_019330_002_0010#0,"""와주셔서 감사합니다."""
ssn_019330_002_0020#0,"""당신을 부른 이유는, 지금 일어나고 있는<br>현상에 관한 조사를 도와주셨으면 해서요."""
ssn_019330_002_0030#0,"""실은, 할파 전역에 에너미의 수가<br>증가하는 추세인 것 같습니다."""
ssn_019330_002_0040#0,"""특히, 이 시기에 특유의 심볼을 달고있는 에너미가,<br>곳곳에서 목격되고 있습니다."""
ssn_019330_002_0050#0,"""상황 분석을 위해,<br>데이터 수집을 부탁드려고 괜찮을까요?"""
ssn_019330_002_0060#0,"""당신이 심볼이 달린 에너미와 교전을 했을 때의<br>데이터를 보내주셨으면 해요."""
ssn_019330_002_0070#0,"""그럼, 잘 부탁드릴게요."""
ssn_019330_002_0080#0,"""…아, 그렇지.<br>이건 조사 의뢰와는 별개입니다만."""
ssn_019330_002_0090#0,"""최근 에아리오 리전에서 \""리리파족\""이라고 하는<br>정체불명의 존재의 목격담이 들려오고 있는 것 같아요."""
ssn_019330_002_0100#0,"""혹시, 관심 있으시다면,<br>찾아보시는 것도 좋을 것 같아요."""
ssn_019330_002_0110#0,"""제가 드리고 싶은 이야기는 여기까지입니다.<br>그럼, 데이터를 기다리고 있겠습니다."""
ssn_019330_002_0900#0,"""이 시기의 에너미의 변화에 대해서는 열심히 조사 중입니다."""
ssn_019330_002_0910#0,"""어떤 사소한 데이터라도 좋으니,<br>제공해 주시면 감사하겠습니다."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""이전 시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0)까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 묻기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_0070#0,"""「N-그라인더」와 교환하기 ($(0)까지)"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 대하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대하여"""
npc_menu_1030#0,"""\""리리파족\""에 대하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대하여"""
npc_menu_1050#0,"""\""랜더마이트\""에 대하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
