name01#0,"""Астарта"""
text01#0,"""А теперь о расах."""
text02#0,"""У вас хорошие знания.<br>Надеюсь на сотрудничество<br>с таким членом ARKS, как вы."""
text03#0,"""Проблем со знанием различных<br>рас нет. Вот ваша награда за<br>ответы на вопросы, связанные<br>с расами."""
text04#0,"""Получен Grinder от Астарты."""
text05#0,"""Если вам интересно, можете<br>попробовать другие темы."""
text06#0,"""Я волнуюсь за ваши знания.<br>Попробуйте снова, ведь за<br>правильные ответы на все<br>вопросы полагается награда."""
text07#0,"""Вы правильно ответили на все<br>вопросы. Если захотите освежить<br>знания, обращайтесь в любое<br>время."""
text00#0,"""Вопрос первый."""
text07#1,"""Не имеют особых способностей,<br>но сбалансированы и могут<br>приспособиться к любой ситуации,<br>их называют?"""
text01#1,"""Дьюманы"""
text02#1,"""Люди"""
text03#1,"""Ньюманы"""
text04#1,"""Неверно."""
text08#0,"""Люди обладают великолепной<br>сбалансированностью,<br>приспосабливаются<br>к любым условиям. Эта раса<br>стала основой для всех<br>остальных."""
text05#1,"""Верно. Способности людей<br>идеально сбалансированы."""
text09#0,"""Развитая способность людей<br>адаптироваться легла в основу<br>ARKS, эта раса наиболее<br>подходящая для исследования<br>планет."""
text06#1,"""Неверно."""
text10#0,"""Люди обладают великолепной<br>сбалансированностью,<br>приспосабливаются<br>к любым условиям. Эта раса<br>стала основой для всех<br>остальных."""
text00#1,"""Вопрос второй."""
text07#2,"""Физически уязвимы, но лучше<br>других рас обращаются с<br>фотонами, особенно с техниками."""
text01#2,"""CAST"""
text02#2,"""Дьюманы"""
text03#2,"""Ньюманы"""
text04#2,"""Неверно."""
text08#1,"""Раса, не знающая равных в<br>приспособленности к фотонам,<br>это ньюманы."""
text05#2,"""Неверно."""
text09#1,"""Раса, не знающая равных в<br>приспособленности к фотонам,<br>это ньюманы."""
text06#2,"""Верно. Раса, не знающая равных<br>в приспособленности к фотонам,<br>это ньюманы."""
text10#1,"""У ньюманов обострённое чувство<br>фотонов, в отличие от людей,<br>на основе которых они были<br>созданы. Это их специализация."""
text00#2,"""Вопрос третий."""
text07#3,"""Плохо обращаются с фотонами,<br>а их тела частично<br>механизированы, кто они?"""
text01#3,"""CAST"""
text02#3,"""Ньюманы"""
text03#3,"""Дбюманы"""
text04#3,"""Верно. Раса с телами машин<br>это CAST."""
text08#2,"""Эта раса воинов предпочитает<br>сражаться телом, способным<br>выдержать жесточайшие условия,<br>благодаря замене биологических<br>частей машинными."""
text05#3,"""Неверно."""
text09#2,"""Раса с стойким телом машин<br>это CAST."""
text06#3,"""Неверно."""
text10#2,"""Жесткое тело, состоящее из машин"""
text00#3,"""Последний вопрос."""
text07#4,"""У какой расы худший показатель<br>защиты, зато она обладает более<br>мощной атакой?"""
text01#4,"""Люди"""
text02#4,"""CAST."""
text03#4,"""Дьюманы"""
text04#4,"""Неверно."""
text08#3,"""Раса с упором на нанесение<br>урона с использованием фотонных<br>атак называется дьюманы."""
text05#4,"""Неверно."""
text09#3,"""Раса с упором на нанесение<br>урона с использованием фотонных<br>атак называется дьюманы."""
text06#4,"""Верно. Первая раса со<br>специализацией в атаке это<br>дьюманы."""
text10#3,"""Их можно отличить по различиям<br>в левом и правом глазе,<br>а также рогам на лбу."""
