name01#0,"""Астарта"""
text01#0,"""Вопросы о фотонах."""
text02#0,"""Проблем в знаниях нет.<br>Ждем сотрудничества с таким членом ARKS."""
text03#0,"""Проблем в знании фотонов нет. Вот ваша награда за ответы на вопросы о фотонах."""
text04#0,"""Получен 『Anti』 от Астарты."""
text05#0,"""Если вам интересно, можете попробовать другие темы."""
text06#0,"""Вы правильно ответили на все вопросы. Если захотите освежить знания, обращайтесь в любое время."""
text07#0,"""Вы правильно ответили на все вопросы. Если захотите освежить знания, обращайтесь в любое время."""
text00#0,"""Фотоны нужны не только для боя и кораблей ARKS. Они основа нашей жизни."""
text07#1,"""Это частицы без вкуса и цвета. Для их восприятия необходимы специальные способности."""
text08#0,"""Среди того, что я описала, что необходимо для становления ARKS?"""
text01#1,"""Способность создавать фотоны из ничего."""
text02#1,"""Способность создавать оружие из фотонов."""
text03#1,"""Способность превращать фотоны в энергию."""
text04#1,"""Неверно.<br>Их полно в атмосфере, производить не нужно."""
text09#0,"""Верный ответ это способность превращать фотоны в энергию. Это важно для ARKS."""
text10#0,"""ARKS высвобождают энергию фотонов в оружии, теле и воздухе для атак."""
text05#1,"""Неверно.<br>Это невозможно, с учетом природы фотонов..."""
text11#0,"""Верный ответ это способность превращать фотоны в энергию. Это важно для ARKS."""
text12#0,"""ARKS высвобождают энергию фотонов в оружии, теле и воздухе для атак."""
text06#1,"""Верно. Те, у кого есть способности превращать фотоны в энергию, вступают в ARKS."""
text13#0,"""ARKS высвобождают энергию фотонов в оружии, теле и воздухе для атак."""
text00#1,"""Насчет использования фотонов в боевых условиях."""
text07#2,"""В бою можно совмещать атаку оружия и фотонов. Как называется такой способ?"""
text01#2,"""Фотон Арты"""
text02#2,"""Пассивные навыки"""
text03#2,"""Система Gear"""
text04#2,"""Верно."""
text08#1,"""Фотон Арты уникальны для каждого оружия, поэтому не забывай настраивать их."""
text05#2,"""Неверно."""
text09#1,"""Придание фотонам агрессивной сути, направляя их в специальную атаку. Мы зовем это Фотон Артами."""
text06#2,"""Неверно."""
text10#1,"""Придание фотонам агрессивной сути, направляя их в специальную атаку. Мы зовем это Фотон Артами."""
text00#2,"""Это не единственная техника с использованием фотонов."""
text07#3,"""Как называется технология для превращения фотонов в природные элементы?"""
text01#3,"""Магия"""
text02#3,"""Техника"""
text03#3,"""Специальная способность"""
text04#3,"""Неверно. Близко, но нет, это называется Техника"""
text08#2,"""Воплощение фотонов в пламени или льду, направленное во врага. Форсы хороши в Техниках."""
text05#3,"""Верно."""
text09#2,"""Воплощение фотонов в пламени или льду, направленное во врага. Форсы хороши в Техниках."""
text06#3,"""Неверно. Специальные способности привязаны к оружию и юнитам."""
text10#2,"""Верный ответ Техника."""
text11#1,"""Воплощение фотонов в пламени или льду, направленное во врага. Форсы хороши в Техниках."""
