msc_012230_0010#0,"""那我們開始吧。"""
msc_012230_0020#0,"""這裡就是黎泰姆游沙蟒的老巢<br>……也就是“穹頂”。"""
msc_012230_0030#0,"""而我們要做的，就只有一件事。<br>那就是穿過沙漠，突入到內部……"""
msc_012230_0040#0,"""在那裡將其一舉討伐！"""
msc_012230_0050#0,"""雖然剩下的時間和戰力都寥寥無幾，<br>……但我希望各位都能借我們一臂之力。"""
msc_012230_0060#0,"""看來……<br>也只有我們主動出擊這一條路可選了。"""
msc_012230_0070#0,"""但穹頂是易守難攻之處。<br>絕非是個衝過去就能打下來的地方。"""
msc_012230_0080#0,"""當然了，也並不僅僅是衝過去而已。<br>……而是在等我們接近那裡後，將它們的勢力分散為幾撥……"""
msc_012230_0090#0,"""在削減對方戰力的同時，由包含我在內的主力部隊<br>突入進黎泰姆游沙蟒所在的中心部。"""
msc_012230_0100#0,"""詳細的作戰，就由哈迪、加利勒、穆赫辛還有我來負責。<br>請各位在作戰開始前做好準備。那我們暫且解散。"""
msc_012230_0110#0,"""抱歉我這種時候問這個<br>但之前提過的那些資料……"""
msc_012230_0120#0,"""過去戰鬥的記錄都存放在這裡了。"""
msc_012230_0130#0,"""謝謝。"""
msc_012230_0140#0,"""不過，我倒是不覺得<br>能收穫到什麼改變戰況的情報……"""
msc_012230_0150#0,"""咦？瑪儂呢？"""
