name_7006#0,"""蘭|ラン"""
msn_011080_002_0020#0,"""去瑪古納斯山之前，<br>我想給你們一些建議。"""
msn_011080_002_0030#0,"""ARKS的能力，<br>都被可視化為了一個名為“戰鬥力”的數值。"""
msn_011080_002_0040#0,"""這個數值呢，是通過測算各個ARKS的身體能力，<br>以及裝備著的武器、防具而得出的。"""
msn_011080_002_0050#0,"""雖然戰鬥力并不會體現個人的戰鬥技巧，<br>所以只是個大體上的數值……"""
msn_011080_002_0060#0,"""但我們用這戰鬥力作為基準，<br>給哈爾法上的一些危險地帶設了限制，防止仍在訓練中的ARKS誤入。"""
msn_011080_002_0070#0,"""瑪古納斯山就是其中一個。"""
msn_011080_002_0080#0,"""我會告訴你大致所需的戰鬥值的，<br>你就參考一下這個值，來做好戰鬥的準備吧。"""
msn_011080_002_0090#0,"""我這邊也會時刻關注你們的，<br>加油哦。"""
msn_011080_002_0101#0,"""歡迎來到中央都市。<br>很高興見到你們。"""
msn_011080_002_0102#0,"""今後我會作為指令員，<br>為你們提供好幫助的。"""
msn_011080_002_0201#0,"""如果你對我的指示方式有什麽要求的話，<br>請儘管提出來。"""
msn_011080_002_0202#0,"""毕竟我也是想以能讓各位輕鬆一點的方式，去做指示的嘛。"""
