msc_012200_0010#0,"""唔，看來差不多都收拾乾淨了。"""
msc_012200_0020#0,"""……好了，那就來說說，為什麼不用歌聲的力量吧。"""
msc_012200_0030#0,"""黎泰姆地區的首領，代代都是憑藉著<br>“武力”與“歌聲”的力量來作戰的。可是……"""
msc_012200_0040#0,"""娜德蕾芙並沒有“歌聲”之力。"""
msc_012200_0050#0,"""就在那孩子當上我們首領的那一天……<br>有許許多多的ARKS都聚集到了這裡。"""
msc_012200_0060#0,"""就在他們的面前，娜德蕾芙唱響了“戰舞之歌”。<br>可歌聲之力，卻並沒有出現。"""
msc_012200_0070#0,"""為什麼？"""
msc_012200_0080#0,"""……這就不清楚了。"""
msc_012200_0100#0,"""雖然當時，在場的每一個人都陷入了慌張，<br>但恐怕心裡頭最難受的，還是娜德蕾芙本人。"""
msc_012200_0110#0,"""可即便是這樣，娜德蕾芙<br>也還在履行著她作為首領的使命。"""
msc_012200_0130#0,"""她歷經了旁人所不能及的鍛煉，最終掌握了“武力”……<br>這力量比起“歌聲”來說，可謂是只強不弱。"""
msc_012200_0150#0,"""大家都對她的這份努力和強大讚不絕口，<br>在我們之中，不會有任何人會指責她沒有歌聲之力。"""
msc_012200_0161#0,"""……有沒有什麼數據<br>曾經驗證過娜德蕾芙的歌聲之力？"""
msc_012200_0163#0,"""就比如，記錄影像……<br>或者是什麼人的研究資料之類的。"""
msc_012200_0165#0,"""要是不介意的話，<br>我想看一看這類數據。"""
msc_012200_0170#0,"""唔……我想在黎泰姆都市的終端裡<br>恐怕還留著一些……"""
msc_012200_0180#0,"""那我們回都市去吧。"""
