msc_010060_0010#0,"""還來!?"""
msc_010060_0020#0,"""嗚哦哦哦哦哦哦哦！！"""
msc_010060_0030#0,"""爸爸!?"""
msc_010060_5010#0,"""哈！"""
msc_010060_5020#0,"""嗚啊！"""
msc_010060_0040#0,"""呼。我就覺得哪裡不安，過來一看，原來是這原因啊。"""
msc_010060_0050#0,"""愛娜，瑪儂，沒事吧？"""
msc_010060_0060#0,"""好。<br>……那麽，你呢？"""
msc_010060_0070#0,"""我是嘉羅亞。<br>請多指教啊。"""
msc_010060_0080#0,"""既然你才剛剛降落下來，<br>那應該還是人生地不熟吧。"""
msc_010060_0090#0,"""……瑪儂倒是知道各種各樣的東西……"""
msc_010060_0100#0,"""……但你看著倒是不像啊。"""
msc_010060_0110#0,"""……回到村裡再說吧。<br>愛娜、瑪儂，“治療光晶”收集好了吧？"""
msc_010060_0120#0,"""啊，是哦！<br>得收集一下才行。"""
