msc_011260_0010#0,"""這邊兒這邊兒。"""
msc_011260_0020#0,"""我試著從克羅福德提供的數據中<br>推測出了DOLLS的分佈狀況。"""
msc_011260_0030#0,"""這個森林中，似乎聚集了相當多的強敵呢。"""
msc_011260_0040#0,"""而這邊的海岸，則相對比較安全。<br>……安全到讓人懷疑是不是少了點什麼。"""
msc_011260_0050#0,"""至於這個研究所遺跡……"""
msc_011260_0060#0,"""通知ARKS全員。"""
msc_011260_0070#0,"""在“雷佐爾森林”與“范福德研究所”，<br>確認到了DOLLS的出現。"""
msc_011260_0080#0,"""請附近的ARKS<br>進入警戒狀態。"""
msc_011260_0090#0,"""我是愛娜。"""
msc_011260_0100#0,"""愛娜小姐？有什麽事嗎？"""
msc_011260_0110#0,"""我們也可以行動。<br>需要做點什麽？"""
msc_011260_0120#0,"""那麽，能麻煩你們去一下范福德研究所遺跡嗎？<br>希望你們可以報告一下那邊的情況。"""
msc_011260_0130#0,"""雷佐爾森林那邊，<br>已經有布魯達小隊前往了。"""
msc_011260_0140#0,"""我知道了，我們馬上就出發。"""
msc_011260_0150#0,"""研究所遺跡……<br>好吧，也許正適合現在的我們吧。"""
msc_011260_0160#0,"""……在這個區域好像還有其他ARKS。<br>請與他們匯合後共同應對。"""
msc_011260_0170#0,"""了解。"""
msc_011260_0180#0,"""我可以就這麽出發，<br>你們都准備好了嗎？"""
msc_011260_0190#0,"""我現在就去準備！"""
msc_011260_0200#0,"""你也是，<br>准備好了就來集合吧。"""
