msc_012300_5010#0,"""哈哈哈哈哈。"""
msc_012300_0010#0,"""這次勝利都多虧了你們。我想再次表示對你們的感謝。"""
msc_012300_0020#0,"""不會不會，都是因為有了娜德蕾芙的歌聲才贏下來的呀。"""
msc_012300_0030#0,"""可就算這麼說……要是瑪儂沒注意到<br>我這份力量，是連用都用不出來的。"""
msc_012300_0040#0,"""雖然現在，我們還並沒有完全排除<br>DOLLS的威脅……"""
msc_012300_0050#0,"""不過，這下黎泰姆都市也算是稍微平靜下來了吧。"""
msc_012300_0060#0,"""這次，就該輪到我們出手相助了。<br>請讓我們與中央那邊建立合作關係吧。"""
msc_012300_0070#0,"""欸，真的嗎！？謝謝！"""
msc_012300_0080#0,"""我也和克羅福德談過了。<br>今後還請多多關照。"""
msc_012300_0090#0,"""彼此彼此！"""
msc_012300_0100#0,"""那麼，就請享受這宴會吧。"""
msc_012300_0110#0,"""今天還請玩得盡興。"""
msc_012300_5030#0,"""太棒了－－"""
msc_012300_5040#0,"""唱的真不錯－－"""
msc_012300_5050#0,"""啊哈哈哈。"""
msc_012300_0120#0,"""太好聽了……"""
msc_012300_0125#0,"""你唱得真好聽。"""
msc_012300_0130#0,"""別這樣。我可不擅長在一群人面前唱歌了。"""
msc_012300_0140#0,"""明明你平時都那麼威風的。"""
msc_012300_0150#0,"""啊哈哈。"""
msc_012300_0160#0,"""呵呵。"""
msc_012305_0170#0,"""之後也要再來啊。我們隨時歡迎。"""
msc_012305_0180#0,"""謝謝你們的幫助。"""
msc_012305_0190#0,"""我們一定會再見面的！"""
msc_012305_0200#0,"""我們可都等著呢！"""
msc_012305_0210#0,"""恩、恩，謝謝。"""
msc_012305_0220#0,"""等以後再來問候問候我吧。"""
msc_012305_0230#0,"""好了，我們回中央都市去吧！"""
