msc_010230_0010#0,"""歡迎你們兩位。<br>我是中央的領導者克羅福德。"""
msc_010230_0020#0,"""我是……"""
msc_010230_0030#0,"""是瑪儂吧？"""
msc_010230_0040#0,"""……關於你的事我也收到了聯絡。"""
msc_010230_0050#0,"""……那個，該怎麽說呢，<br>真是遇到了很糟糕的事呢。"""
msc_010230_0060#0,"""就算只有你們，<br>能平安無事也真是太好了。"""
msc_010230_0070#0,"""那，那……愛娜呢？"""
msc_010230_0080#0,"""她現在正在醫療中心接受治療。"""
msc_010230_0090#0,"""放心吧，沒有生命危險。"""
msc_010230_0100#0,"""……被送過來剛好半天了。<br>差不多已經恢復了吧。"""
msc_010230_0110#0,"""愛娜，你沒事吧？"""
msc_010230_0120#0,"""……嘿嘿，沒事兒沒事兒。"""
msc_010230_0130#0,"""不要勉強。"""
msc_010230_0140#0,"""謝謝你，克羅福德。"""
msc_010230_0150#0,"""還有，也謝謝你們。"""
msc_010230_0160#0,"""我們……什麽都沒做……"""
msc_010230_0170#0,"""怎麼會怎麼會，你們不是因為擔心我過來了嘛？<br>我很高興哦。"""
msc_010230_0180#0,"""那……我爸爸他……"""
msc_010230_0190#0,"""這樣啊……"""
msc_010230_0200#0,"""就算是爸爸也打不過的那個DOLLS<br>到底是什麼東西？"""
msc_010230_0210#0,"""……詳細情況還在調查中……"""
msc_010230_0220#0,"""不過我們推測，它是被稱為“黑暗法爾斯”的……<br>一種與DOLLS同種的存在。"""
msc_010230_0230#0,"""黑暗法爾斯，是在一百年前，<br>對哈爾法全境造成過毀滅性破壞的災厄。"""
msc_010230_0240#0,"""據說當時的首都一瞬間就被毀滅了。"""
msc_010230_0250#0,"""如果你們遭遇的DOLLS<br>真的是黑暗法爾斯的話……"""
msc_010230_0260#0,"""我們就沒有太多的時間了。<br>必須儘快做好迎擊準備。"""
msc_010230_0270#0,"""因此……"""
msc_010230_0280#0,"""因此……什麽？"""
msc_010230_0290#0,"""我希望身為黑暗法爾斯唯一目擊者的你們，<br>能以ARKS的身份……加入我們的戰鬥。"""
msc_010230_0300#0,"""你們遭遇那災難之後還沒過多久，我這麼說可能有點殘酷……<br>但是如果能助我們一臂之力的話，我會很高興的。"""
msc_010230_0310#0,"""……我可以戰鬥……<br>不對，我想要與那個黑暗法爾斯戰鬥。"""
msc_010230_0320#0,"""……為了不再有……那種事情發生……"""
msc_010230_0330#0,"""愛娜……"""
msc_010230_0340#0,"""……你們兩個呢？"""
msc_010230_0350#0,"""我要參加戰鬥。"""
msc_010230_0360#0,"""瑪儂想怎麽辦？"""
msc_010230_0370#0,"""……真的嗎？"""
msc_010230_0380#0,"""你還不太了解這個世界吧？<br>再稍微過一段時間也沒關係……"""
msc_010230_0390#0,"""我，我……"""
msc_010230_0400#0,"""……明白了。我也來幫忙吧。"""
msc_010230_0410#0,"""是嗎……謝謝。"""
msc_010230_0420#0,"""我……會來幫忙的。"""
msc_010230_0430#0,"""……瑪儂……"""
msc_010230_0440#0,"""非常感謝你們三個。"""
msc_010230_0450#0,"""那我們該做什麽呢？"""
msc_010230_0460#0,"""首先，我想先請你們幫忙做一下<br>黑暗法爾斯的迎擊準備。"""
msc_010230_0470#0,"""……而等到黑暗法爾斯出現的時候……"""
msc_010230_0480#0,"""就一起戰鬥。"""
msc_010230_0500#0,"""雖然這麽說，我也不會讓你們馬上就開始準備的。<br>蘭，房間准備好了嗎？"""
msc_010230_0510#0,"""已經準備好了三個人的份。"""
msc_010230_0520#0,"""我會把你們三個人<br>都當作中央都市的居民。"""
msc_010230_0530#0,"""每個人都確認一下自己的瑪古吧，<br>應該都已經以ARKS的身份登錄了許可證。"""
msc_010230_0540#0,"""我已經把那個瑪古設置成了你們各自房間的鑰匙。<br>在疲勞的時候，你們隨時可以自由休息。"""
msc_010230_0550#0,"""……之後的話，就等日後再說吧。"""
msc_010230_0560#0,"""房間的位置也已經傳輸到你們的瑪古裡了，<br>今天就好好休息一下吧。"""
