msc_012120_0010#0,"""你們長途跋涉辛苦了。我是娜德蕾芙。<br>現在擔任黎泰姆都市的領導者。"""
msc_012120_0030#0,"""我是負責輔佐娜德蕾芙的加利勒。"""
msc_012120_0040#0,"""我也一樣，我是穆赫辛。"""
msc_012120_0050#0,"""我叫愛娜。<br>是來自中央都市的ARKS。"""
msc_012120_0060#0,"""我是瑪儂。"""
msc_012120_0080#0,"""然後我們剛才，看到了一個<br>超大的DOLLS……那究竟是？"""
msc_012120_0090#0,"""是“黎泰姆游沙蟒”。"""
msc_012120_0100#0,"""黎泰姆游沙蟒……"""
msc_012120_0110#0,"""它不僅來去自如地遊走在這沙漠之間……而且還神出鬼沒。<br>總之，是個棘手的傢伙。"""
msc_012120_0120#0,"""這次還算好一些，只是有人受傷罷了。<br>我們長年都受著那傢伙的折磨。"""
msc_012120_0130#0,"""我大致聽克羅福德說過了。<br>說是想讓我們幫忙是吧……"""
msc_012120_0140#0,"""但抱歉……我們無能為力。"""
msc_012120_0150#0,"""我們也知道艾亞利奧村發生的事情。<br>確實，是不能放任黑暗法爾斯不管沒錯。"""
msc_012120_0160#0,"""但是……我們現在光顧著眼前的事情，<br>就已經是焦頭爛額了。"""
msc_012120_0170#0,"""黎泰姆游沙蟒是吧？"""
msc_012120_0180#0,"""要是不想辦法把它解決掉……<br>我們是很難出手幫助其他地區的。"""
msc_012120_0190#0,"""抱歉讓你們白跑了一趟。不過，<br>就這麼讓你們回去也太不好意思了。先休息一下吧。"""
msc_012120_0200#0,"""那個，可是……"""
msc_012120_0210#0,"""等等。<br>娜德蕾芙。"""
msc_012120_0220#0,"""原來黎泰姆游沙蟒出現了……<br>我剛才沒在真是抱歉。"""
msc_012120_0230#0,"""這個沒關係。你叫住我做什麼？"""
msc_012120_0240#0,"""這幾個人的身手，可絕非平庸之輩。"""
msc_012120_0250#0,"""在山路上遇上了他們之後，<br>我去中央那邊確認了一下……"""
msc_012120_0260#0,"""他們似乎以極少的人數，就打倒了艾亞利奧屠滅龍。"""
msc_012120_0270#0,"""這也許是個好機會啊。"""
msc_012120_0280#0,"""要是有了他們幾個的幫助，<br>沒準是能打倒黎泰姆游沙蟒的。"""
msc_012120_0290#0,"""恩。我們能幫上忙的。"""
msc_012120_0300#0,"""……可是。"""
msc_012120_0310#0,"""就算說他們打倒了艾亞利奧屠滅龍，<br>我也沒辦法一下子就相信。"""
msc_012120_0320#0,"""恩……"""
msc_012120_0330#0,"""這會是一場極為嚴峻的戰鬥。<br>你們……有做好與此相應的心理準備嗎？"""
msc_012120_0340#0,"""我明白了。<br>既然如此，我們就仰仗一下你們的幫助吧。"""
msc_012120_0360#0,"""那能不能先跟我們詳細講講<br>黎泰姆地區這邊的情況？"""
