name_7024#0,"""格伊登|グイーデン"""
msn_005002_0001#0,"""來得正好。<br>我是格伊登。擔任ARKS的教導官。"""
msn_005002_0002#0,"""ARKS……就是在這片土地上<br>同“DOLLS”進行戰鬥的戰士。"""
msn_005002_0003#0,"""我作為ARKS的一員歡迎你。<br>希望你能和我們一起同“DOLLS”戰鬥。"""
msn_005002_0004#0,"""……話雖如此，你剛剛來到這裡。<br>肯定有很多不明白的地方。"""
msn_005002_0005#0,"""我會支援你的，<br>希望你能學習ARKS的心得。"""
msn_005002_0006#0,"""繭從中央都市往西走，就在那邊。"""
msn_005002_0007#0,"""首先……先用“繭”來練練手吧。<br>繭是像ARKS訓練場一樣的地方。"""
msn_005002_0008#0,"""在那裡能學到基本的技能。<br>加油吧。"""
msn_005002_0101#0,"""繭的位置，<br>就跟剛才一樣把坐標發送給你。"""
msn_005002_0102#0,"""朝著向導標記的方向前進吧。"""
msn_005002_0103#0,"""到底是一個什麽樣的地方，<br>去看看就知道了。"""
msn_005002_0201#0,"""好，回來了呢。"""
msn_005002_0202#0,"""那就去下個地方吧。"""
msn_005002_0203#0,"""在這片廣闊的大地上，要同神出鬼沒的敵人戰鬥是很困難的。<br>因此，告訴你一個便利的移動手段。"""
msn_005002_0204#0,"""向導標記指示的地方，<br>有一個巨大裝置叫做“傳送信標”。"""
msn_005002_0205#0,"""向那邊移動吧。"""
msn_005002_0301#0,"""怎麽了？是要去傳送信標吧。<br>向向導標記的方向前進。"""
msn_005002_0302#0,"""靜下心來好好幹吧。"""
