name_7008#0,"""羅莎|ロッサ"""
msn_011065_001_0010#0,"""我是羅莎。<br>請多指教啊。"""
msn_011065_001_0020#0,"""我要教你的，是關於“武器強化”的事情。"""
msn_011065_001_0030#0,"""這武器和防具呢，<br>只要“鍛煉”一下，性能就會有所提高。"""
msn_011065_001_0040#0,"""也就是和我們ARKS一樣啦。"""
msn_011065_001_0050#0,"""……不對嗎？"""
msn_011065_001_0060#0,"""……好像是不對啊。"""
msn_011065_001_0070#0,"""不，也不是不對……？"""
msn_011065_001_0080#0,"""強化需要被稱為“強化素材”的其他武器，<br>以及“N-研磨石|N-グラインダー”。"""
msn_011065_001_0090#0,"""恩－－，你先去收集一些吧……<br>不過這樣太麻煩了。"""
msn_011065_001_0100#0,"""這次我把兩樣東西都給你，<br>你就去“道具實驗室”強化試試看吧。"""
msn_011065_001_0401#0,"""獲取了10個初式大劍、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0402#0,"""獲取了10個初式鋼拳、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0403#0,"""獲取了10個初式步槍、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0404#0,"""獲取了10個初式雙機槍、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0405#0,"""獲取了10個初式長杖、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0406#0,"""獲取了10個初式短杖、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0501#0,"""獲取了2個初式大劍、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0502#0,"""獲取了2個初式鋼拳、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0503#0,"""獲取了2個初式步槍、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0504#0,"""獲取了2個初式雙機槍、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0505#0,"""獲取了2個初式長杖、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0506#0,"""獲取了2個初式短杖、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0101#0,"""噢，來的好！<br>隨時歡迎新的戰力！"""
msn_011065_001_0102#0,"""要好好的活躍啊！<br>期待你們的成果！"""
msn_011065_001_0201#0,"""你真的很有實力啊。<br>太可靠了。"""
msn_011065_001_0202#0,"""就連克羅福德好像也挺佩服你的。<br>總之，你就照這個勢頭去加油吧！"""
msn_011065_001_0407#0,"""獲取了10個初式拔劍、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0507#0,"""獲取了2個初式拔劍、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
msn_011065_001_0408#0,"""獲取了10個初式魔裝腳、10個N-研磨石、10000<pict reb_meseta>美賽達。"""
msn_011065_001_0508#0,"""獲取了2個初式魔裝腳、2個N-研磨石、2000<pict reb_meseta>美賽達。"""
