msc_010140_0010#0,"""讓你久等了。<br>雖然規模很小，但是准備了宴席。"""
msc_010140_0020#0,"""熱情地迎接“渡星者”。<br>這就是我們哈爾法人的習俗。"""
msc_010140_0030#0,"""跟我來。"""
msc_010142_0040#0,"""雖然並不是所有人，<br>但是我把艾亞利奧村的居民都聚到一塊來了。"""
msc_010142_0050#0,"""這是你的份。"""
msc_010142_0060#0,"""大家都准備好了吧。"""
msc_010142_0070#0,"""做自我介紹……"""
msc_010142_0080#0,"""為新的“夥伴”乾杯！"""
msc_010142_0090#0,"""乾杯！"""
msc_010142_0092#0,"""乾杯！"""
msc_010142_0094#0,"""乾杯。"""
msc_010144_0100#0,"""景色很美吧。"""
msc_010144_0110#0,"""我很中意這裡。<br>……而且，也想要保護他們的笑容。"""
msc_010144_0120#0,"""………"""
msc_010144_0130#0,"""“ARKS”。"""
msc_010144_0140#0,"""這是同DOLLS作戰的戰士們的稱呼。"""
msc_010144_0150#0,"""我還有瑪儂都是ARKS的一員<br>……不過，旁邊的愛娜是“見習”就是了……"""
msc_010144_0160#0,"""聽說你在我趕到那裡之前，<br>好像跟劍之足行者打得勢均力敵是吧？"""
msc_010144_0170#0,"""能立刻出戰的人，我們可太歡迎了。"""
msc_010144_0180#0,"""我呢，<br>想讓你也成為一名ARKS。"""
msc_010144_0190#0,"""呵呵，我不會說讓你立刻這麼做。<br>等到你習慣了這裡的生活，就考慮一下吧。"""
msc_010144_0200#0,"""……那麽，今天就到此為止吧。"""
msc_010144_0210#0,"""……恩？"""
msc_010144_5010#0,"""哇！什麽。怎麽了。那是什麽？"""
msc_010144_0214#0,"""沒受傷吧？"""
msc_010144_0215#0,"""謝謝你，瑪儂。"""
msc_010144_0220#0,"""爸爸……"""
msc_010144_0230#0,"""不妙啊……<br>白天的那隻是偵察兵嗎？"""
msc_010144_0235#0,"""爸爸！"""
msc_010144_0250#0,"""是DOLLS的襲擊。"""
msc_010144_0260#0,"""全員，迎擊準備！快點！"""
msc_010144_5020#0,"""上吧！"""
msc_010144_5030#0,"""噢！好嘞。了解。那就上了。"""
